,BVIPA3BRR
1992-01-01,5.0
1993-01-01,3.1
1994-01-01,1.5
1995-01-01,2.2
1996-01-01,-93.0
1997-01-01,-93.0
1998-01-01,0.9
1999-01-01,1.0
2000-01-01,-93.0
2001-01-01,3.0
2002-01-01,3.4
2003-01-01,1.3
2004-01-01,1.2
2005-01-01,4.9
2006-01-01,4.2
2007-01-01,6.7
2008-01-01,5.5
2009-01-01,3.9
2010-01-01,3.8
2011-01-01,3.3
2012-01-01,1.5
2013-01-01,0.6
2014-01-01,2.3
2015-01-01,2.4
2016-01-01,6.8
2017-01-01,5.4
2018-01-01,8.5
2019-01-01,4.7
2020-01-01,5.3
2021-01-01,2.9
2022-01-01,7.4
2023-01-01,6.9
2024-01-01,
