,BVIRAT31CR
1992-01-01,540.0
1993-01-01,558.0
1994-01-01,567.0
1995-01-01,567.0
1996-01-01,569.0
1997-01-01,569.0
1998-01-01,569.0
1999-01-01,574.0
2000-01-01,579.0
2001-01-01,592.0
2002-01-01,605.0
2003-01-01,619.0
2004-01-01,630.0
2005-01-01,657.0
2006-01-01,681.0
2007-01-01,716.0
2008-01-01,764.0
2009-01-01,790.0
2010-01-01,806.0
2011-01-01,819.0
2012-01-01,828.0
2013-01-01,833.0
2014-01-01,849.0
2015-01-01,867.0
2016-01-01,912.0
2017-01-01,988.0
2018-01-01,1076.0
2019-01-01,1127.0
2020-01-01,1185.0
2021-01-01,1214.0
2022-01-01,1341.0
2023-01-01,1427.0
2024-01-01,
