,MWIUA33UR
1992-01-01,1418.0
1993-01-01,1361.0
1994-01-01,1348.0
1995-01-01,1284.0
1996-01-01,1299.0
1997-01-01,1280.0
1998-01-01,1258.0
1999-01-01,1252.0
2000-01-01,1372.0
2001-01-01,1328.0
2002-01-01,1300.0
2003-01-01,1291.0
2004-01-01,1200.0
2005-01-01,1133.0
2006-01-01,1134.0
2007-01-01,1098.0
2008-01-01,1066.0
2009-01-01,1117.0
2010-01-01,1104.0
2011-01-01,1088.0
2012-01-01,1115.0
2013-01-01,1158.0
2014-01-01,1205.0
2015-01-01,1333.0
2016-01-01,1402.0
2017-01-01,1478.0
2018-01-01,1583.0
2019-01-01,1594.0
2020-01-01,1659.0
2021-01-01,1950.0
2022-01-01,2206.0
2023-01-01,2592.0
2024-01-01,2936.0
