,BVIPA31RR
1992-01-01,3.9
1993-01-01,2.6
1994-01-01,1.7
1995-01-01,-93.0
1996-01-01,0.7
1997-01-01,-93.0
1998-01-01,0.3
1999-01-01,0.9
2000-01-01,0.7
2001-01-01,3.1
2002-01-01,2.7
2003-01-01,1.8
2004-01-01,2.1
2005-01-01,4.1
2006-01-01,3.8
2007-01-01,5.4
2008-01-01,6.8
2009-01-01,4.5
2010-01-01,2.3
2011-01-01,1.6
2012-01-01,1.0
2013-01-01,0.7
2014-01-01,1.7
2015-01-01,2.1
2016-01-01,5.0
2017-01-01,8.1
2018-01-01,7.3
2019-01-01,4.3
2020-01-01,3.7
2021-01-01,2.7
2022-01-01,8.1
2023-01-01,8.5
2024-01-01,
