,AEDPA33RR
1992-01-01,1.1
1993-01-01,1.4
1994-01-01,-2.5
1995-01-01,2.1
1996-01-01,-99.0
1997-01-01,4.4
1998-01-01,3.3
1999-01-01,3.2
2000-01-01,4.0
2001-01-01,9.7
2002-01-01,5.1
2003-01-01,2.8
2004-01-01,-93.0
2005-01-01,0.9
2006-01-01,10.7
2007-01-01,17.1
2008-01-01,10.3
2009-01-01,1.2
2010-01-01,-93.0
2011-01-01,-93.0
2012-01-01,5.7
2013-01-01,6.0
2014-01-01,5.2
2015-01-01,2.3
2016-01-01,-3.5
2017-01-01,-93.0
2018-01-01,0.9
2019-01-01,1.6
2020-01-01,-0.7
2021-01-01,-93.0
2022-01-01,1.7
2023-01-01,5.8
2024-01-01,6.8
