,AEDRAT32CR
1992-01-01,544.0
1993-01-01,543.0
1994-01-01,524.0
1995-01-01,519.0
1996-01-01,518.0
1997-01-01,525.0
1998-01-01,551.0
1999-01-01,576.0
2000-01-01,601.0
2001-01-01,654.0
2002-01-01,709.0
2003-01-01,722.0
2004-01-01,730.0
2005-01-01,732.0
2006-01-01,808.0
2007-01-01,958.0
2008-01-01,1034.0
2009-01-01,1015.0
2010-01-01,1015.0
2011-01-01,1034.0
2012-01-01,1071.0
2013-01-01,1141.0
2014-01-01,1227.0
2015-01-01,1259.0
2016-01-01,1229.0
2017-01-01,1215.0
2018-01-01,1246.0
2019-01-01,1257.0
2020-01-01,1272.0
2021-01-01,1270.0
2022-01-01,1304.0
2023-01-01,1398.0
2024-01-01,1536.0
