,KSKRAT31CR
1992-01-01,364.0
1993-01-01,366.0
1994-01-01,371.0
1995-01-01,379.0
1996-01-01,392.0
1997-01-01,409.0
1998-01-01,426.0
1999-01-01,435.0
2000-01-01,442.0
2001-01-01,460.0
2002-01-01,461.0
2003-01-01,469.0
2004-01-01,472.0
2005-01-01,477.0
2006-01-01,496.0
2007-01-01,564.0
2008-01-01,675.0
2009-01-01,739.0
2010-01-01,765.0
2011-01-01,787.0
2012-01-01,815.0
2013-01-01,845.0
2014-01-01,884.0
2015-01-01,895.0
2016-01-01,909.0
2017-01-01,896.0
2018-01-01,912.0
2019-01-01,930.0
2020-01-01,957.0
2021-01-01,967.0
2022-01-01,1016.0
2023-01-01,1090.0
2024-01-01,1195.0
