,BVIPA32RR
1992-01-01,4.3
1993-01-01,1.9
1994-01-01,2.2
1995-01-01,0.5
1996-01-01,-93.0
1997-01-01,0.8
1998-01-01,0.6
1999-01-01,1.1
2000-01-01,-93.0
2001-01-01,3.1
2002-01-01,2.5
2003-01-01,2.6
2004-01-01,1.4
2005-01-01,4.8
2006-01-01,4.1
2007-01-01,4.5
2008-01-01,6.8
2009-01-01,5.0
2010-01-01,2.6
2011-01-01,2.4
2012-01-01,0.9
2013-01-01,0.7
2014-01-01,2.6
2015-01-01,2.4
2016-01-01,5.3
2017-01-01,8.1
2018-01-01,7.6
2019-01-01,2.3
2020-01-01,3.3
2021-01-01,3.1
2022-01-01,6.7
2023-01-01,7.9
2024-01-01,
