,ACASAMUCR
2003-02-01,771.0
2003-03-01,524.0
2003-04-01,164.0
2003-05-01,192.0
2003-06-01,58.0
2003-07-01,263.0
2003-08-01,55.0
2003-09-01,228.0
2003-10-01,53.0
2003-11-01,63.0
2003-12-01,372.0
2004-01-01,61.0
2004-02-01,334.0
2004-03-01,191.0
2004-04-01,109.0
2004-05-01,10.0
2004-06-01,947.0
2004-07-01,168.0
2004-08-01,174.0
2004-09-01,297.0
2004-10-01,496.0
2004-11-01,297.0
2004-12-01,367.0
2005-01-01,207.0
2005-02-01,304.0
2005-03-01,180.0
2005-04-01,71.0
2005-05-01,381.0
2005-06-01,54.0
2005-07-01,278.0
2005-08-01,147.0
2005-09-01,625.0
2005-10-01,166.0
2005-11-01,235.0
2005-12-01,132.0
2006-01-01,123.0
2006-02-01,51.0
2006-03-01,772.0
2006-04-01,172.0
2006-05-01,674.0
2006-06-01,590.0
2006-07-01,360.0
2006-08-01,187.0
2006-09-01,40.0
2006-10-01,22.0
2006-11-01,551.0
2006-12-01,680.0
2007-01-01,78.0
2007-02-01,10.0
2007-03-01,414.0
2007-04-01,250.0
2007-05-01,676.0
2007-06-01,188.0
2007-07-01,119.0
2007-08-01,511.0
2007-09-01,448.0
2007-10-01,530.0
2007-11-01,45.0
2007-12-01,71.0
2008-01-01,254.0
2008-02-01,352.0
2008-03-01,2420.0
2008-04-01,641.0
2008-05-01,796.0
2008-06-01,54.0
2008-07-01,361.0
2008-08-01,166.0
2008-09-01,151.0
2008-10-01,136.0
2008-11-01,4.0
2008-12-01,0.0
2009-01-01,9.0
2009-02-01,0.0
2009-03-01,75.0
2009-04-01,4.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,71.0
2009-08-01,0.0
2009-09-01,25.0
2009-10-01,76.0
2009-11-01,84.0
2009-12-01,39.0
2010-01-01,0.0
2010-02-01,3.0
2010-03-01,72.0
2010-04-01,56.0
2010-05-01,39.0
2010-06-01,0.0
2010-07-01,241.0
2010-08-01,293.0
2010-09-01,272.0
2010-10-01,64.0
2010-11-01,7.0
2010-12-01,16.0
2011-01-01,96.0
2011-02-01,51.0
2011-03-01,0.0
2011-04-01,4.0
2011-05-01,8.0
2011-06-01,70.0
2011-07-01,12.0
2011-08-01,451.0
2011-09-01,213.0
2011-10-01,361.0
2011-11-01,241.0
2011-12-01,379.0
2012-01-01,168.0
2012-02-01,634.0
2012-03-01,414.0
2012-04-01,774.0
2012-05-01,200.0
2012-06-01,277.0
2012-07-01,38.0
2012-08-01,210.0
2012-09-01,65.0
2012-10-01,323.0
2012-11-01,162.0
2012-12-01,95.0
2013-01-01,46.0
2013-02-01,205.0
2013-03-01,128.0
2013-04-01,159.0
2013-05-01,280.0
2013-06-01,139.0
2013-07-01,447.0
2013-08-01,125.0
2013-09-01,8.0
2013-10-01,159.0
2013-11-01,677.0
2013-12-01,363.0
2014-01-01,497.0
2014-02-01,480.0
2014-03-01,812.0
2014-04-01,597.0
2014-05-01,64.0
2014-06-01,1343.0
2014-07-01,327.0
2014-08-01,571.0
2014-09-01,559.0
2014-10-01,511.0
2014-11-01,158.0
2014-12-01,160.0
2015-01-01,233.0
2015-02-01,83.0
2015-03-01,964.0
2015-04-01,135.0
2015-05-01,228.0
2015-06-01,934.0
2015-07-01,273.0
2015-08-01,437.0
2015-09-01,349.0
2015-10-01,386.0
2015-11-01,274.0
2015-12-01,214.0
2016-01-01,85.0
2016-02-01,259.0
2016-03-01,80.0
2016-04-01,369.0
2016-05-01,266.0
2016-06-01,237.0
2016-07-01,633.0
2016-08-01,271.0
2016-09-01,524.0
2016-10-01,76.0
2016-11-01,217.0
2016-12-01,526.0
2017-01-01,13.0
2017-02-01,18.0
2017-03-01,422.0
2017-04-01,331.0
2017-05-01,285.0
2017-06-01,491.0
2017-07-01,315.0
2017-08-01,148.0
2017-09-01,150.0
2017-10-01,372.0
2017-11-01,650.0
2017-12-01,87.0
2018-01-01,109.0
2018-02-01,81.0
2018-03-01,285.0
2018-04-01,484.0
2018-05-01,939.0
2018-06-01,494.0
2018-07-01,38.0
2018-08-01,285.0
2018-09-01,284.0
2018-10-01,175.0
2018-11-01,218.0
2018-12-01,99.0
2019-01-01,170.0
2019-02-01,229.0
2019-03-01,92.0
2019-04-01,544.0
2019-05-01,102.0
2019-06-01,302.0
2019-07-01,171.0
2019-08-01,437.0
2019-09-01,748.0
2019-10-01,183.0
2019-11-01,96.0
2019-12-01,1352.0
2020-01-01,192.0
2020-02-01,119.0
2020-03-01,176.0
2020-04-01,185.0
2020-05-01,237.0
2020-06-01,4.0
2020-07-01,246.0
2020-08-01,121.0
2020-09-01,466.0
2020-10-01,241.0
2020-11-01,280.0
2020-12-01,193.0
2021-01-01,556.0
2021-02-01,102.0
2021-03-01,213.0
2021-04-01,314.0
2021-05-01,563.0
2021-06-01,289.0
2021-07-01,479.0
2021-08-01,99.0
2021-09-01,65.0
2021-10-01,229.0
2021-11-01,454.0
2021-12-01,379.0
2022-01-01,113.0
2022-02-01,116.0
2022-03-01,132.0
2022-04-01,470.0
2022-05-01,319.0
2022-06-01,644.0
2022-07-01,429.0
2022-08-01,333.0
2022-09-01,231.0
2022-10-01,333.0
2022-11-01,967.0
2022-12-01,140.0
