,BVIUA3TUR
1992-01-01,25087.0
1993-01-01,24806.0
1994-01-01,24682.0
1995-01-01,24551.0
1996-01-01,24425.0
1997-01-01,24306.0
1998-01-01,23982.0
1999-01-01,23801.0
2000-01-01,23836.0
2001-01-01,23792.0
2002-01-01,23793.0
2003-01-01,23717.0
2004-01-01,23709.0
2005-01-01,23609.0
2006-01-01,23559.0
2007-01-01,23335.0
2008-01-01,23255.0
2009-01-01,23367.0
2010-01-01,23236.0
2011-01-01,23287.0
2012-01-01,23495.0
2013-01-01,23507.0
2014-01-01,23866.0
2015-01-01,24216.0
2016-01-01,24310.0
2017-01-01,24855.0
2018-01-01,25537.0
2019-01-01,26120.0
2020-01-01,27499.0
2021-01-01,28160.0
2022-01-01,29571.0
2023-01-01,31064.0
2024-01-01,
