,rent_twobd
1992-01-01,598.0
1993-01-01,584.0
1994-01-01,585.0
1995-01-01,584.0
1996-01-01,595.0
1997-01-01,635.0
1998-01-01,707.0
1999-01-01,739.0
2000-01-01,740.0
2001-01-01,783.0
2002-01-01,804.0
2003-01-01,804.0
2004-01-01,806.0
2005-01-01,808.0
2006-01-01,960.0
2007-01-01,1089.0
2008-01-01,1148.0
2009-01-01,1099.0
2010-01-01,1069.0
2011-01-01,1084.0
2012-01-01,1150.0
2013-01-01,1224.0
2014-01-01,1322.0
2015-01-01,1332.0
2016-01-01,1258.0
2017-01-01,1247.0
2018-01-01,1272.0
2019-01-01,1305.0
2020-01-01,1323.0
2021-01-01,1355.0
