,ACASSMURR
2003-04-01,821.0
2003-05-01,747.0
2003-06-01,837.0
2003-07-01,741.0
2003-08-01,765.0
2003-09-01,682.0
2003-10-01,616.0
2003-11-01,714.0
2003-12-01,642.0
2004-01-01,612.0
2004-02-01,543.0
2004-03-01,649.0
2004-04-01,789.0
2004-05-01,672.0
2004-06-01,763.0
2004-07-01,752.0
2004-08-01,813.0
2004-09-01,623.0
2004-10-01,670.0
2004-11-01,639.0
2004-12-01,708.0
2005-01-01,495.0
2005-02-01,617.0
2005-03-01,667.0
2005-04-01,830.0
2005-05-01,826.0
2005-06-01,716.0
2005-07-01,834.0
2005-08-01,695.0
2005-09-01,813.0
2005-10-01,849.0
2005-11-01,721.0
2005-12-01,656.0
2006-01-01,838.0
2006-02-01,859.0
2006-03-01,790.0
2006-04-01,968.0
2006-05-01,1166.0
2006-06-01,948.0
2006-07-01,840.0
2006-08-01,1041.0
2006-09-01,854.0
2006-10-01,801.0
2006-11-01,726.0
2006-12-01,651.0
2007-01-01,605.0
2007-02-01,551.0
2007-03-01,561.0
2007-04-01,769.0
2007-05-01,718.0
2007-06-01,695.0
2007-07-01,800.0
2007-08-01,718.0
2007-09-01,697.0
2007-10-01,680.0
2007-11-01,591.0
2007-12-01,392.0
2008-01-01,363.0
2008-02-01,288.0
2008-03-01,416.0
2008-04-01,336.0
2008-05-01,475.0
2008-06-01,450.0
2008-07-01,431.0
2008-08-01,334.0
2008-09-01,308.0
2008-10-01,365.0
2008-11-01,338.0
2008-12-01,283.0
2009-01-01,204.0
2009-02-01,184.0
2009-03-01,171.0
2009-04-01,234.0
2009-05-01,382.0
2009-06-01,374.0
2009-07-01,501.0
2009-08-01,444.0
2009-09-01,616.0
2009-10-01,502.0
2009-11-01,604.0
2009-12-01,559.0
2010-01-01,413.0
2010-02-01,545.0
2010-03-01,570.0
2010-04-01,642.0
2010-05-01,634.0
2010-06-01,531.0
2010-07-01,602.0
2010-08-01,432.0
2010-09-01,368.0
2010-10-01,346.0
2010-11-01,366.0
2010-12-01,333.0
2011-01-01,293.0
2011-02-01,411.0
2011-03-01,277.0
2011-04-01,418.0
2011-05-01,501.0
2011-06-01,450.0
2011-07-01,507.0
2011-08-01,493.0
2011-09-01,417.0
2011-10-01,406.0
2011-11-01,446.0
2011-12-01,465.0
2012-01-01,336.0
2012-02-01,490.0
2012-03-01,430.0
2012-04-01,560.0
2012-05-01,483.0
2012-06-01,531.0
2012-07-01,606.0
2012-08-01,505.0
2012-09-01,541.0
2012-10-01,440.0
2012-11-01,511.0
2012-12-01,528.0
2013-01-01,441.0
2013-02-01,486.0
2013-03-01,500.0
2013-04-01,545.0
2013-05-01,559.0
2013-06-01,554.0
2013-07-01,572.0
2013-08-01,571.0
2013-09-01,595.0
2013-10-01,569.0
2013-11-01,595.0
2013-12-01,415.0
2014-01-01,451.0
2014-02-01,559.0
2014-03-01,450.0
2014-04-01,630.0
2014-05-01,606.0
2014-06-01,627.0
2014-07-01,668.0
2014-08-01,595.0
2014-09-01,486.0
2014-10-01,454.0
2014-11-01,541.0
2014-12-01,427.0
2015-01-01,317.0
2015-02-01,461.0
2015-03-01,411.0
2015-04-01,373.0
2015-05-01,299.0
2015-06-01,300.0
2015-07-01,310.0
2015-08-01,330.0
2015-09-01,309.0
2015-10-01,387.0
2015-11-01,329.0
2015-12-01,312.0
2016-01-01,225.0
2016-02-01,218.0
2016-03-01,217.0
2016-04-01,224.0
2016-05-01,243.0
2016-06-01,339.0
2016-07-01,327.0
2016-08-01,331.0
2016-09-01,391.0
2016-10-01,334.0
2016-11-01,346.0
2016-12-01,294.0
2017-01-01,221.0
2017-02-01,296.0
2017-03-01,283.0
2017-04-01,402.0
2017-05-01,369.0
2017-06-01,445.0
2017-07-01,430.0
2017-08-01,388.0
2017-09-01,465.0
2017-10-01,385.0
2017-11-01,390.0
2017-12-01,349.0
2018-01-01,325.0
2018-02-01,296.0
2018-03-01,306.0
2018-04-01,341.0
2018-05-01,384.0
2018-06-01,360.0
2018-07-01,301.0
2018-08-01,403.0
2018-09-01,280.0
2018-10-01,273.0
2018-11-01,299.0
2018-12-01,223.0
2019-01-01,269.0
2019-02-01,207.0
2019-03-01,186.0
2019-04-01,254.0
2019-05-01,294.0
2019-06-01,310.0
2019-07-01,283.0
2019-08-01,337.0
2019-09-01,383.0
2019-10-01,282.0
2019-11-01,378.0
2019-12-01,352.0
2020-01-01,259.0
2020-02-01,298.0
2020-03-01,376.0
2020-04-01,241.0
2020-05-01,262.0
2020-06-01,218.0
2020-07-01,241.0
2020-08-01,211.0
2020-09-01,310.0
2020-10-01,316.0
