,ABRNLIUNR_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,86.0
1985-07-01,133.0
1985-10-01,77.0
1986-01-01,157.0
1986-04-01,131.0
1986-07-01,157.0
1986-10-01,78.0
1987-01-01,133.0
1987-04-01,126.0
1987-07-01,117.0
1987-10-01,80.0
1988-01-01,141.0
1988-04-01,135.0
1988-07-01,137.0
1988-10-01,95.0
1989-01-01,120.0
1989-04-01,125.0
1989-07-01,133.0
1989-10-01,124.0
1990-01-01,149.0
1990-04-01,158.0
1990-07-01,146.0
1990-10-01,92.0
1991-01-01,133.0
1991-04-01,118.0
1991-07-01,139.0
1991-10-01,74.0
1992-01-01,119.0
1992-04-01,115.0
1992-07-01,120.0
1992-10-01,91.0
1993-01-01,103.0
1993-04-01,92.0
1993-07-01,87.0
1993-10-01,73.0
1994-01-01,92.0
1994-04-01,110.0
1994-07-01,117.0
1994-10-01,75.0
1995-01-01,89.0
1995-04-01,142.0
1995-07-01,130.0
1995-10-01,90.0
1996-01-01,133.0
1996-04-01,165.0
1996-07-01,178.0
1996-10-01,129.0
1997-01-01,133.0
1997-04-01,166.0
1997-07-01,175.0
1997-10-01,114.0
1998-01-01,97.0
1998-04-01,137.0
1998-07-01,140.0
1998-10-01,146.0
1999-01-01,155.0
1999-04-01,155.0
1999-07-01,149.0
1999-10-01,92.0
2000-01-01,129.0
2000-04-01,157.0
2000-07-01,142.0
2000-10-01,99.0
2001-01-01,110.0
2001-04-01,61.0
2001-07-01,100.0
2001-10-01,50.0
2002-01-01,90.0
2002-04-01,147.0
2002-07-01,106.0
2002-10-01,85.0
2003-01-01,150.0
2003-04-01,157.0
2003-07-01,148.0
2003-10-01,78.0
2004-01-01,111.0
2004-04-01,149.0
2004-07-01,175.0
2004-10-01,90.0
2005-01-01,99.0
2005-04-01,174.0
2005-07-01,197.0
2005-10-01,167.0
2006-01-01,185.0
2006-04-01,225.0
2006-07-01,245.0
2006-10-01,151.0
2007-01-01,197.0
2007-04-01,296.0
2007-07-01,295.0
2007-10-01,178.0
2008-01-01,268.0
2008-04-01,379.0
2008-07-01,280.0
2008-10-01,201.0
2009-01-01,174.0
2009-04-01,244.0
2009-07-01,267.0
2009-10-01,200.0
2010-01-01,284.0
2010-04-01,319.0
2010-07-01,286.0
2010-10-01,192.0
2011-01-01,247.0
2011-04-01,331.0
2011-07-01,276.0
2011-10-01,180.0
2012-01-01,262.0
2012-04-01,318.0
2012-07-01,231.0
2012-10-01,140.0
2013-01-01,223.0
2013-04-01,313.0
2013-07-01,276.0
2013-10-01,180.0
2014-01-01,230.0
2014-04-01,347.0
2014-07-01,239.0
2014-10-01,150.0
2015-01-01,211.0
2015-04-01,245.0
2015-07-01,246.0
2015-10-01,183.0
2016-01-01,225.0
2016-04-01,269.0
2016-07-01,241.0
2016-10-01,180.0
2017-01-01,196.0
2017-04-01,335.0
2017-07-01,258.0
2017-10-01,161.0
2018-01-01,237.0
2018-04-01,337.0
2018-07-01,260.0
2018-10-01,187.0
2019-01-01,194.0
2019-04-01,291.0
2019-07-01,252.0
2019-10-01,161.0
2020-01-01,182.0
2020-04-01,179.0
2020-07-01,211.0
2020-10-01,132.0
2021-01-01,202.0
2021-04-01,266.0
2021-07-01,184.0
2021-10-01,124.0
2022-01-01,198.0
2022-04-01,216.0
2022-07-01,178.0
2022-10-01,107.0
