,BVIVA33RR
1992-01-01,0.5
1993-01-01,1.3
1994-01-01,4.7
1995-01-01,1.5
1996-01-01,1.1
1997-01-01,2.8
1998-01-01,2.6
1999-01-01,1.6
2000-01-01,2.6
2001-01-01,0.2
2002-01-01,0.9
2003-01-01,1.3
2004-01-01,0.6
2005-01-01,0.2
2006-01-01,0.2
2007-01-01,0.7
2008-01-01,1.3
2009-01-01,1.1
2010-01-01,1.2
2011-01-01,1.0
2012-01-01,3.2
2013-01-01,2.6
2014-01-01,2.6
2015-01-01,0.2
2016-01-01,0.5
2017-01-01,0.0
2018-01-01,-99.0
2019-01-01,1.2
2020-01-01,0.9
2021-01-01,1.4
2022-01-01,2.0
2023-01-01,1.1
2024-01-01,
