,BVIUA33UR
1992-01-01,484.0
1993-01-01,524.0
1994-01-01,501.0
1995-01-01,462.0
1996-01-01,465.0
1997-01-01,460.0
1998-01-01,465.0
1999-01-01,454.0
2000-01-01,480.0
2001-01-01,475.0
2002-01-01,480.0
2003-01-01,476.0
2004-01-01,492.0
2005-01-01,491.0
2006-01-01,466.0
2007-01-01,456.0
2008-01-01,441.0
2009-01-01,452.0
2010-01-01,417.0
2011-01-01,431.0
2012-01-01,410.0
2013-01-01,405.0
2014-01-01,449.0
2015-01-01,469.0
2016-01-01,475.0
2017-01-01,468.0
2018-01-01,481.0
2019-01-01,517.0
2020-01-01,520.0
2021-01-01,554.0
2022-01-01,680.0
2023-01-01,740.0
2024-01-01,
