,BVIUA32UR
1992-01-01,7847.0
1993-01-01,7647.0
1994-01-01,7530.0
1995-01-01,7567.0
1996-01-01,7471.0
1997-01-01,7400.0
1998-01-01,7264.0
1999-01-01,7254.0
2000-01-01,7276.0
2001-01-01,7261.0
2002-01-01,7252.0
2003-01-01,7234.0
2004-01-01,7221.0
2005-01-01,7193.0
2006-01-01,7173.0
2007-01-01,7087.0
2008-01-01,7092.0
2009-01-01,7196.0
2010-01-01,7123.0
2011-01-01,7114.0
2012-01-01,7180.0
2013-01-01,7195.0
2014-01-01,7321.0
2015-01-01,7460.0
2016-01-01,7562.0
2017-01-01,7647.0
2018-01-01,7890.0
2019-01-01,8208.0
2020-01-01,8569.0
2021-01-01,8945.0
2022-01-01,9615.0
2023-01-01,10144.0
2024-01-01,
