reference_period,ref_qq,metcode,metro,FSA,inventory,num_structures,unitsperstructure,avgstorycnt
2001-06-01,2,0140,Calgary,nan,1513.0,1647,0.92,0.11
2001-09-01,3,0140,Calgary,nan,1318.0,1671,0.79,0.1
2001-12-01,4,0140,Calgary,nan,1123.0,1565,0.72,0.1
2002-03-01,1,0140,Calgary,nan,1022.0,1446,0.71,0.1
2002-06-01,2,0140,Calgary,,0.0,2,0.0,0.0
2002-06-01,2,0140,Calgary,nan,952.0,1524,0.62,0.09
2002-09-01,3,0140,Calgary,nan,878.0,1592,0.55,0.07
2002-12-01,4,0140,Calgary,nan,866.0,1417,0.61,0.08
2003-03-01,1,0140,Calgary,nan,948.0,1462,0.65,0.07
2003-06-01,2,0140,Calgary,nan,974.0,1610,0.6,0.06
2003-09-01,3,0140,Calgary,nan,982.0,1661,0.59,0.04
2003-12-01,4,0140,Calgary,nan,1149.0,1687,0.68,0.04
2004-03-01,1,0140,Calgary,nan,1157.0,1467,0.79,0.03
2004-06-01,2,0140,Calgary,nan,1136.0,1647,0.69,0.01
2004-09-01,3,0140,Calgary,nan,1120.0,1770,0.63,0.01
2004-12-01,4,0140,Calgary,nan,1186.0,1699,0.7,0.01
2005-03-01,1,0140,Calgary,nan,1289.0,1404,0.92,0.0
2005-06-01,2,0140,Calgary,nan,1307.0,1709,0.76,0.0
2005-09-01,3,0140,Calgary,nan,996.0,1605,0.62,0.0
2005-12-01,4,0140,Calgary,nan,794.0,1350,0.59,0.0
2006-03-01,1,0140,Calgary,T2M,4.0,7,0.57,0.0
2006-03-01,1,0140,Calgary,T3E,0.0,7,0.0,0.0
2006-03-01,1,0140,Calgary,T2S,0.0,1,0.0,0.0
2006-03-01,1,0140,Calgary,T2T,5.0,15,0.33,0.0
2006-03-01,1,0140,Calgary,T2Y,2.0,15,0.13,0.0
2006-03-01,1,0140,Calgary,T2C,0.0,13,0.0,0.0
2006-03-01,1,0140,Calgary,T2V,1.0,3,0.33,0.0
2006-03-01,1,0140,Calgary,T2E,6.0,6,1.0,0.0
2006-03-01,1,0140,Calgary,T2K,2.0,1,2.0,0.0
2006-03-01,1,0140,Calgary,nan,650.0,1230,0.53,0.0
