reference_period,metcode,metro,FSA,inventory,num_structures,unitsperstructure,avgstorycnt
2012,0340,Edmonton,T5Z,12.0,6,2.0,0.67
2012,0340,Edmonton,T9G,2.0,2,1.0,0.0
2012,0340,Edmonton,T0C,3.0,3,1.0,0.0
2012,0340,Edmonton,T5H,1.0,1,1.0,0.0
2012,0340,Edmonton,T6E,8.0,3,2.67,2.33
2012,0340,Edmonton,T6V,12.0,10,1.2,0.0
2012,0340,Edmonton,T8C,1.0,1,1.0,0.0
2012,0340,Edmonton,T6L,2.0,2,1.0,0.0
2012,0340,Edmonton,T6W,3.0,3,1.0,0.0
2012,0340,Edmonton,T8N,2.0,2,1.0,0.0
2012,0340,Edmonton,T5V,6.0,6,1.0,0.0
2012,0340,Edmonton,T5X,37.0,31,1.19,0.13
2012,0340,Edmonton,T6A,2.0,2,1.0,0.0
2012,0340,Edmonton,T6K,2.0,2,1.0,0.0
2012,0340,Edmonton,T7Z,23.0,22,1.05,0.0
2012,0340,Edmonton,T8H,24.0,21,1.14,0.0
2012,0340,Edmonton,T4X,7.0,7,1.0,0.0
2012,0340,Edmonton,T5B,5.0,4,1.25,0.0
2012,0340,Edmonton,T5N,14.0,5,2.8,3.0
2012,0340,Edmonton,T5Y,32.0,25,1.28,0.16
2012,0340,Edmonton,T6H,18.0,5,3.6,1.6
2012,0340,Edmonton,T6M,2.0,2,1.0,0.0
2012,0340,Edmonton,T8B,21.0,6,3.5,0.5
2012,0340,Edmonton,T5G,3.0,3,1.0,0.0
2012,0340,Edmonton,T5L,2.0,1,2.0,0.0
2012,0340,Edmonton,T5P,40.0,7,5.71,1.57
2012,0340,Edmonton,T6P,4.0,4,1.0,0.0
2012,0340,Edmonton,T7X,20.0,11,1.82,0.0
2012,0340,Edmonton,T8R,40.0,30,1.33,0.0
2012,0340,Edmonton,T9E,56.0,38,1.47,0.11
2012,0340,Edmonton,T5A,5.0,2,2.5,2.0
2012,0340,Edmonton,T5E,16.0,15,1.07,0.0
2012,0340,Edmonton,T5T,7.0,7,1.0,0.0
2012,0340,Edmonton,T6C,12.0,7,1.71,1.14
2012,0340,Edmonton,T8A,65.0,34,1.91,0.12
2012,0340,Edmonton,T8L,39.0,37,1.05,0.0
2012,0340,Edmonton,nan,795.0,492,1.62,0.16
2013,0340,Edmonton,T0C,4.0,4,1.0,0.0
2013,0340,Edmonton,T5M,14.0,8,1.75,0.0
2013,0340,Edmonton,T6K,1.0,1,1.0,0.0
2013,0340,Edmonton,T6M,4.0,3,1.33,0.0
2013,0340,Edmonton,T8L,40.0,39,1.03,0.0
2013,0340,Edmonton,T0E,1.0,1,1.0,0.0
2013,0340,Edmonton,T4X,31.0,30,1.03,0.0
2013,0340,Edmonton,T5L,3.0,2,1.5,0.0
2013,0340,Edmonton,T6T,11.0,6,1.83,0.67
2013,0340,Edmonton,T8A,15.0,9,1.67,0.44
2013,0340,Edmonton,T8B,3.0,3,1.0,0.0
2013,0340,Edmonton,T9E,36.0,32,1.13,0.0
2013,0340,Edmonton,T5P,16.0,2,8.0,4.0
2013,0340,Edmonton,T6A,1.0,1,1.0,0.0
2013,0340,Edmonton,T6B,3.0,2,1.5,0.0
2013,0340,Edmonton,T6C,7.0,5,1.4,0.0
2013,0340,Edmonton,T5Y,45.0,33,1.36,0.12
2013,0340,Edmonton,T6L,1.0,1,1.0,0.0
2013,0340,Edmonton,T8C,1.0,1,1.0,0.0
2013,0340,Edmonton,T5R,1.0,1,1.0,0.0
2013,0340,Edmonton,T6V,20.0,20,1.0,0.0
2013,0340,Edmonton,T8N,1.0,1,1.0,0.0
2013,0340,Edmonton,T9G,6.0,4,1.5,0.0
2013,0340,Edmonton,T5B,5.0,3,1.67,0.0
2013,0340,Edmonton,T5G,5.0,4,1.25,0.0
2013,0340,Edmonton,T5Z,42.0,33,1.27,0.0
2013,0340,Edmonton,T6E,4.0,3,1.33,0.0
2013,0340,Edmonton,T8R,38.0,28,1.36,0.0
2013,0340,Edmonton,nan,606.0,399,1.52,0.17
2013,0340,Edmonton,T5A,41.0,1,41.0,4.0
2013,0340,Edmonton,T5E,19.0,12,1.58,0.33
2013,0340,Edmonton,T5H,2.0,2,1.0,0.0
2013,0340,Edmonton,T5K,19.0,3,6.33,21.0
2013,0340,Edmonton,T5N,67.0,3,22.33,1.33
2013,0340,Edmonton,T5V,9.0,9,1.0,0.0
2013,0340,Edmonton,T5W,2.0,2,1.0,0.0
2013,0340,Edmonton,T5X,90.0,73,1.23,0.0
2013,0340,Edmonton,T6W,2.0,2,1.0,0.0
2013,0340,Edmonton,T5T,14.0,12,1.17,0.0
2013,0340,Edmonton,T6H,1.0,1,1.0,0.0
2013,0340,Edmonton,T7X,22.0,17,1.29,0.0
2013,0340,Edmonton,T7Z,35.0,27,1.3,0.0
2013,0340,Edmonton,T8H,37.0,34,1.09,0.0
2014,0340,Edmonton,T5H,2.0,2,1.0,0.0
2014,0340,Edmonton,T5K,5.0,1,5.0,6.0
2014,0340,Edmonton,T5N,4.0,3,1.33,0.0
2014,0340,Edmonton,T5Z,35.0,29,1.21,0.14
2014,0340,Edmonton,T0B,1.0,1,1.0,0.0
2014,0340,Edmonton,T5T,19.0,19,1.0,0.0
2014,0340,Edmonton,T6B,4.0,2,2.0,2.0
2014,0340,Edmonton,T6C,11.0,8,1.38,0.0
2014,0340,Edmonton,T6E,2.0,2,1.0,0.0
2014,0340,Edmonton,T6W,2.0,2,1.0,0.0
2014,0340,Edmonton,T9E,38.0,33,1.15,0.0
2014,0340,Edmonton,T5E,6.0,6,1.0,0.0
2014,0340,Edmonton,T5G,3.0,2,1.5,0.0
2014,0340,Edmonton,T8A,7.0,7,1.0,0.0
2014,0340,Edmonton,nan,406.0,278,1.46,0.12
2014,0340,Edmonton,T5B,4.0,2,2.0,0.0
2014,0340,Edmonton,T5L,2.0,1,2.0,0.0
2014,0340,Edmonton,T6A,2.0,1,2.0,0.0
2014,0340,Edmonton,T6H,3.0,2,1.5,0.0
2014,0340,Edmonton,T6T,4.0,2,2.0,0.0
2014,0340,Edmonton,T8B,1.0,1,1.0,0.0
2014,0340,Edmonton,T8H,42.0,36,1.17,0.0
2014,0340,Edmonton,T0C,1.0,1,1.0,0.0
2014,0340,Edmonton,T5A,13.0,1,13.0,4.0
2014,0340,Edmonton,T5X,67.0,60,1.12,0.13
2014,0340,Edmonton,T4X,17.0,16,1.06,0.0
2014,0340,Edmonton,T5Y,55.0,42,1.31,0.0
2014,0340,Edmonton,T5M,3.0,3,1.0,0.0
2014,0340,Edmonton,T5P,2.0,2,1.0,2.0
