reference_period,metcode,metro,FSA,dweltype,mkttycd,inventory,num_structures,unitsperstructure,avgstorycnt
2010,1060,Montreal,J6W,5.0,1.0,3.0,2,1.5,0.0
2010,1060,Montreal,J6Y,1.0,1.0,2.0,2,1.0,0.0
2010,1060,Montreal,J7H,4.0,1.0,2.0,2,1.0,2.5
2010,1060,Montreal,J7V,2.0,1.0,1.0,1,1.0,0.0
2010,1060,Montreal,nan,5.0,3.0,243.0,94,2.59,1.49
2011,1060,Montreal,H1E,2.0,1.0,5.0,5,1.0,0.0
2011,1060,Montreal,H1G,2.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,H1N,5.0,3.0,5.0,1,5.0,0.0
2011,1060,Montreal,H3X,2.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,H4L,5.0,3.0,8.0,2,4.0,2.0
2011,1060,Montreal,H7A,5.0,3.0,16.0,8,2.0,0.0
2011,1060,Montreal,H9K,1.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,J0N,1.0,1.0,10.0,10,1.0,0.0
2011,1060,Montreal,J0N,4.0,1.0,11.0,9,1.22,0.33
2011,1060,Montreal,J0P,5.0,3.0,12.0,1,12.0,0.0
2011,1060,Montreal,J3H,5.0,3.0,12.0,5,2.4,1.8
2011,1060,Montreal,J4K,5.0,3.0,59.0,6,9.83,6.0
2011,1060,Montreal,J4Z,4.0,3.0,2.0,1,2.0,2.0
2011,1060,Montreal,J5R,1.0,1.0,8.0,8,1.0,0.0
2011,1060,Montreal,J6N,5.0,1.0,2.0,1,2.0,0.0
2011,1060,Montreal,J7J,5.0,1.0,12.0,6,2.0,0.0
2011,1060,Montreal,J7L,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J7T,2.0,1.0,3.0,3,1.0,0.0
2011,1060,Montreal,J7Y,5.0,3.0,17.0,4,4.25,0.75
2011,1060,Montreal,J7Z,1.0,1.0,9.0,9,1.0,0.0
2011,1060,Montreal,H1L,5.0,3.0,17.0,2,8.5,0.0
2011,1060,Montreal,H2R,5.0,3.0,6.0,2,3.0,1.5
2011,1060,Montreal,H3K,5.0,3.0,19.0,10,1.9,2.4
2011,1060,Montreal,H3Y,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,H7A,4.0,1.0,13.0,8,1.63,0.63
2011,1060,Montreal,H7L,1.0,1.0,4.0,4,1.0,0.0
2011,1060,Montreal,H7P,1.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,J3N,5.0,3.0,1.0,1,1.0,0.0
2011,1060,Montreal,J3V,5.0,3.0,24.0,3,8.0,1.33
2011,1060,Montreal,J4B,5.0,3.0,4.0,2,2.0,3.0
2011,1060,Montreal,J4L,5.0,3.0,1.0,1,1.0,0.0
2011,1060,Montreal,J4Z,2.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,J5C,5.0,3.0,13.0,3,4.33,3.0
2011,1060,Montreal,J5Y,5.0,3.0,5.0,3,1.67,0.0
2011,1060,Montreal,J6J,1.0,1.0,4.0,4,1.0,0.0
2011,1060,Montreal,J6N,5.0,3.0,2.0,1,2.0,2.0
2011,1060,Montreal,J6R,5.0,3.0,11.0,2,5.5,2.5
2011,1060,Montreal,J7E,5.0,3.0,18.0,6,3.0,0.0
2011,1060,Montreal,J7H,4.0,1.0,9.0,2,4.5,1.0
2011,1060,Montreal,J7M,4.0,3.0,3.0,1,3.0,0.0
2011,1060,Montreal,J7T,4.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,J7T,5.0,3.0,1.0,1,1.0,2.0
2011,1060,Montreal,J7X,4.0,1.0,5.0,2,2.5,0.0
2011,1060,Montreal,J7Y,2.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J7Z,5.0,3.0,7.0,3,2.33,1.0
2011,1060,Montreal,H3N,5.0,3.0,2.0,1,2.0,0.0
2011,1060,Montreal,H4A,5.0,3.0,30.0,1,30.0,5.0
2011,1060,Montreal,H7N,5.0,3.0,21.0,6,3.5,1.5
2011,1060,Montreal,H7T,5.0,3.0,2.0,1,2.0,2.0
2011,1060,Montreal,H7X,5.0,3.0,70.0,7,10.0,0.86
2011,1060,Montreal,H9E,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J3X,1.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,J4M,2.0,1.0,7.0,6,1.17,0.0
2011,1060,Montreal,J4W,5.0,1.0,1.0,1,1.0,2.0
2011,1060,Montreal,J5A,2.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J5L,2.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J5W,5.0,3.0,19.0,3,6.33,1.0
2011,1060,Montreal,J5Z,2.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J6X,1.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,J7J,1.0,1.0,4.0,4,1.0,0.0
2011,1060,Montreal,J7M,5.0,3.0,23.0,12,1.92,0.67
2011,1060,Montreal,J7Y,4.0,1.0,3.0,2,1.5,0.0
2011,1060,Montreal,nan,5.0,1.0,2.0,1,2.0,0.0
2011,1060,Montreal,H1E,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,H1H,5.0,3.0,2.0,1,2.0,0.0
2011,1060,Montreal,H1K,2.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,H2L,5.0,3.0,4.0,2,2.0,3.0
2011,1060,Montreal,H4A,5.0,1.0,2.0,2,1.0,2.0
2011,1060,Montreal,H7E,5.0,3.0,1.0,1,1.0,3.0
2011,1060,Montreal,H7P,5.0,3.0,2.0,2,1.0,3.0
2011,1060,Montreal,H9B,5.0,3.0,6.0,1,6.0,0.0
2011,1060,Montreal,H9S,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J3G,2.0,1.0,3.0,3,1.0,0.0
2011,1060,Montreal,J3H,1.0,1.0,3.0,3,1.0,0.0
2011,1060,Montreal,J7H,5.0,3.0,24.0,3,8.0,1.33
2011,1060,Montreal,J7V,2.0,1.0,4.0,3,1.33,0.0
2011,1060,Montreal,nan,4.0,1.0,77.0,36,2.14,0.64
2011,1060,Montreal,H1W,5.0,3.0,22.0,10,2.2,2.9
2011,1060,Montreal,H2K,5.0,3.0,2.0,1,2.0,3.0
2011,1060,Montreal,H4C,5.0,3.0,82.0,4,20.5,3.5
2011,1060,Montreal,H4N,5.0,3.0,48.0,2,24.0,6.0
2011,1060,Montreal,H7E,1.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,H7H,1.0,1.0,6.0,6,1.0,0.0
2011,1060,Montreal,H7X,1.0,1.0,6.0,6,1.0,0.0
2011,1060,Montreal,H7X,4.0,1.0,1.0,1,1.0,2.0
2011,1060,Montreal,H9K,5.0,3.0,2.0,1,2.0,3.0
2011,1060,Montreal,H9S,5.0,3.0,4.0,1,4.0,0.0
2011,1060,Montreal,J0P,1.0,1.0,6.0,6,1.0,0.0
2011,1060,Montreal,J3G,1.0,1.0,10.0,10,1.0,0.0
2011,1060,Montreal,J3N,1.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,J3Y,1.0,1.0,10.0,10,1.0,0.0
2011,1060,Montreal,J3Y,4.0,1.0,8.0,7,1.14,1.14
2011,1060,Montreal,J4P,5.0,3.0,3.0,1,3.0,0.0
2011,1060,Montreal,J5A,5.0,3.0,18.0,6,3.0,2.0
2011,1060,Montreal,J5L,4.0,1.0,3.0,1,3.0,0.0
2011,1060,Montreal,J5L,5.0,3.0,14.0,7,2.0,0.29
2011,1060,Montreal,J5R,4.0,1.0,2.0,1,2.0,0.0
2011,1060,Montreal,J5Z,1.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,J5Z,5.0,3.0,51.0,9,5.67,1.33
2011,1060,Montreal,J6K,5.0,3.0,15.0,10,1.5,2.2
2011,1060,Montreal,J6R,1.0,1.0,5.0,5,1.0,0.0
2011,1060,Montreal,J6R,2.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,J7M,1.0,1.0,15.0,15,1.0,0.0
2011,1060,Montreal,J7V,1.0,1.0,15.0,15,1.0,0.0
2011,1060,Montreal,J7V,4.0,1.0,10.0,8,1.25,0.0
2011,1060,Montreal,H1E,5.0,3.0,5.0,4,1.25,0.75
2011,1060,Montreal,H1G,5.0,3.0,19.0,1,19.0,0.0
2011,1060,Montreal,H2M,5.0,3.0,3.0,3,1.0,2.0
2011,1060,Montreal,H2T,5.0,3.0,2.0,1,2.0,3.0
2011,1060,Montreal,H4G,5.0,3.0,1.0,1,1.0,0.0
2011,1060,Montreal,H4J,5.0,3.0,5.0,1,5.0,0.0
2011,1060,Montreal,J0L,2.0,1.0,19.0,19,1.0,0.0
2011,1060,Montreal,J0L,5.0,3.0,12.0,5,2.4,0.4
2011,1060,Montreal,J3G,5.0,3.0,11.0,5,2.2,1.4
2011,1060,Montreal,J3V,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J3Y,5.0,3.0,82.0,26,3.15,1.65
2011,1060,Montreal,J4J,5.0,3.0,2.0,2,1.0,1.0
2011,1060,Montreal,J5R,5.0,3.0,16.0,3,5.33,2.33
2011,1060,Montreal,J5T,1.0,1.0,4.0,4,1.0,0.0
2011,1060,Montreal,J5T,5.0,1.0,2.0,1,2.0,0.0
2011,1060,Montreal,J7C,1.0,1.0,14.0,14,1.0,0.0
2011,1060,Montreal,J7C,5.0,3.0,17.0,6,2.83,1.0
2011,1060,Montreal,J7J,2.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J7R,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J7R,2.0,1.0,4.0,3,1.33,0.0
2011,1060,Montreal,J7Z,4.0,1.0,4.0,1,4.0,0.0
2011,1060,Montreal,nan,5.0,3.0,306.0,86,3.56,1.28
2011,1060,Montreal,H1A,5.0,3.0,7.0,3,2.33,0.0
2011,1060,Montreal,H1V,5.0,3.0,6.0,4,1.5,3.0
2011,1060,Montreal,H2J,5.0,3.0,2.0,1,2.0,4.0
2011,1060,Montreal,H4B,5.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,H4E,5.0,3.0,5.0,3,1.67,3.0
2011,1060,Montreal,H7A,1.0,1.0,5.0,5,1.0,0.0
2011,1060,Montreal,H7G,5.0,3.0,3.0,1,3.0,0.0
2011,1060,Montreal,H7K,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,H9G,5.0,3.0,3.0,1,3.0,0.0
2011,1060,Montreal,H9J,5.0,3.0,12.0,1,12.0,0.0
2011,1060,Montreal,J0N,5.0,3.0,51.0,20,2.55,0.1
2011,1060,Montreal,J4M,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J4Y,4.0,1.0,3.0,2,1.5,0.0
2011,1060,Montreal,J5B,5.0,3.0,13.0,1,13.0,3.0
2011,1060,Montreal,J5C,2.0,1.0,4.0,4,1.0,0.0
2011,1060,Montreal,J6A,5.0,3.0,102.0,4,25.5,4.5
2011,1060,Montreal,J6K,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J6Y,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J7K,5.0,3.0,10.0,2,5.0,0.0
2011,1060,Montreal,J7Z,2.0,1.0,8.0,6,1.33,0.0
2011,1060,Montreal,nan,4.0,3.0,27.0,19,1.42,0.53
2011,1060,Montreal,H2B,5.0,3.0,1.0,1,1.0,2.0
2011,1060,Montreal,H2H,5.0,3.0,4.0,3,1.33,1.0
2011,1060,Montreal,H7H,5.0,3.0,3.0,1,3.0,0.0
2011,1060,Montreal,H7L,5.0,3.0,9.0,3,3.0,1.0
2011,1060,Montreal,H7V,5.0,3.0,8.0,1,8.0,7.0
2011,1060,Montreal,H9C,1.0,1.0,3.0,3,1.0,0.0
2011,1060,Montreal,H9H,5.0,3.0,3.0,1,3.0,0.0
2011,1060,Montreal,H9X,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J3H,4.0,1.0,2.0,1,2.0,2.0
2011,1060,Montreal,J3H,4.0,3.0,3.0,1,3.0,0.0
2011,1060,Montreal,J3L,1.0,1.0,16.0,16,1.0,0.0
2011,1060,Montreal,J3L,5.0,3.0,19.0,13,1.46,0.85
2011,1060,Montreal,J3Y,2.0,1.0,12.0,11,1.09,0.0
2011,1060,Montreal,J4H,5.0,3.0,3.0,1,3.0,4.0
2011,1060,Montreal,J4M,5.0,3.0,22.0,8,2.75,1.75
2011,1060,Montreal,J4W,2.0,1.0,4.0,2,2.0,0.0
2011,1060,Montreal,J5L,1.0,1.0,31.0,31,1.0,0.0
2011,1060,Montreal,J5W,1.0,1.0,26.0,26,1.0,0.0
2011,1060,Montreal,J5W,2.0,1.0,9.0,8,1.13,0.0
2011,1060,Montreal,J6J,2.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,J7M,4.0,1.0,10.0,7,1.43,0.0
2011,1060,Montreal,J7Y,1.0,1.0,9.0,9,1.0,0.0
2011,1060,Montreal,H2A,5.0,3.0,22.0,12,1.83,1.75
2011,1060,Montreal,H7L,4.0,1.0,2.0,1,2.0,0.0
2011,1060,Montreal,H7T,1.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,H7W,5.0,3.0,91.0,2,45.5,4.5
2011,1060,Montreal,H7Y,4.0,1.0,9.0,2,4.5,1.0
2011,1060,Montreal,H9K,2.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J0N,2.0,1.0,8.0,7,1.14,0.0
2011,1060,Montreal,J0N,5.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J3L,2.0,1.0,7.0,7,1.0,0.0
2011,1060,Montreal,J3N,4.0,3.0,3.0,1,3.0,0.0
2011,1060,Montreal,J4J,5.0,1.0,2.0,1,2.0,0.0
2011,1060,Montreal,J4K,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J5C,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J5X,2.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,J5Y,1.0,1.0,25.0,25,1.0,0.0
2011,1060,Montreal,J7C,2.0,1.0,12.0,10,1.2,0.0
2011,1060,Montreal,J7C,5.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,J7P,5.0,3.0,8.0,2,4.0,0.0
2011,1060,Montreal,J7R,5.0,3.0,12.0,2,6.0,1.5
2011,1060,Montreal,H1G,1.0,1.0,2.0,2,1.0,0.0
2011,1060,Montreal,H2S,5.0,3.0,2.0,1,2.0,0.0
2011,1060,Montreal,H4B,5.0,3.0,5.0,1,5.0,4.0
2011,1060,Montreal,H4K,5.0,1.0,3.0,2,1.5,0.0
2011,1060,Montreal,H7K,5.0,3.0,6.0,1,6.0,0.0
2011,1060,Montreal,H7X,2.0,1.0,6.0,4,1.5,0.0
2011,1060,Montreal,H7Y,5.0,3.0,2.0,1,2.0,3.0
2011,1060,Montreal,H8P,5.0,3.0,5.0,2,2.5,1.0
2011,1060,Montreal,H8R,4.0,1.0,30.0,5,6.0,0.8
2011,1060,Montreal,H8Y,1.0,1.0,1.0,1,1.0,0.0
2011,1060,Montreal,H9K,4.0,1.0,2.0,1,2.0,0.0
2011,1060,Montreal,J0L,1.0,1.0,13.0,13,1.0,0.0
2011,1060,Montreal,J4T,5.0,3.0,6.0,3,2.0,1.33
2011,1060,Montreal,J5R,4.0,3.0,6.0,4,1.5,2.0
2011,1060,Montreal,J6A,1.0,1.0,4.0,4,1.0,0.0
2011,1060,Montreal,J6Z,1.0,1.0,3.0,3,1.0,0.0
2011,1060,Montreal,J7C,4.0,1.0,2.0,1,2.0,0.0
2011,1060,Montreal,J7V,5.0,3.0,16.0,3,5.33,0.0
2011,1060,Montreal,nan,1.0,1.0,161.0,161,1.0,0.0
2011,1060,Montreal,nan,2.0,1.0,94.0,76,1.24,0.0
2012,1060,Montreal,H1B,5.0,3.0,6.0,3,2.0,2.33
2012,1060,Montreal,H1C,2.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,H2C,5.0,3.0,3.0,2,1.5,2.5
2012,1060,Montreal,H2E,5.0,3.0,7.0,2,3.5,2.5
2012,1060,Montreal,H2H,5.0,3.0,24.0,2,12.0,3.5
2012,1060,Montreal,H3N,5.0,3.0,8.0,2,4.0,3.0
2012,1060,Montreal,H4A,5.0,3.0,1.0,1,1.0,4.0
2012,1060,Montreal,H4N,5.0,3.0,49.0,2,24.5,13.0
2012,1060,Montreal,H7A,2.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,H7E,5.0,3.0,9.0,4,2.25,3.0
2012,1060,Montreal,H7L,2.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,H7N,5.0,3.0,2.0,1,2.0,9.0
2012,1060,Montreal,H9H,5.0,3.0,20.0,1,20.0,10.0
2012,1060,Montreal,H9S,5.0,3.0,3.0,1,3.0,4.0
2012,1060,Montreal,J0N,1.0,1.0,4.0,4,1.0,0.0
2012,1060,Montreal,J0V,1.0,1.0,2.0,2,1.0,0.0
2012,1060,Montreal,J3V,1.0,1.0,2.0,2,1.0,0.0
2012,1060,Montreal,J3V,2.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,J3X,2.0,1.0,3.0,3,1.0,0.0
2012,1060,Montreal,J4M,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,J4W,1.0,1.0,2.0,2,1.0,0.0
2012,1060,Montreal,J5A,2.0,1.0,6.0,5,1.2,0.0
2012,1060,Montreal,J5X,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,J6A,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,J6A,5.0,3.0,34.0,3,11.33,9.0
2012,1060,Montreal,J6J,4.0,1.0,2.0,1,2.0,3.0
2012,1060,Montreal,J6N,5.0,3.0,5.0,2,2.5,2.0
2012,1060,Montreal,J7C,5.0,1.0,2.0,1,2.0,1.0
2012,1060,Montreal,J7H,5.0,3.0,4.0,1,4.0,4.0
2012,1060,Montreal,J7J,4.0,1.0,4.0,1,4.0,2.0
2012,1060,Montreal,J7R,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,J7Z,5.0,3.0,3.0,2,1.5,2.5
2012,1060,Montreal,H1H,5.0,3.0,1.0,1,1.0,3.0
2012,1060,Montreal,H1X,5.0,3.0,11.0,2,5.5,3.0
2012,1060,Montreal,H2R,5.0,3.0,2.0,1,2.0,3.0
2012,1060,Montreal,H2W,5.0,3.0,10.0,4,2.5,3.0
2012,1060,Montreal,H4J,5.0,3.0,5.0,2,2.5,4.0
2012,1060,Montreal,H7H,1.0,1.0,3.0,3,1.0,0.0
2012,1060,Montreal,H7T,5.0,3.0,2.0,1,2.0,2.0
2012,1060,Montreal,H8T,5.0,3.0,1.0,1,1.0,4.0
2012,1060,Montreal,H9X,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,J0L,2.0,1.0,8.0,7,1.14,0.0
2012,1060,Montreal,J0N,2.0,1.0,6.0,4,1.5,0.0
2012,1060,Montreal,J4Z,4.0,3.0,1.0,1,1.0,2.0
2012,1060,Montreal,J5R,2.0,1.0,5.0,5,1.0,0.0
2012,1060,Montreal,J5R,4.0,1.0,3.0,3,1.0,0.0
2012,1060,Montreal,J7J,1.0,1.0,7.0,7,1.0,0.0
2012,1060,Montreal,J7M,5.0,3.0,4.0,2,2.0,2.5
2012,1060,Montreal,J7T,5.0,3.0,1.0,1,1.0,2.0
2012,1060,Montreal,J7V,1.0,1.0,10.0,10,1.0,0.0
2012,1060,Montreal,J7V,4.0,3.0,1.0,1,1.0,2.0
2012,1060,Montreal,J7Y,4.0,1.0,3.0,3,1.0,1.33
2012,1060,Montreal,J7Y,5.0,3.0,19.0,6,3.17,2.33
2012,1060,Montreal,nan,4.0,3.0,10.0,7,1.43,0.86
2012,1060,Montreal,H1C,5.0,3.0,11.0,6,1.83,2.0
2012,1060,Montreal,H3J,5.0,3.0,9.0,2,4.5,4.0
2012,1060,Montreal,H3L,5.0,3.0,21.0,1,21.0,7.0
2012,1060,Montreal,H3S,5.0,3.0,4.0,1,4.0,3.0
2012,1060,Montreal,H4E,5.0,3.0,4.0,2,2.0,2.0
2012,1060,Montreal,H7M,5.0,3.0,19.0,1,19.0,7.0
2012,1060,Montreal,H8Z,5.0,3.0,5.0,2,2.5,3.5
2012,1060,Montreal,H9K,1.0,1.0,3.0,3,1.0,0.0
2012,1060,Montreal,J3L,1.0,1.0,32.0,32,1.0,0.0
2012,1060,Montreal,J3N,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,J3X,4.0,1.0,2.0,2,1.0,0.0
2012,1060,Montreal,J4J,5.0,3.0,6.0,3,2.0,2.33
2012,1060,Montreal,J4T,2.0,1.0,2.0,1,2.0,0.0
2012,1060,Montreal,J4T,5.0,3.0,10.0,2,5.0,2.5
2012,1060,Montreal,J4Y,4.0,1.0,6.0,1,6.0,3.0
2012,1060,Montreal,J5T,1.0,1.0,4.0,4,1.0,0.0
2012,1060,Montreal,J5Z,4.0,1.0,6.0,3,2.0,2.0
2012,1060,Montreal,J7L,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,J7M,2.0,1.0,4.0,4,1.0,0.0
2012,1060,Montreal,H1E,1.0,1.0,2.0,2,1.0,0.0
2012,1060,Montreal,H1E,5.0,3.0,15.0,3,5.0,3.0
2012,1060,Montreal,H1W,5.0,3.0,14.0,4,3.5,3.25
2012,1060,Montreal,H2G,5.0,3.0,2.0,1,2.0,3.0
2012,1060,Montreal,H7L,4.0,1.0,4.0,1,4.0,2.0
2012,1060,Montreal,H7V,5.0,1.0,2.0,1,2.0,2.0
2012,1060,Montreal,H7Y,4.0,1.0,1.0,1,1.0,2.0
2012,1060,Montreal,H8Y,2.0,1.0,2.0,1,2.0,0.0
2012,1060,Montreal,H9W,4.0,1.0,4.0,1,4.0,2.0
2012,1060,Montreal,J3G,2.0,1.0,4.0,3,1.33,0.0
2012,1060,Montreal,J3G,5.0,3.0,11.0,5,2.2,1.6
2012,1060,Montreal,J3N,5.0,3.0,13.0,5,2.6,2.6
2012,1060,Montreal,J4K,5.0,3.0,31.0,5,6.2,2.2
2012,1060,Montreal,J4M,5.0,3.0,17.0,12,1.42,2.0
2012,1060,Montreal,J4P,5.0,3.0,4.0,1,4.0,5.0
2012,1060,Montreal,J4W,2.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,J4Z,1.0,1.0,2.0,2,1.0,0.0
2012,1060,Montreal,J5A,4.0,1.0,4.0,3,1.33,2.0
2012,1060,Montreal,J5X,5.0,3.0,6.0,1,6.0,3.0
2012,1060,Montreal,J5Z,2.0,1.0,2.0,2,1.0,0.0
2012,1060,Montreal,J6J,2.0,1.0,2.0,2,1.0,0.0
2012,1060,Montreal,J7J,5.0,1.0,4.0,2,2.0,1.0
2012,1060,Montreal,J7T,1.0,1.0,2.0,2,1.0,0.0
2012,1060,Montreal,nan,5.0,1.0,4.0,2,2.0,1.0
2012,1060,Montreal,H1E,5.0,1.0,1.0,1,1.0,2.0
2012,1060,Montreal,H1H,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,H2K,5.0,3.0,8.0,4,2.0,3.0
2012,1060,Montreal,H2X,5.0,3.0,2.0,1,2.0,4.0
2012,1060,Montreal,H3K,5.0,3.0,8.0,3,2.67,3.0
2012,1060,Montreal,H3P,5.0,3.0,10.0,2,5.0,5.5
2012,1060,Montreal,H4L,5.0,3.0,1.0,1,1.0,3.0
2012,1060,Montreal,H7A,5.0,3.0,51.0,11,4.64,2.91
2012,1060,Montreal,H7G,5.0,3.0,27.0,1,27.0,5.0
2012,1060,Montreal,H7H,2.0,1.0,3.0,3,1.0,0.0
2012,1060,Montreal,H7W,5.0,3.0,47.0,1,47.0,9.0
2012,1060,Montreal,H7X,4.0,1.0,3.0,1,3.0,2.0
2012,1060,Montreal,H7X,5.0,3.0,46.0,3,15.33,4.33
2012,1060,Montreal,H7Y,5.0,3.0,29.0,2,14.5,5.0
2012,1060,Montreal,H8S,5.0,3.0,20.0,1,20.0,6.0
2012,1060,Montreal,H8T,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,H8Y,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,H9C,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,H9J,4.0,3.0,2.0,1,2.0,2.0
2012,1060,Montreal,J0L,4.0,1.0,4.0,3,1.33,2.0
2012,1060,Montreal,J0L,4.0,3.0,1.0,1,1.0,2.0
2012,1060,Montreal,J0P,5.0,3.0,15.0,1,15.0,2.0
2012,1060,Montreal,J3G,4.0,3.0,3.0,2,1.5,2.0
2012,1060,Montreal,J3H,1.0,1.0,4.0,4,1.0,0.0
2012,1060,Montreal,J3L,5.0,3.0,17.0,10,1.7,2.4
2012,1060,Montreal,J3X,1.0,1.0,2.0,2,1.0,0.0
2012,1060,Montreal,J3X,5.0,3.0,9.0,4,2.25,2.0
2012,1060,Montreal,J4K,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,J4V,4.0,3.0,7.0,3,2.33,2.0
2012,1060,Montreal,J5B,5.0,3.0,9.0,2,4.5,2.5
2012,1060,Montreal,J5C,2.0,1.0,4.0,3,1.33,0.0
2012,1060,Montreal,J5R,4.0,3.0,2.0,2,1.0,2.0
2012,1060,Montreal,J5Y,1.0,1.0,11.0,11,1.0,0.0
2012,1060,Montreal,J5Z,5.0,3.0,21.0,7,3.0,3.71
2012,1060,Montreal,J6J,5.0,3.0,3.0,2,1.5,2.0
2012,1060,Montreal,J6W,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,J6X,1.0,1.0,3.0,3,1.0,0.0
2012,1060,Montreal,J6Y,5.0,3.0,3.0,1,3.0,3.0
2012,1060,Montreal,J7R,5.0,3.0,6.0,1,6.0,1.0
2012,1060,Montreal,J7V,4.0,1.0,5.0,3,1.67,2.0
2012,1060,Montreal,J7Z,2.0,1.0,6.0,5,1.2,0.0
2012,1060,Montreal,nan,5.0,3.0,311.0,77,4.04,3.18
2012,1060,Montreal,H1A,5.0,3.0,4.0,1,4.0,2.0
2012,1060,Montreal,H1C,1.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,H1K,4.0,1.0,2.0,2,1.0,2.5
2012,1060,Montreal,H2L,5.0,3.0,17.0,6,2.83,3.33
2012,1060,Montreal,H7A,4.0,1.0,4.0,1,4.0,3.0
2012,1060,Montreal,H7L,5.0,3.0,4.0,3,1.33,2.0
2012,1060,Montreal,H9B,5.0,3.0,6.0,1,6.0,5.0
2012,1060,Montreal,H9K,2.0,1.0,1.0,1,1.0,0.0
2012,1060,Montreal,J0L,1.0,1.0,13.0,13,1.0,0.0
2012,1060,Montreal,J0L,5.0,1.0,1.0,1,1.0,2.0
2012,1060,Montreal,J0P,1.0,1.0,21.0,21,1.0,0.0
2012,1060,Montreal,J3H,4.0,3.0,8.0,4,2.0,1.5
2012,1060,Montreal,J3Y,5.0,3.0,59.0,21,2.81,2.67
2012,1060,Montreal,J4M,2.0,1.0,3.0,2,1.5,0.0
2012,1060,Montreal,J4N,5.0,3.0,16.0,2,8.0,4.0
2012,1060,Montreal,J5L,1.0,1.0,16.0,16,1.0,0.0
2012,1060,Montreal,J5L,5.0,3.0,2.0,2,1.0,2.5
2012,1060,Montreal,J6J,1.0,1.0,7.0,7,1.0,0.0
2012,1060,Montreal,J6N,2.0,1.0,2.0,2,1.0,0.0
2012,1060,Montreal,J6N,5.0,1.0,1.0,1,1.0,2.0
2012,1060,Montreal,J6Z,1.0,1.0,2.0,2,1.0,0.0
2012,1060,Montreal,J7C,1.0,1.0,7.0,7,1.0,0.0
2012,1060,Montreal,J7R,2.0,1.0,2.0,1,2.0,0.0
