reference_period,ref_qq,metcode,metro,dweltype,mkttycd,inventory,num_structures,unitsperstructure,avgstorycnt,inventory_per_10kpop
1992-03-01,1,0140,Calgary,4.0,3.0,81.0,28,2.89,0.0,1.04
1992-03-01,1,0140,Calgary,4.0,1.0,3.0,1,3.0,0.0,0.04
1992-03-01,1,0140,Calgary,2.0,3.0,7.0,8,0.88,0.0,0.09
1992-03-01,1,0140,Calgary,1.0,1.0,446.0,829,0.54,0.0,5.7
1992-03-01,1,0140,Calgary,2.0,1.0,57.0,55,1.04,0.0,0.73
1992-03-01,1,0140,Calgary,5.0,3.0,20.0,4,5.0,0.75,0.26
1992-06-01,2,0140,Calgary,4.0,3.0,72.0,26,2.77,0.0,0.92
1992-06-01,2,0140,Calgary,2.0,1.0,59.0,54,1.09,0.0,0.75
1992-06-01,2,0140,Calgary,5.0,3.0,34.0,8,4.25,0.0,0.43
1992-06-01,2,0140,Calgary,2.0,3.0,9.0,8,1.13,0.0,0.11
1992-06-01,2,0140,Calgary,5.0,1.0,1.0,1,1.0,0.0,0.01
1992-06-01,2,0140,Calgary,1.0,1.0,439.0,1009,0.44,0.0,5.59
1992-09-01,3,0140,Calgary,5.0,3.0,21.0,5,4.2,0.0,0.27
1992-09-01,3,0140,Calgary,2.0,3.0,7.0,5,1.4,0.0,0.09
1992-09-01,3,0140,Calgary,2.0,1.0,46.0,53,0.87,0.0,0.58
1992-09-01,3,0140,Calgary,4.0,3.0,94.0,42,2.24,0.0,1.2
1992-09-01,3,0140,Calgary,1.0,1.0,348.0,982,0.35,0.0,4.43
1992-12-01,4,0140,Calgary,1.0,1.0,344.0,797,0.43,0.0,4.36
1992-12-01,4,0140,Calgary,2.0,1.0,49.0,54,0.91,0.0,0.62
1992-12-01,4,0140,Calgary,4.0,3.0,113.0,49,2.31,0.0,1.43
1992-12-01,4,0140,Calgary,2.0,3.0,10.0,9,1.11,0.0,0.13
1992-12-01,4,0140,Calgary,5.0,3.0,38.0,7,5.43,0.0,0.48
1993-03-01,1,0140,Calgary,2.0,3.0,18.0,17,1.06,0.0,0.23
1993-03-01,1,0140,Calgary,5.0,3.0,33.0,7,4.71,0.0,0.42
1993-03-01,1,0140,Calgary,5.0,1.0,4.0,1,4.0,0.0,0.05
1993-03-01,1,0140,Calgary,1.0,3.0,5.0,6,0.83,0.0,0.06
1993-03-01,1,0140,Calgary,1.0,1.0,391.0,703,0.56,0.0,4.93
1993-03-01,1,0140,Calgary,2.0,1.0,38.0,42,0.9,0.0,0.48
1993-03-01,1,0140,Calgary,4.0,3.0,92.0,39,2.36,0.0,1.16
1993-06-01,2,0140,Calgary,1.0,1.0,489.0,949,0.52,0.0,6.14
1993-06-01,2,0140,Calgary,2.0,1.0,64.0,59,1.08,0.0,0.8
1993-06-01,2,0140,Calgary,2.0,3.0,19.0,21,0.9,0.0,0.24
1993-06-01,2,0140,Calgary,5.0,3.0,31.0,9,3.44,0.0,0.39
1993-06-01,2,0140,Calgary,4.0,3.0,110.0,46,2.39,0.0,1.38
1993-06-01,2,0140,Calgary,1.0,3.0,3.0,4,0.75,0.0,0.04
1993-09-01,3,0140,Calgary,4.0,1.0,1.0,1,1.0,0.0,0.01
1993-09-01,3,0140,Calgary,1.0,3.0,7.0,9,0.78,0.0,0.09
1993-09-01,3,0140,Calgary,1.0,1.0,487.0,987,0.49,0.0,6.09
1993-09-01,3,0140,Calgary,4.0,3.0,83.0,39,2.13,0.0,1.04
1993-09-01,3,0140,Calgary,2.0,3.0,12.0,15,0.8,0.0,0.15
1993-09-01,3,0140,Calgary,2.0,1.0,71.0,68,1.04,0.0,0.89
1993-09-01,3,0140,Calgary,5.0,3.0,22.0,6,3.67,0.0,0.28
1993-12-01,4,0140,Calgary,2.0,3.0,14.0,13,1.08,0.0,0.17
1993-12-01,4,0140,Calgary,2.0,1.0,58.0,60,0.97,0.0,0.72
1993-12-01,4,0140,Calgary,5.0,3.0,15.0,5,3.0,0.0,0.19
1993-12-01,4,0140,Calgary,4.0,3.0,73.0,38,1.92,0.0,0.91
1993-12-01,4,0140,Calgary,4.0,1.0,3.0,2,1.5,0.0,0.04
1993-12-01,4,0140,Calgary,1.0,1.0,474.0,893,0.53,0.0,5.9
1993-12-01,4,0140,Calgary,1.0,3.0,4.0,5,0.8,0.0,0.05
1994-03-01,1,0140,Calgary,4.0,1.0,7.0,4,1.75,0.0,0.09
1994-03-01,1,0140,Calgary,4.0,3.0,72.0,36,2.0,0.0,0.89
1994-03-01,1,0140,Calgary,2.0,1.0,55.0,52,1.06,0.0,0.68
1994-03-01,1,0140,Calgary,1.0,1.0,542.0,850,0.64,0.0,6.71
1994-03-01,1,0140,Calgary,2.0,3.0,16.0,16,1.0,0.0,0.2
1994-03-01,1,0140,Calgary,5.0,3.0,45.0,5,9.0,0.0,0.56
1994-03-01,1,0140,Calgary,1.0,3.0,2.0,2,1.0,0.0,0.02
1994-06-01,2,0140,Calgary,1.0,1.0,494.0,1063,0.46,0.0,6.09
1994-06-01,2,0140,Calgary,2.0,3.0,21.0,25,0.84,0.0,0.26
1994-06-01,2,0140,Calgary,4.0,3.0,71.0,40,1.78,0.0,0.87
1994-06-01,2,0140,Calgary,5.0,3.0,39.0,6,6.5,0.0,0.48
1994-06-01,2,0140,Calgary,4.0,1.0,6.0,4,1.5,0.0,0.07
1994-06-01,2,0140,Calgary,1.0,3.0,1.0,1,1.0,0.0,0.01
1994-06-01,2,0140,Calgary,2.0,1.0,37.0,61,0.61,0.0,0.46
1994-09-01,3,0140,Calgary,1.0,3.0,1.0,1,1.0,0.0,0.01
1994-09-01,3,0140,Calgary,4.0,3.0,73.0,46,1.59,0.0,0.89
1994-09-01,3,0140,Calgary,2.0,1.0,35.0,35,1.0,0.0,0.43
1994-09-01,3,0140,Calgary,5.0,3.0,31.0,6,5.17,0.0,0.38
1994-09-01,3,0140,Calgary,2.0,3.0,21.0,18,1.17,0.0,0.26
1994-09-01,3,0140,Calgary,4.0,1.0,6.0,4,1.5,0.0,0.07
1994-09-01,3,0140,Calgary,1.0,1.0,560.0,1160,0.48,0.0,6.86
1994-12-01,4,0140,Calgary,2.0,1.0,35.0,31,1.13,0.0,0.43
1994-12-01,4,0140,Calgary,5.0,3.0,15.0,4,3.75,0.0,0.18
1994-12-01,4,0140,Calgary,4.0,3.0,67.0,41,1.63,0.0,0.82
1994-12-01,4,0140,Calgary,1.0,1.0,521.0,864,0.6,0.0,6.35
1994-12-01,4,0140,Calgary,4.0,1.0,3.0,2,1.5,0.0,0.04
1994-12-01,4,0140,Calgary,2.0,3.0,29.0,25,1.16,0.0,0.35
1994-12-01,4,0140,Calgary,1.0,3.0,1.0,2,0.5,0.0,0.01
1995-03-01,1,0140,Calgary,2.0,3.0,24.0,17,1.41,0.0,0.29
1995-03-01,1,0140,Calgary,1.0,3.0,1.0,1,1.0,0.0,0.01
1995-03-01,1,0140,Calgary,5.0,3.0,21.0,4,5.25,0.0,0.25
1995-03-01,1,0140,Calgary,4.0,1.0,12.0,5,2.4,0.0,0.15
1995-03-01,1,0140,Calgary,4.0,3.0,91.0,48,1.9,0.0,1.1
1995-03-01,1,0140,Calgary,2.0,1.0,39.0,33,1.18,0.0,0.47
1995-03-01,1,0140,Calgary,1.0,1.0,750.0,1012,0.74,0.0,9.09
1995-06-01,2,0140,Calgary,2.0,3.0,28.0,24,1.17,0.0,0.34
1995-06-01,2,0140,Calgary,4.0,1.0,18.0,5,3.6,0.0,0.22
1995-06-01,2,0140,Calgary,1.0,3.0,1.0,1,1.0,0.0,0.01
1995-06-01,2,0140,Calgary,4.0,3.0,74.0,45,1.64,0.0,0.89
1995-06-01,2,0140,Calgary,2.0,1.0,39.0,45,0.87,0.0,0.47
1995-06-01,2,0140,Calgary,5.0,3.0,26.0,4,6.5,0.0,0.31
1995-06-01,2,0140,Calgary,1.0,1.0,720.0,1219,0.59,0.0,8.67
1995-09-01,3,0140,Calgary,2.0,1.0,38.0,38,1.0,0.0,0.46
1995-09-01,3,0140,Calgary,1.0,1.0,592.0,1165,0.51,0.0,7.1
1995-09-01,3,0140,Calgary,2.0,3.0,37.0,34,1.09,0.0,0.44
1995-09-01,3,0140,Calgary,4.0,1.0,5.0,2,2.5,0.0,0.06
1995-09-01,3,0140,Calgary,5.0,3.0,24.0,5,4.8,0.0,0.29
1995-09-01,3,0140,Calgary,4.0,3.0,61.0,41,1.49,0.0,0.73
1995-09-01,3,0140,Calgary,1.0,3.0,1.0,1,1.0,0.0,0.01
1995-12-01,4,0140,Calgary,2.0,3.0,35.0,35,1.0,0.0,0.42
1995-12-01,4,0140,Calgary,4.0,3.0,80.0,51,1.57,0.0,0.95
1995-12-01,4,0140,Calgary,2.0,1.0,38.0,35,1.09,0.0,0.45
1995-12-01,4,0140,Calgary,1.0,1.0,596.0,993,0.6,0.0,7.1
1995-12-01,4,0140,Calgary,4.0,1.0,3.0,3,1.0,0.0,0.04
1995-12-01,4,0140,Calgary,1.0,3.0,1.0,1,1.0,0.0,0.01
1995-12-01,4,0140,Calgary,5.0,3.0,223.0,14,15.93,0.0,2.66
1996-03-01,1,0140,Calgary,4.0,1.0,2.0,2,1.0,0.0,0.02
1996-03-01,1,0140,Calgary,4.0,3.0,72.0,51,1.41,0.0,0.85
1996-03-01,1,0140,Calgary,1.0,1.0,637.0,1005,0.63,0.0,7.53
1996-03-01,1,0140,Calgary,2.0,1.0,37.0,36,1.03,0.0,0.44
1996-03-01,1,0140,Calgary,2.0,3.0,29.0,28,1.04,0.0,0.34
1996-03-01,1,0140,Calgary,1.0,3.0,1.0,1,1.0,0.0,0.01
1996-03-01,1,0140,Calgary,5.0,3.0,196.0,14,14.0,0.0,2.32
1996-06-01,2,0140,Calgary,1.0,1.0,575.0,1112,0.52,0.0,6.75
1996-06-01,2,0140,Calgary,4.0,1.0,6.0,5,1.2,0.0,0.07
1996-06-01,2,0140,Calgary,1.0,3.0,1.0,1,1.0,0.0,0.01
1996-06-01,2,0140,Calgary,2.0,3.0,31.0,37,0.84,0.0,0.36
1996-06-01,2,0140,Calgary,4.0,3.0,58.0,41,1.41,0.0,0.68
1996-06-01,2,0140,Calgary,5.0,3.0,175.0,17,10.29,0.0,2.05
1996-06-01,2,0140,Calgary,2.0,1.0,39.0,39,1.0,0.0,0.46
1996-09-01,3,0140,Calgary,5.0,3.0,150.0,17,8.82,0.0,1.74
1996-09-01,3,0140,Calgary,1.0,3.0,4.0,4,1.0,0.0,0.05
1996-09-01,3,0140,Calgary,2.0,3.0,36.0,33,1.09,0.0,0.42
1996-09-01,3,0140,Calgary,2.0,1.0,43.0,46,0.93,0.0,0.5
1996-09-01,3,0140,Calgary,4.0,3.0,33.0,24,1.38,0.0,0.38
1996-09-01,3,0140,Calgary,4.0,1.0,4.0,3,1.33,0.0,0.05
1996-09-01,3,0140,Calgary,1.0,1.0,484.0,1073,0.45,0.0,5.63
1996-12-01,4,0140,Calgary,4.0,1.0,11.0,6,1.83,0.0,0.13
1996-12-01,4,0140,Calgary,4.0,3.0,45.0,26,1.73,0.0,0.52
1996-12-01,4,0140,Calgary,1.0,1.0,446.0,919,0.49,0.0,5.14
1996-12-01,4,0140,Calgary,1.0,3.0,4.0,4,1.0,0.0,0.05
1996-12-01,4,0140,Calgary,2.0,1.0,37.0,43,0.86,0.0,0.43
1996-12-01,4,0140,Calgary,2.0,3.0,28.0,36,0.78,0.0,0.32
1996-12-01,4,0140,Calgary,5.0,3.0,121.0,17,7.12,0.0,1.4
1997-03-01,1,0140,Calgary,4.0,3.0,40.0,24,1.67,0.0,0.46
1997-03-01,1,0140,Calgary,5.0,3.0,104.0,17,6.12,0.0,1.19
1997-03-01,1,0140,Calgary,2.0,1.0,40.0,38,1.05,0.0,0.46
1997-03-01,1,0140,Calgary,1.0,1.0,452.0,872,0.52,0.0,5.17
1997-03-01,1,0140,Calgary,4.0,1.0,8.0,5,1.6,0.0,0.09
1997-03-01,1,0140,Calgary,1.0,3.0,1.0,2,0.5,0.0,0.01
1997-03-01,1,0140,Calgary,2.0,3.0,24.0,23,1.04,0.0,0.27
1997-06-01,2,0140,Calgary,5.0,3.0,71.0,17,4.18,0.0,0.8
1997-06-01,2,0140,Calgary,2.0,3.0,21.0,29,0.72,0.0,0.24
1997-06-01,2,0140,Calgary,4.0,3.0,26.0,17,1.53,0.0,0.29
1997-06-01,2,0140,Calgary,2.0,1.0,36.0,35,1.03,0.0,0.41
1997-06-01,2,0140,Calgary,1.0,1.0,445.0,1093,0.41,0.0,5.04
1997-06-01,2,0140,Calgary,1.0,3.0,1.0,4,0.25,0.0,0.01
1997-06-01,2,0140,Calgary,5.0,1.0,2.0,1,2.0,0.0,0.02
1997-06-01,2,0140,Calgary,4.0,1.0,2.0,2,1.0,0.0,0.02
1997-09-01,3,0140,Calgary,2.0,3.0,22.0,36,0.61,0.0,0.25
1997-09-01,3,0140,Calgary,1.0,1.0,439.0,1188,0.37,0.0,4.92
1997-09-01,3,0140,Calgary,2.0,1.0,46.0,46,1.0,0.0,0.52
1997-09-01,3,0140,Calgary,5.0,3.0,34.0,9,3.78,0.0,0.38
1997-09-01,3,0140,Calgary,5.0,1.0,2.0,1,2.0,0.0,0.02
1997-09-01,3,0140,Calgary,1.0,3.0,1.0,2,0.5,0.0,0.01
1997-09-01,3,0140,Calgary,4.0,3.0,23.0,16,1.44,0.0,0.26
1997-12-01,4,0140,Calgary,5.0,3.0,19.0,10,1.9,0.0,0.21
1997-12-01,4,0140,Calgary,5.0,1.0,1.0,1,1.0,0.0,0.01
1997-12-01,4,0140,Calgary,2.0,1.0,45.0,51,0.88,0.0,0.5
1997-12-01,4,0140,Calgary,4.0,3.0,20.0,15,1.33,0.0,0.22
1997-12-01,4,0140,Calgary,1.0,1.0,440.0,1154,0.38,0.0,4.89
1997-12-01,4,0140,Calgary,1.0,3.0,1.0,12,0.08,0.0,0.01
1997-12-01,4,0140,Calgary,2.0,3.0,25.0,31,0.81,0.0,0.28
1998-03-01,1,0140,Calgary,4.0,3.0,19.0,13,1.46,0.0,0.21
1998-03-01,1,0140,Calgary,2.0,3.0,22.0,31,0.71,0.0,0.24
1998-03-01,1,0140,Calgary,2.0,1.0,51.0,47,1.09,0.0,0.56
1998-03-01,1,0140,Calgary,1.0,1.0,499.0,1080,0.46,0.0,5.5
1998-03-01,1,0140,Calgary,5.0,3.0,22.0,10,2.2,0.0,0.24
1998-03-01,1,0140,Calgary,1.0,3.0,3.0,5,0.6,0.0,0.03
1998-06-01,2,0140,Calgary,5.0,1.0,2.0,1,2.0,0.0,0.02
1998-06-01,2,0140,Calgary,1.0,3.0,2.0,2,1.0,0.0,0.02
1998-06-01,2,0140,Calgary,2.0,3.0,25.0,32,0.78,0.0,0.27
1998-06-01,2,0140,Calgary,1.0,1.0,575.0,1300,0.44,0.0,6.29
1998-06-01,2,0140,Calgary,4.0,3.0,28.0,20,1.4,0.0,0.31
1998-06-01,2,0140,Calgary,5.0,3.0,25.0,13,1.92,0.0,0.27
1998-06-01,2,0140,Calgary,2.0,1.0,44.0,46,0.96,0.0,0.48
1998-09-01,3,0140,Calgary,1.0,1.0,676.0,1554,0.44,0.0,7.35
1998-09-01,3,0140,Calgary,5.0,3.0,12.0,7,1.71,0.0,0.13
1998-09-01,3,0140,Calgary,2.0,1.0,41.0,42,0.98,0.0,0.45
1998-09-01,3,0140,Calgary,5.0,1.0,3.0,1,3.0,0.0,0.03
1998-09-01,3,0140,Calgary,1.0,3.0,4.0,7,0.57,0.0,0.04
1998-09-01,3,0140,Calgary,4.0,3.0,19.0,14,1.36,0.0,0.21
1998-09-01,3,0140,Calgary,2.0,3.0,29.0,41,0.71,0.0,0.32
1998-09-01,3,0140,Calgary,4.0,1.0,1.0,1,1.0,0.0,0.01
1998-12-01,4,0140,Calgary,5.0,3.0,36.0,9,4.0,2.11,0.39
1998-12-01,4,0140,Calgary,1.0,3.0,5.0,10,0.5,0.0,0.05
1998-12-01,4,0140,Calgary,2.0,3.0,28.0,39,0.72,0.0,0.3
1998-12-01,4,0140,Calgary,1.0,1.0,724.0,1505,0.48,0.0,7.82
1998-12-01,4,0140,Calgary,2.0,1.0,39.0,54,0.72,0.0,0.42
1998-12-01,4,0140,Calgary,4.0,1.0,1.0,1,1.0,0.0,0.01
1998-12-01,4,0140,Calgary,5.0,1.0,1.0,1,1.0,0.0,0.01
1998-12-01,4,0140,Calgary,4.0,3.0,31.0,23,1.35,0.0,0.33
1999-03-01,1,0140,Calgary,2.0,1.0,46.0,41,1.12,0.0,0.49
1999-03-01,1,0140,Calgary,4.0,3.0,28.0,19,1.47,0.0,0.3
1999-03-01,1,0140,Calgary,4.0,1.0,2.0,2,1.0,0.0,0.02
1999-03-01,1,0140,Calgary,2.0,3.0,31.0,24,1.29,0.0,0.33
1999-03-01,1,0140,Calgary,1.0,3.0,5.0,5,1.0,0.0,0.05
1999-03-01,1,0140,Calgary,5.0,1.0,1.0,1,1.0,0.0,0.01
1999-03-01,1,0140,Calgary,5.0,3.0,43.0,15,2.87,1.8,0.46
1999-03-01,1,0140,Calgary,1.0,1.0,906.0,1419,0.64,0.0,9.72
1999-06-01,2,0140,Calgary,2.0,3.0,57.0,47,1.21,0.0,0.61
1999-06-01,2,0140,Calgary,5.0,3.0,82.0,18,4.56,1.56,0.87
1999-06-01,2,0140,Calgary,4.0,1.0,2.0,1,2.0,0.0,0.02
1999-06-01,2,0140,Calgary,4.0,3.0,26.0,15,1.73,0.0,0.28
1999-06-01,2,0140,Calgary,2.0,1.0,49.0,46,1.07,0.0,0.52
1999-06-01,2,0140,Calgary,1.0,3.0,9.0,10,0.9,0.0,0.1
1999-06-01,2,0140,Calgary,1.0,1.0,868.0,1392,0.62,0.0,9.26
1999-09-01,3,0140,Calgary,1.0,1.0,786.0,1360,0.58,0.0,8.33
1999-09-01,3,0140,Calgary,2.0,1.0,58.0,50,1.16,0.0,0.61
1999-09-01,3,0140,Calgary,5.0,3.0,106.0,21,5.05,1.52,1.12
1999-09-01,3,0140,Calgary,4.0,3.0,19.0,10,1.9,0.0,0.2
1999-09-01,3,0140,Calgary,2.0,3.0,51.0,47,1.09,0.0,0.54
1999-09-01,3,0140,Calgary,4.0,1.0,6.0,2,3.0,0.0,0.06
1999-09-01,3,0140,Calgary,1.0,3.0,15.0,16,0.94,0.0,0.16
1999-12-01,4,0140,Calgary,2.0,3.0,64.0,59,1.08,0.0,0.67
1999-12-01,4,0140,Calgary,2.0,1.0,85.0,68,1.25,0.0,0.89
1999-12-01,4,0140,Calgary,4.0,3.0,28.0,16,1.75,0.19,0.29
1999-12-01,4,0140,Calgary,1.0,3.0,17.0,21,0.81,0.0,0.18
1999-12-01,4,0140,Calgary,5.0,3.0,176.0,32,5.5,1.97,1.85
1999-12-01,4,0140,Calgary,4.0,1.0,2.0,1,2.0,0.0,0.02
1999-12-01,4,0140,Calgary,1.0,1.0,778.0,1355,0.57,0.0,8.19
2000-03-01,1,0140,Calgary,1.0,1.0,827.0,1301,0.64,0.0,8.65
2000-03-01,1,0140,Calgary,5.0,3.0,164.0,41,4.0,2.39,1.72
2000-03-01,1,0140,Calgary,4.0,3.0,49.0,24,2.04,0.13,0.51
2000-03-01,1,0140,Calgary,2.0,1.0,94.0,73,1.29,0.0,0.98
2000-03-01,1,0140,Calgary,2.0,3.0,73.0,58,1.26,0.0,0.76
2000-03-01,1,0140,Calgary,1.0,3.0,12.0,19,0.63,0.0,0.13
2000-06-01,2,0140,Calgary,1.0,1.0,886.0,1486,0.6,0.0,9.21
2000-06-01,2,0140,Calgary,5.0,3.0,196.0,30,6.53,3.13,2.04
2000-06-01,2,0140,Calgary,2.0,1.0,85.0,70,1.21,0.0,0.88
2000-06-01,2,0140,Calgary,1.0,3.0,10.0,15,0.67,0.0,0.1
2000-06-01,2,0140,Calgary,4.0,3.0,71.0,39,1.82,0.08,0.74
2000-06-01,2,0140,Calgary,4.0,1.0,4.0,1,4.0,0.0,0.04
2000-06-01,2,0140,Calgary,2.0,3.0,86.0,80,1.08,0.0,0.89
2000-09-01,3,0140,Calgary,1.0,1.0,802.0,1511,0.53,0.0,8.29
2000-09-01,3,0140,Calgary,1.0,3.0,4.0,5,0.8,0.0,0.04
2000-09-01,3,0140,Calgary,2.0,3.0,72.0,75,0.96,0.0,0.74
2000-09-01,3,0140,Calgary,5.0,3.0,204.0,33,6.18,3.55,2.11
2000-09-01,3,0140,Calgary,4.0,3.0,65.0,35,1.86,0.0,0.67
2000-09-01,3,0140,Calgary,2.0,1.0,96.0,77,1.25,0.0,0.99
2000-09-01,3,0140,Calgary,4.0,1.0,2.0,1,2.0,0.0,0.02
2000-12-01,4,0140,Calgary,2.0,1.0,87.0,75,1.16,0.0,0.89
2000-12-01,4,0140,Calgary,2.0,3.0,70.0,70,1.0,0.0,0.72
2000-12-01,4,0140,Calgary,4.0,3.0,52.0,31,1.68,0.1,0.53
2000-12-01,4,0140,Calgary,1.0,3.0,6.0,8,0.75,0.0,0.06
2000-12-01,4,0140,Calgary,5.0,3.0,288.0,41,7.02,4.15,2.96
2000-12-01,4,0140,Calgary,1.0,1.0,814.0,1331,0.61,0.0,8.35
2000-12-01,4,0140,Calgary,4.0,1.0,2.0,1,2.0,0.0,0.02
2001-03-01,1,0140,Calgary,4.0,3.0,91.0,49,1.86,0.06,0.93
2001-03-01,1,0140,Calgary,2.0,1.0,77.0,66,1.17,0.0,0.78
2001-03-01,1,0140,Calgary,1.0,1.0,911.0,1327,0.69,0.0,9.28
2001-03-01,1,0140,Calgary,4.0,1.0,2.0,1,2.0,0.0,0.02
2001-03-01,1,0140,Calgary,1.0,3.0,4.0,5,0.8,0.0,0.04
2001-03-01,1,0140,Calgary,2.0,3.0,91.0,88,1.03,0.0,0.93
2001-03-01,1,0140,Calgary,5.0,3.0,438.0,49,8.94,4.04,4.46
2001-06-01,2,0140,Calgary,2.0,3.0,93.0,89,1.04,0.0,0.94
2001-06-01,2,0140,Calgary,1.0,3.0,4.0,6,0.67,0.0,0.04
