reference_period,metcode,metro,dweltype,mkttycd,inventory,num_structures,unitsperstructure,avgstorycnt,inventory_per_10kpop
2009,0340,Edmonton,2.0,3.0,95.0,66,1.44,0.0,0.8
2009,0340,Edmonton,4.0,1.0,11.0,9,1.22,0.0,0.09
2010,0340,Edmonton,1.0,3.0,1.0,1,1.0,0.0,0.01
2010,0340,Edmonton,4.0,3.0,101.0,42,2.4,0.0,0.84
2010,0340,Edmonton,2.0,1.0,88.0,55,1.6,0.0,0.73
2010,0340,Edmonton,5.0,3.0,618.0,32,19.31,5.34,5.14
2010,0340,Edmonton,4.0,1.0,13.0,7,1.86,0.0,0.11
2010,0340,Edmonton,1.0,1.0,528.0,528,1.0,0.0,4.39
2010,0340,Edmonton,2.0,3.0,60.0,44,1.36,0.0,0.5
2011,0340,Edmonton,4.0,3.0,89.0,42,2.12,0.0,0.72
2011,0340,Edmonton,5.0,3.0,588.0,34,17.29,5.0,4.78
2011,0340,Edmonton,1.0,1.0,613.0,613,1.0,0.0,4.98
2011,0340,Edmonton,4.0,1.0,18.0,11,1.64,0.0,0.15
2011,0340,Edmonton,2.0,3.0,62.0,45,1.38,0.0,0.5
2011,0340,Edmonton,2.0,1.0,121.0,77,1.57,0.0,0.98
2012,0340,Edmonton,4.0,3.0,102.0,55,1.85,0.05,0.81
2012,0340,Edmonton,1.0,1.0,610.0,610,1.0,0.0,4.82
2012,0340,Edmonton,2.0,1.0,174.0,110,1.58,0.0,1.37
2012,0340,Edmonton,2.0,3.0,62.0,43,1.44,0.0,0.49
2012,0340,Edmonton,5.0,3.0,475.0,42,11.31,5.64,3.75
2012,0340,Edmonton,4.0,1.0,28.0,12,2.33,0.0,0.22
2013,0340,Edmonton,2.0,3.0,42.0,28,1.5,0.0,0.32
2013,0340,Edmonton,1.0,1.0,618.0,618,1.0,0.0,4.72
2013,0340,Edmonton,1.0,3.0,1.0,1,1.0,0.0,0.01
2013,0340,Edmonton,4.0,1.0,34.0,19,1.79,0.0,0.26
2013,0340,Edmonton,5.0,3.0,298.0,29,10.28,5.48,2.28
2013,0340,Edmonton,4.0,3.0,124.0,58,2.14,0.0,0.95
2013,0340,Edmonton,5.0,1.0,1.0,1,1.0,2.0,0.01
2013,0340,Edmonton,2.0,1.0,207.0,123,1.68,0.0,1.58
2014,0340,Edmonton,4.0,1.0,24.0,17,1.41,0.0,0.18
2014,0340,Edmonton,5.0,3.0,156.0,22,7.09,3.18,1.17
2014,0340,Edmonton,1.0,1.0,521.0,521,1.0,0.0,3.9
2014,0340,Edmonton,2.0,1.0,230.0,136,1.69,0.0,1.72
2014,0340,Edmonton,1.0,3.0,1.0,1,1.0,0.0,0.01
2014,0340,Edmonton,2.0,3.0,21.0,16,1.31,0.0,0.16
2014,0340,Edmonton,4.0,3.0,43.0,18,2.39,0.0,0.32
2015,0340,Edmonton,1.0,1.0,770.0,770,1.0,0.0,5.66
2015,0340,Edmonton,4.0,3.0,43.0,24,1.79,0.0,0.32
2015,0340,Edmonton,5.0,3.0,330.0,36,9.17,3.5,2.42
2015,0340,Edmonton,2.0,3.0,30.0,23,1.3,0.0,0.22
2015,0340,Edmonton,2.0,1.0,395.0,250,1.58,0.0,2.9
2015,0340,Edmonton,4.0,1.0,54.0,26,2.08,0.0,0.4
2016,0340,Edmonton,2.0,3.0,43.0,31,1.39,0.0,0.31
2016,0340,Edmonton,5.0,3.0,757.0,61,12.41,4.39,5.46
2016,0340,Edmonton,1.0,3.0,3.0,3,1.0,0.0,0.02
2016,0340,Edmonton,2.0,1.0,347.0,229,1.52,0.0,2.5
2016,0340,Edmonton,4.0,3.0,153.0,84,1.82,0.0,1.1
2016,0340,Edmonton,1.0,1.0,583.0,583,1.0,0.0,4.2
2016,0340,Edmonton,4.0,1.0,81.0,41,1.98,0.0,0.58
2017,0340,Edmonton,4.0,3.0,97.0,52,1.87,0.0,0.69
2017,0340,Edmonton,1.0,3.0,4.0,4,1.0,0.0,0.03
2017,0340,Edmonton,5.0,1.0,4.0,1,4.0,2.0,0.03
2017,0340,Edmonton,5.0,3.0,817.0,59,13.85,3.9,5.79
2017,0340,Edmonton,2.0,3.0,36.0,26,1.38,0.0,0.25
2017,0340,Edmonton,1.0,1.0,703.0,703,1.0,0.0,4.98
2017,0340,Edmonton,2.0,1.0,362.0,241,1.5,0.0,2.56
2017,0340,Edmonton,4.0,1.0,90.0,51,1.76,0.0,0.64
2018,0340,Edmonton,5.0,3.0,500.0,49,10.2,4.51,3.47
2018,0340,Edmonton,1.0,3.0,3.0,3,1.0,0.0,0.02
2018,0340,Edmonton,2.0,3.0,16.0,12,1.33,0.0,0.11
2018,0340,Edmonton,4.0,3.0,134.0,63,2.13,0.0,0.93
2018,0340,Edmonton,4.0,1.0,160.0,76,2.11,0.0,1.11
2018,0340,Edmonton,1.0,1.0,1203.0,1203,1.0,0.0,8.36
2018,0340,Edmonton,2.0,1.0,583.0,384,1.52,0.0,4.05
2019,0340,Edmonton,2.0,1.0,438.0,285,1.54,0.0,2.99
2019,0340,Edmonton,2.0,3.0,16.0,12,1.33,0.0,0.11
2019,0340,Edmonton,5.0,3.0,899.0,43,20.91,5.63,6.14
2019,0340,Edmonton,4.0,3.0,137.0,62,2.21,0.0,0.93
2019,0340,Edmonton,1.0,3.0,1.0,1,1.0,0.0,0.01
2019,0340,Edmonton,1.0,1.0,1178.0,1178,1.0,0.0,8.04
2019,0340,Edmonton,4.0,1.0,259.0,130,1.99,0.0,1.77
2020,0340,Edmonton,2.0,3.0,23.0,18,1.28,0.0,0.16
2020,0340,Edmonton,5.0,3.0,634.0,35,18.11,7.63,4.29
2020,0340,Edmonton,1.0,1.0,751.0,751,1.0,0.0,5.08
2020,0340,Edmonton,2.0,1.0,247.0,180,1.37,0.0,1.67
2020,0340,Edmonton,4.0,1.0,152.0,83,1.83,0.0,1.03
2020,0340,Edmonton,4.0,3.0,135.0,47,2.87,0.0,0.91
2020,0340,Edmonton,1.0,3.0,1.0,1,1.0,0.0,0.01
2021,0340,Edmonton,2.0,1.0,234.0,160,1.46,0.0,1.55
2021,0340,Edmonton,4.0,3.0,79.0,34,2.32,0.0,0.52
2021,0340,Edmonton,4.0,1.0,52.0,25,2.08,0.0,0.34
2021,0340,Edmonton,1.0,1.0,611.0,611,1.0,0.0,4.05
2021,0340,Edmonton,2.0,3.0,10.0,8,1.25,0.0,0.07
2021,0340,Edmonton,5.0,3.0,692.0,32,21.63,9.91,4.59
2022,0340,Edmonton,2.0,3.0,13.0,10,1.3,0.0,0.08
2022,0340,Edmonton,4.0,1.0,100.0,47,2.13,0.0,0.64
2022,0340,Edmonton,4.0,3.0,74.0,35,2.11,0.0,0.47
2022,0340,Edmonton,1.0,1.0,975.0,975,1.0,0.0,6.23
2022,0340,Edmonton,2.0,1.0,191.0,129,1.48,0.0,1.22
2022,0340,Edmonton,5.0,3.0,358.0,25,14.32,10.0,2.29
2023,0340,Edmonton,4.0,3.0,106.0,40,2.65,0.0,0.65
2023,0340,Edmonton,5.0,3.0,150.0,15,10.0,10.2,0.91
2023,0340,Edmonton,2.0,3.0,8.0,7,1.14,0.0,0.05
2023,0340,Edmonton,1.0,1.0,1359.0,1359,1.0,0.0,8.28
2023,0340,Edmonton,4.0,1.0,175.0,77,2.27,0.0,1.07
2023,0340,Edmonton,2.0,1.0,260.0,168,1.55,0.0,1.58
1988,0580,Halifax,2.0,1.0,181.0,133,1.36,0.0,5.54
1988,0580,Halifax,4.0,1.0,21.0,6,3.5,0.0,0.64
1988,0580,Halifax,1.0,1.0,127.0,257,0.49,0.0,3.88
1988,0580,Halifax,4.0,3.0,8.0,3,2.67,0.0,0.24
1988,0580,Halifax,5.0,3.0,178.0,6,29.67,0.0,5.44
1989,0580,Halifax,4.0,1.0,7.0,5,1.4,0.0,0.21
1989,0580,Halifax,2.0,1.0,59.0,61,0.97,0.0,1.78
1989,0580,Halifax,1.0,1.0,72.0,206,0.35,0.0,2.17
1989,0580,Halifax,5.0,3.0,61.0,4,15.25,5.25,1.84
1989,0580,Halifax,4.0,3.0,44.0,3,14.67,0.0,1.32
1990,0580,Halifax,4.0,1.0,11.0,3,3.67,0.0,0.33
1990,0580,Halifax,1.0,1.0,55.0,184,0.3,0.0,1.63
1990,0580,Halifax,4.0,3.0,66.0,8,8.25,0.0,1.96
1990,0580,Halifax,5.0,3.0,155.0,10,15.5,0.0,4.6
1990,0580,Halifax,2.0,1.0,29.0,26,1.12,0.0,0.86
1991,0580,Halifax,1.0,1.0,37.0,131,0.28,0.0,1.09
1991,0580,Halifax,2.0,1.0,33.0,32,1.03,0.0,0.97
1991,0580,Halifax,4.0,3.0,22.0,3,7.33,0.0,0.65
1991,0580,Halifax,5.0,3.0,143.0,7,20.43,0.43,4.21
1992,0580,Halifax,4.0,3.0,7.0,3,2.33,0.0,0.2
1992,0580,Halifax,5.0,3.0,61.0,6,10.17,0.0,1.78
1992,0580,Halifax,1.0,1.0,22.0,229,0.1,0.0,0.64
1992,0580,Halifax,4.0,1.0,4.0,1,4.0,0.0,0.12
1992,0580,Halifax,2.0,1.0,26.0,33,0.79,0.0,0.76
1993,0580,Halifax,4.0,3.0,7.0,1,7.0,0.0,0.2
1993,0580,Halifax,4.0,1.0,4.0,3,1.33,0.0,0.12
1993,0580,Halifax,1.0,1.0,48.0,196,0.24,0.0,1.39
1993,0580,Halifax,5.0,3.0,47.0,2,23.5,0.0,1.36
1993,0580,Halifax,2.0,1.0,28.0,39,0.72,0.0,0.81
1994,0580,Halifax,4.0,1.0,18.0,5,3.6,0.0,0.52
1994,0580,Halifax,2.0,1.0,68.0,59,1.15,0.0,1.95
1994,0580,Halifax,1.0,1.0,78.0,206,0.38,0.0,2.24
1994,0580,Halifax,5.0,3.0,45.0,2,22.5,0.0,1.29
1994,0580,Halifax,4.0,3.0,4.0,1,4.0,0.0,0.11
1995,0580,Halifax,5.0,3.0,41.0,1,41.0,0.0,1.17
1995,0580,Halifax,2.0,1.0,93.0,82,1.13,0.0,2.65
1995,0580,Halifax,4.0,1.0,34.0,13,2.62,0.0,0.97
1995,0580,Halifax,1.0,1.0,86.0,193,0.45,0.0,2.45
1996,0580,Halifax,1.0,1.0,73.0,220,0.33,0.0,2.06
1996,0580,Halifax,5.0,3.0,46.0,2,23.0,0.0,1.3
1996,0580,Halifax,4.0,1.0,6.0,4,1.5,0.0,0.17
1996,0580,Halifax,2.0,1.0,69.0,68,1.01,0.0,1.94
1997,0580,Halifax,5.0,3.0,56.0,2,28.0,0.0,1.56
1997,0580,Halifax,2.0,1.0,82.0,72,1.14,0.0,2.29
1997,0580,Halifax,1.0,1.0,110.0,187,0.59,0.0,3.07
1997,0580,Halifax,4.0,1.0,7.0,4,1.75,0.0,0.2
1998,0580,Halifax,4.0,1.0,9.0,4,2.25,0.5,0.25
1998,0580,Halifax,5.0,3.0,27.0,2,13.5,1.5,0.74
1998,0580,Halifax,1.0,1.0,68.0,175,0.39,0.0,1.88
1998,0580,Halifax,2.0,1.0,58.0,59,0.98,0.0,1.6
1999,0580,Halifax,2.0,1.0,15.0,17,0.88,0.0,0.41
1999,0580,Halifax,1.0,1.0,67.0,215,0.31,0.0,1.83
1999,0580,Halifax,4.0,3.0,7.0,1,7.0,2.0,0.19
2000,0580,Halifax,1.0,1.0,88.0,240,0.37,0.0,2.39
2000,0580,Halifax,2.0,1.0,7.0,7,1.0,0.0,0.19
2000,0580,Halifax,5.0,3.0,8.0,2,4.0,2.5,0.22
2001,0580,Halifax,1.0,1.0,49.0,149,0.33,0.0,1.31
2001,0580,Halifax,2.0,1.0,10.0,9,1.11,0.0,0.27
2001,0580,Halifax,4.0,3.0,8.0,1,8.0,0.0,0.21
2001,0580,Halifax,5.0,1.0,3.0,1,3.0,2.0,0.08
2001,0580,Halifax,5.0,3.0,34.0,1,34.0,3.0,0.91
2002,0580,Halifax,5.0,3.0,90.0,2,45.0,5.0,2.38
2002,0580,Halifax,4.0,3.0,2.0,1,2.0,0.0,0.05
2002,0580,Halifax,2.0,1.0,3.0,18,0.17,0.0,0.08
2002,0580,Halifax,1.0,1.0,55.0,248,0.22,0.0,1.46
2003,0580,Halifax,1.0,1.0,51.0,215,0.24,0.0,1.34
2003,0580,Halifax,2.0,1.0,18.0,29,0.62,0.0,0.47
2003,0580,Halifax,4.0,1.0,8.0,2,4.0,0.0,0.21
2003,0580,Halifax,5.0,3.0,60.0,1,60.0,0.0,1.58
2004,0580,Halifax,4.0,1.0,8.0,2,4.0,0.0,0.21
2004,0580,Halifax,5.0,3.0,60.0,1,60.0,0.0,1.57
2004,0580,Halifax,2.0,1.0,4.0,6,0.67,0.0,0.1
2004,0580,Halifax,4.0,3.0,3.0,1,3.0,2.0,0.08
2004,0580,Halifax,1.0,1.0,29.0,206,0.14,0.0,0.76
2005,0580,Halifax,2.0,1.0,6.0,9,0.67,0.0,0.16
2005,0580,Halifax,1.0,1.0,29.0,220,0.13,0.0,0.75
2005,0580,Halifax,4.0,1.0,2.0,1,2.0,0.0,0.05
2006,0580,Halifax,1.0,1.0,48.0,176,0.27,0.0,1.24
2006,0580,Halifax,2.0,1.0,14.0,16,0.88,0.0,0.36
2006,0580,Halifax,5.0,3.0,124.0,3,41.33,0.0,3.21
2007,0580,Halifax,2.0,1.0,5.0,12,0.42,0.0,0.13
2007,0580,Halifax,4.0,1.0,14.0,2,7.0,0.0,0.36
2007,0580,Halifax,5.0,3.0,139.0,1,139.0,0.0,3.57
2007,0580,Halifax,1.0,1.0,46.0,163,0.28,0.0,1.18
2008,0580,Halifax,1.0,1.0,31.0,190,0.16,0.0,0.79
2008,0580,Halifax,5.0,3.0,112.0,2,56.0,0.0,2.85
2008,0580,Halifax,4.0,1.0,6.0,1,6.0,0.0,0.15
2008,0580,Halifax,2.0,1.0,3.0,4,0.75,0.0,0.08
2008,0580,Halifax,4.0,3.0,25.0,9,2.78,0.0,0.64
2009,0580,Halifax,2.0,1.0,5.0,4,1.25,0.0,0.13
2009,0580,Halifax,4.0,3.0,21.0,8,2.63,0.0,0.53
2009,0580,Halifax,1.0,1.0,31.0,31,1.0,0.0,0.78
2009,0580,Halifax,5.0,3.0,40.0,1,40.0,0.0,1.01
2010,0580,Halifax,4.0,1.0,16.0,4,4.0,0.0,0.4
2010,0580,Halifax,2.0,1.0,8.0,4,2.0,0.0,0.2
2010,0580,Halifax,5.0,3.0,49.0,2,24.5,0.0,1.22
2010,0580,Halifax,1.0,1.0,49.0,49,1.0,0.0,1.22
2010,0580,Halifax,4.0,3.0,17.0,4,4.25,0.0,0.42
2011,0580,Halifax,4.0,1.0,4.0,1,4.0,0.0,0.1
2011,0580,Halifax,2.0,1.0,15.0,9,1.67,0.0,0.37
2011,0580,Halifax,4.0,3.0,6.0,2,3.0,0.0,0.15
2011,0580,Halifax,1.0,1.0,40.0,40,1.0,0.0,0.99
2012,0580,Halifax,2.0,1.0,17.0,10,1.7,0.0,0.42
2012,0580,Halifax,1.0,1.0,66.0,66,1.0,0.0,1.63
2012,0580,Halifax,4.0,1.0,19.0,5,3.8,0.0,0.47
2013,0580,Halifax,4.0,1.0,40.0,9,4.44,0.0,0.98
2013,0580,Halifax,2.0,1.0,30.0,21,1.43,0.0,0.74
2013,0580,Halifax,1.0,1.0,86.0,86,1.0,0.0,2.11
2014,0580,Halifax,5.0,3.0,51.0,1,51.0,5.0,1.25
2014,0580,Halifax,2.0,1.0,23.0,17,1.35,0.0,0.56
2014,0580,Halifax,1.0,1.0,82.0,82,1.0,0.0,2.01
2014,0580,Halifax,4.0,3.0,3.0,1,3.0,0.0,0.07
2014,0580,Halifax,4.0,1.0,22.0,9,2.44,0.0,0.54
2015,0580,Halifax,4.0,3.0,3.0,1,3.0,0.0,0.07
2015,0580,Halifax,4.0,1.0,26.0,13,2.0,0.0,0.63
2015,0580,Halifax,1.0,1.0,79.0,79,1.0,0.0,1.91
2015,0580,Halifax,2.0,1.0,12.0,10,1.2,0.0,0.29
2015,0580,Halifax,5.0,3.0,53.0,2,26.5,5.0,1.28
2015,0580,Halifax,1.0,3.0,1.0,1,1.0,0.0,0.02
2016,0580,Halifax,4.0,1.0,22.0,8,2.75,0.0,0.52
2016,0580,Halifax,5.0,3.0,51.0,3,17.0,4.67,1.21
2016,0580,Halifax,1.0,1.0,67.0,67,1.0,0.0,1.59
2016,0580,Halifax,2.0,1.0,10.0,7,1.43,0.0,0.24
2017,0580,Halifax,4.0,1.0,20.0,9,2.22,0.0,0.47
2017,0580,Halifax,2.0,1.0,48.0,32,1.5,0.0,1.12
2017,0580,Halifax,1.0,1.0,91.0,91,1.0,0.0,2.12
2017,0580,Halifax,1.0,3.0,1.0,1,1.0,0.0,0.02
2017,0580,Halifax,5.0,3.0,71.0,2,35.5,5.0,1.66
2018,0580,Halifax,1.0,3.0,3.0,3,1.0,0.0,0.07
2018,0580,Halifax,5.0,3.0,115.0,2,57.5,6.5,2.62
2018,0580,Halifax,1.0,1.0,83.0,83,1.0,0.0,1.89
2018,0580,Halifax,2.0,1.0,16.0,11,1.45,0.0,0.36
2018,0580,Halifax,4.0,1.0,16.0,7,2.29,0.0,0.36
2019,0580,Halifax,1.0,1.0,75.0,75,1.0,0.0,1.67
2019,0580,Halifax,4.0,1.0,4.0,3,1.33,0.0,0.09
2019,0580,Halifax,2.0,1.0,4.0,3,1.33,0.0,0.09
2019,0580,Halifax,5.0,3.0,98.0,2,49.0,6.5,2.18
2020,0580,Halifax,1.0,1.0,17.0,17,1.0,0.0,0.37
2020,0580,Halifax,4.0,1.0,1.0,1,1.0,0.0,0.02
2020,0580,Halifax,5.0,3.0,127.0,4,31.75,11.5,2.78
2021,0580,Halifax,2.0,1.0,4.0,3,1.33,0.0,0.08
2021,0580,Halifax,4.0,1.0,1.0,1,1.0,0.0,0.02
2021,0580,Halifax,5.0,3.0,79.0,2,39.5,13.5,1.66
2021,0580,Halifax,1.0,1.0,18.0,18,1.0,0.0,0.38
2022,0580,Halifax,4.0,1.0,4.0,2,2.0,0.0,0.08
2022,0580,Halifax,1.0,1.0,37.0,37,1.0,0.0,0.73
2022,0580,Halifax,2.0,1.0,3.0,2,1.5,0.0,0.06
2022,0580,Halifax,5.0,3.0,18.0,2,9.0,13.5,0.36
2023,0580,Halifax,2.0,1.0,2.0,2,1.0,0.0,0.04
2023,0580,Halifax,4.0,1.0,17.0,6,2.83,0.0,0.32
2023,0580,Halifax,1.0,1.0,52.0,52,1.0,0.0,0.99
2023,0580,Halifax,5.0,3.0,12.0,2,6.0,13.5,0.23
1988,0610,Hamilton,1.0,1.0,218.0,535,0.41,0.0,3.59
1988,0610,Hamilton,2.0,1.0,8.0,9,0.89,0.0,0.13
1988,0610,Hamilton,1.0,3.0,1.0,1,1.0,0.0,0.02
1988,0610,Hamilton,5.0,3.0,25.0,2,12.5,0.0,0.41
1988,0610,Hamilton,4.0,3.0,38.0,12,3.17,0.25,0.63
1989,0610,Hamilton,1.0,1.0,237.0,403,0.59,0.0,3.85
1989,0610,Hamilton,2.0,1.0,12.0,9,1.33,0.0,0.2
1989,0610,Hamilton,5.0,3.0,31.0,4,7.75,0.0,0.5
1989,0610,Hamilton,4.0,1.0,4.0,3,1.33,0.0,0.07
1989,0610,Hamilton,2.0,3.0,0.0,1,0.0,0.0,0.0
1989,0610,Hamilton,4.0,3.0,64.0,21,3.05,0.0,1.04
1990,0610,Hamilton,5.0,3.0,57.0,5,11.4,0.0,0.92
1990,0610,Hamilton,1.0,1.0,214.0,284,0.75,0.0,3.45
1990,0610,Hamilton,4.0,3.0,127.0,43,2.95,0.0,2.05
1990,0610,Hamilton,4.0,1.0,61.0,28,2.18,0.0,0.98
1991,0610,Hamilton,2.0,1.0,6.0,4,1.5,0.0,0.1
1991,0610,Hamilton,4.0,3.0,173.0,54,3.2,0.0,2.78
1991,0610,Hamilton,1.0,3.0,16.0,18,0.89,0.0,0.26
1991,0610,Hamilton,1.0,1.0,164.0,254,0.65,0.0,2.63
1991,0610,Hamilton,4.0,1.0,21.0,11,1.91,0.0,0.34
1991,0610,Hamilton,5.0,3.0,98.0,12,8.17,0.5,1.57
1992,0610,Hamilton,5.0,3.0,376.0,10,37.6,0.6,6.02
1992,0610,Hamilton,4.0,1.0,19.0,11,1.73,0.0,0.3
1992,0610,Hamilton,1.0,1.0,132.0,259,0.51,0.0,2.11
1992,0610,Hamilton,4.0,3.0,137.0,54,2.54,0.0,2.19
1992,0610,Hamilton,1.0,3.0,4.0,4,1.0,0.0,0.06
1992,0610,Hamilton,2.0,1.0,6.0,7,0.86,0.0,0.1
1993,0610,Hamilton,4.0,1.0,12.0,10,1.2,0.0,0.19
1993,0610,Hamilton,1.0,1.0,155.0,282,0.55,0.0,2.46
1993,0610,Hamilton,1.0,3.0,0.0,8,0.0,0.0,0.0
1993,0610,Hamilton,2.0,1.0,7.0,13,0.54,0.0,0.11
1993,0610,Hamilton,5.0,3.0,184.0,5,36.8,0.0,2.92
1993,0610,Hamilton,4.0,3.0,70.0,22,3.18,0.0,1.11
1994,0610,Hamilton,1.0,1.0,141.0,253,0.56,0.0,2.22
1994,0610,Hamilton,1.0,3.0,0.0,4,0.0,0.0,0.0
1994,0610,Hamilton,2.0,1.0,3.0,3,1.0,0.0,0.05
1994,0610,Hamilton,2.0,3.0,5.0,3,1.67,0.0,0.08
1994,0610,Hamilton,5.0,3.0,58.0,3,19.33,0.0,0.91
1994,0610,Hamilton,4.0,3.0,79.0,26,3.04,0.0,1.24
1994,0610,Hamilton,4.0,1.0,21.0,10,2.1,0.0,0.33
1995,0610,Hamilton,2.0,3.0,3.0,2,1.5,0.0,0.05
1995,0610,Hamilton,1.0,1.0,145.0,238,0.61,0.0,2.26
1995,0610,Hamilton,2.0,1.0,5.0,7,0.71,0.0,0.08
1995,0610,Hamilton,5.0,3.0,35.0,5,7.0,0.0,0.54
1995,0610,Hamilton,4.0,3.0,80.0,30,2.67,0.0,1.25
1995,0610,Hamilton,1.0,3.0,14.0,18,0.78,0.0,0.22
1995,0610,Hamilton,4.0,1.0,7.0,7,1.0,0.0,0.11
1996,0610,Hamilton,1.0,3.0,4.0,5,0.8,0.0,0.06
1996,0610,Hamilton,2.0,3.0,4.0,3,1.33,0.0,0.06
1996,0610,Hamilton,4.0,1.0,13.0,9,1.44,0.0,0.2
1996,0610,Hamilton,4.0,3.0,19.0,14,1.36,0.0,0.29
1996,0610,Hamilton,5.0,3.0,30.0,3,10.0,0.0,0.46
1996,0610,Hamilton,2.0,1.0,7.0,13,0.54,0.0,0.11
1996,0610,Hamilton,1.0,1.0,114.0,294,0.39,0.0,1.75
1997,0610,Hamilton,2.0,3.0,5.0,5,1.0,0.0,0.08
1997,0610,Hamilton,1.0,1.0,87.0,287,0.3,0.0,1.32
1997,0610,Hamilton,2.0,1.0,11.0,15,0.73,0.0,0.17
1997,0610,Hamilton,1.0,3.0,1.0,2,0.5,0.0,0.02
1997,0610,Hamilton,5.0,3.0,45.0,5,9.0,0.0,0.68
1997,0610,Hamilton,4.0,1.0,9.0,5,1.8,0.0,0.14
1997,0610,Hamilton,4.0,3.0,19.0,12,1.58,0.0,0.29
1998,0610,Hamilton,4.0,3.0,51.0,10,5.1,0.0,0.77
1998,0610,Hamilton,1.0,1.0,69.0,222,0.31,0.0,1.04
1998,0610,Hamilton,5.0,3.0,10.0,2,5.0,0.0,0.15
1998,0610,Hamilton,4.0,1.0,19.0,4,4.75,0.5,0.29
1998,0610,Hamilton,2.0,1.0,4.0,11,0.36,0.0,0.06
1998,0610,Hamilton,2.0,3.0,2.0,2,1.0,0.0,0.03
1999,0610,Hamilton,2.0,3.0,2.0,2,1.0,0.0,0.03
1999,0610,Hamilton,1.0,1.0,128.0,293,0.44,0.0,1.9
1999,0610,Hamilton,4.0,1.0,70.0,19,3.68,0.21,1.04
1999,0610,Hamilton,1.0,3.0,1.0,1,1.0,0.0,0.01
1999,0610,Hamilton,2.0,1.0,5.0,8,0.63,0.0,0.07
1999,0610,Hamilton,4.0,3.0,86.0,23,3.74,0.0,1.28
1999,0610,Hamilton,5.0,3.0,33.0,6,5.5,0.0,0.49
2000,0610,Hamilton,1.0,3.0,7.0,9,0.78,0.0,0.1
2000,0610,Hamilton,2.0,3.0,7.0,9,0.78,0.0,0.1
2000,0610,Hamilton,4.0,1.0,67.0,15,4.47,0.27,0.97
2000,0610,Hamilton,2.0,1.0,30.0,33,0.91,0.0,0.44
2000,0610,Hamilton,5.0,3.0,231.0,14,16.5,0.0,3.36
2000,0610,Hamilton,1.0,1.0,152.0,300,0.51,0.0,2.21
2000,0610,Hamilton,4.0,3.0,93.0,23,4.04,0.0,1.35
2001,0610,Hamilton,1.0,1.0,301.0,434,0.69,0.0,4.32
2001,0610,Hamilton,2.0,1.0,12.0,16,0.75,0.0,0.17
2001,0610,Hamilton,4.0,1.0,90.0,21,4.29,0.19,1.29
2001,0610,Hamilton,5.0,3.0,132.0,13,10.15,1.08,1.9
2001,0610,Hamilton,2.0,3.0,9.0,7,1.29,0.0,0.13
2001,0610,Hamilton,4.0,3.0,115.0,26,4.42,0.0,1.65
2002,0610,Hamilton,1.0,3.0,2.0,2,1.0,0.0,0.03
2002,0610,Hamilton,4.0,3.0,45.0,15,3.0,0.0,0.64
2002,0610,Hamilton,2.0,3.0,8.0,9,0.89,0.0,0.11
2002,0610,Hamilton,4.0,1.0,47.0,14,3.36,0.0,0.67
2002,0610,Hamilton,1.0,1.0,181.0,421,0.43,0.0,2.57
2002,0610,Hamilton,2.0,1.0,21.0,27,0.78,0.0,0.3
2002,0610,Hamilton,5.0,3.0,47.0,6,7.83,0.83,0.67
2003,0610,Hamilton,2.0,1.0,15.0,16,0.94,0.0,0.21
2003,0610,Hamilton,1.0,1.0,47.0,229,0.21,0.0,0.66
2003,0610,Hamilton,1.0,3.0,0.0,13,0.0,0.0,0.0
2003,0610,Hamilton,2.0,3.0,4.0,4,1.0,0.0,0.06
2003,0610,Hamilton,4.0,3.0,16.0,7,2.29,0.0,0.23
2003,0610,Hamilton,4.0,1.0,34.0,16,2.13,0.0,0.48
2003,0610,Hamilton,5.0,3.0,6.0,2,3.0,4.0,0.08
2004,0610,Hamilton,1.0,3.0,0.0,2,0.0,0.0,0.0
2004,0610,Hamilton,2.0,1.0,7.0,15,0.47,0.0,0.1
2004,0610,Hamilton,1.0,1.0,51.0,192,0.27,0.0,0.71
2004,0610,Hamilton,4.0,1.0,92.0,29,3.17,0.0,1.29
2004,0610,Hamilton,4.0,3.0,19.0,7,2.71,0.0,0.27
2004,0610,Hamilton,2.0,3.0,3.0,3,1.0,0.0,0.04
2005,0610,Hamilton,1.0,1.0,44.0,170,0.26,0.0,0.61
2005,0610,Hamilton,4.0,1.0,24.0,15,1.6,0.0,0.33
2005,0610,Hamilton,5.0,3.0,20.0,1,20.0,0.0,0.28
2005,0610,Hamilton,4.0,3.0,11.0,7,1.57,0.0,0.15
2005,0610,Hamilton,2.0,1.0,16.0,20,0.8,0.0,0.22
2006,0610,Hamilton,1.0,3.0,0.0,6,0.0,0.0,0.0
2006,0610,Hamilton,4.0,1.0,15.0,11,1.36,0.0,0.21
2006,0610,Hamilton,4.0,3.0,8.0,5,1.6,0.0,0.11
2006,0610,Hamilton,1.0,1.0,56.0,179,0.31,0.0,0.78
2006,0610,Hamilton,5.0,3.0,25.0,2,12.5,0.0,0.35
2006,0610,Hamilton,2.0,1.0,7.0,14,0.5,0.0,0.1
2007,0610,Hamilton,2.0,1.0,2.0,7,0.29,0.0,0.03
2007,0610,Hamilton,2.0,3.0,1.0,1,1.0,0.0,0.01
2007,0610,Hamilton,4.0,3.0,11.0,6,1.83,0.0,0.15
2007,0610,Hamilton,1.0,1.0,64.0,222,0.29,0.0,0.88
