reference_period,metcode,metro,dweltype,mkttycd,inventory,num_structures,unitsperstructure,avgstorycnt,inventory_per_10kpop
2009,0140,Calgary,2.0,1.0,94.0,51,1.84,0.0,0.76
2009,0140,Calgary,2.0,3.0,7.0,4,1.75,0.0,0.06
2009,0140,Calgary,1.0,1.0,398.0,398,1.0,0.0,3.22
2009,0140,Calgary,4.0,3.0,32.0,12,2.67,0.0,0.26
2009,0140,Calgary,5.0,3.0,367.0,25,14.68,0.92,2.97
2010,0140,Calgary,1.0,1.0,407.0,407,1.0,0.0,3.23
2010,0140,Calgary,2.0,1.0,93.0,60,1.55,0.0,0.74
2010,0140,Calgary,5.0,3.0,594.0,25,23.76,10.6,4.72
2010,0140,Calgary,4.0,3.0,35.0,10,3.5,0.3,0.28
2010,0140,Calgary,2.0,3.0,1.0,1,1.0,0.0,0.01
2011,0140,Calgary,4.0,1.0,2.0,1,2.0,0.0,0.02
2011,0140,Calgary,5.0,3.0,285.0,23,12.39,9.7,2.2
2011,0140,Calgary,4.0,3.0,63.0,23,2.74,0.13,0.49
2011,0140,Calgary,2.0,1.0,105.0,71,1.48,0.0,0.81
2011,0140,Calgary,1.0,1.0,498.0,498,1.0,0.0,3.85
2011,0140,Calgary,2.0,3.0,1.0,1,1.0,0.0,0.01
2012,0140,Calgary,1.0,1.0,440.0,440,1.0,0.0,3.29
2012,0140,Calgary,4.0,1.0,6.0,2,3.0,0.0,0.04
2012,0140,Calgary,5.0,3.0,254.0,18,14.11,8.89,1.9
2012,0140,Calgary,2.0,1.0,88.0,55,1.6,0.0,0.66
2012,0140,Calgary,4.0,3.0,76.0,27,2.81,0.11,0.57
2013,0140,Calgary,2.0,3.0,4.0,2,2.0,0.0,0.03
2013,0140,Calgary,4.0,1.0,2.0,1,2.0,0.0,0.01
2013,0140,Calgary,4.0,3.0,23.0,12,1.92,0.25,0.17
2013,0140,Calgary,2.0,1.0,53.0,30,1.77,0.0,0.38
2013,0140,Calgary,5.0,3.0,28.0,6,4.67,6.5,0.2
2013,0140,Calgary,1.0,1.0,405.0,405,1.0,0.0,2.93
2014,0140,Calgary,5.0,3.0,1.0,1,1.0,2.0,0.01
2014,0140,Calgary,4.0,1.0,2.0,1,2.0,0.0,0.01
2014,0140,Calgary,4.0,3.0,22.0,12,1.83,0.17,0.16
2014,0140,Calgary,2.0,1.0,60.0,37,1.62,0.0,0.43
2014,0140,Calgary,1.0,1.0,366.0,366,1.0,0.0,2.59
2015,0140,Calgary,2.0,1.0,122.0,79,1.54,0.0,0.85
2015,0140,Calgary,4.0,1.0,1.0,1,1.0,0.0,0.01
2015,0140,Calgary,5.0,3.0,220.0,21,10.48,3.95,1.53
2015,0140,Calgary,1.0,1.0,358.0,358,1.0,0.0,2.49
2015,0140,Calgary,2.0,3.0,5.0,3,1.67,0.0,0.03
2015,0140,Calgary,4.0,3.0,101.0,41,2.46,0.0,0.7
2016,0140,Calgary,2.0,1.0,149.0,99,1.51,0.0,1.02
2016,0140,Calgary,5.0,3.0,804.0,65,12.37,4.46,5.52
2016,0140,Calgary,4.0,1.0,14.0,7,2.0,0.0,0.1
2016,0140,Calgary,4.0,3.0,157.0,61,2.57,0.0,1.08
2016,0140,Calgary,1.0,1.0,382.0,382,1.0,0.0,2.62
2016,0140,Calgary,2.0,3.0,4.0,3,1.33,0.0,0.03
2017,0140,Calgary,2.0,1.0,167.0,111,1.5,0.0,1.13
2017,0140,Calgary,4.0,1.0,63.0,23,2.74,0.0,0.43
2017,0140,Calgary,4.0,3.0,124.0,58,2.14,0.0,0.84
2017,0140,Calgary,5.0,3.0,1208.0,74,16.32,6.07,8.16
2017,0140,Calgary,1.0,1.0,453.0,453,1.0,0.0,3.06
2017,0140,Calgary,2.0,3.0,15.0,9,1.67,0.0,0.1
2018,0140,Calgary,2.0,1.0,345.0,222,1.55,0.0,2.28
2018,0140,Calgary,4.0,3.0,141.0,60,2.35,0.0,0.93
2018,0140,Calgary,2.0,3.0,15.0,10,1.5,0.0,0.1
2018,0140,Calgary,1.0,1.0,542.0,542,1.0,0.0,3.59
2018,0140,Calgary,4.0,1.0,147.0,64,2.3,0.0,0.97
2018,0140,Calgary,5.0,3.0,915.0,70,13.07,6.09,6.06
2019,0140,Calgary,1.0,3.0,1.0,1,1.0,0.0,0.01
2019,0140,Calgary,5.0,3.0,801.0,79,10.14,5.19,5.2
2019,0140,Calgary,2.0,3.0,30.0,22,1.36,0.0,0.19
2019,0140,Calgary,4.0,1.0,225.0,94,2.39,0.0,1.46
2019,0140,Calgary,1.0,1.0,614.0,614,1.0,0.0,3.99
2019,0140,Calgary,2.0,1.0,338.0,232,1.46,0.0,2.19
2019,0140,Calgary,4.0,3.0,208.0,75,2.77,0.0,1.35
2020,0140,Calgary,1.0,1.0,454.0,454,1.0,0.0,2.92
2020,0140,Calgary,5.0,3.0,909.0,78,11.65,4.79,5.85
2020,0140,Calgary,2.0,3.0,25.0,18,1.39,0.0,0.16
2020,0140,Calgary,4.0,3.0,122.0,52,2.35,0.0,0.79
2020,0140,Calgary,5.0,1.0,2.0,1,2.0,3.0,0.01
2020,0140,Calgary,2.0,1.0,206.0,133,1.55,0.0,1.33
2020,0140,Calgary,4.0,1.0,224.0,79,2.84,0.0,1.44
2021,0140,Calgary,2.0,1.0,108.0,68,1.59,0.0,0.68
2021,0140,Calgary,4.0,1.0,86.0,43,2.0,0.0,0.54
2021,0140,Calgary,5.0,3.0,386.0,55,7.02,4.33,2.41
2021,0140,Calgary,1.0,3.0,5.0,5,1.0,0.0,0.03
2021,0140,Calgary,4.0,3.0,83.0,33,2.52,0.0,0.52
2021,0140,Calgary,2.0,3.0,4.0,4,1.0,0.0,0.03
2021,0140,Calgary,1.0,1.0,347.0,347,1.0,0.0,2.17
2022,0140,Calgary,2.0,3.0,8.0,5,1.6,0.0,0.05
2022,0140,Calgary,1.0,3.0,8.0,8,1.0,0.0,0.05
2022,0140,Calgary,4.0,3.0,22.0,15,1.47,0.0,0.13
2022,0140,Calgary,1.0,1.0,380.0,380,1.0,0.0,2.27
2022,0140,Calgary,4.0,1.0,53.0,27,1.96,0.0,0.32
2022,0140,Calgary,5.0,3.0,83.0,19,4.37,5.26,0.5
2022,0140,Calgary,2.0,1.0,126.0,80,1.58,0.0,0.75
2023,0140,Calgary,2.0,3.0,7.0,6,1.17,0.0,0.04
2023,0140,Calgary,5.0,3.0,41.0,18,2.28,4.67,0.23
2023,0140,Calgary,4.0,1.0,63.0,28,2.25,0.0,0.36
2023,0140,Calgary,1.0,1.0,500.0,500,1.0,0.0,2.85
2023,0140,Calgary,1.0,3.0,7.0,7,1.0,0.0,0.04
2023,0140,Calgary,2.0,1.0,129.0,79,1.63,0.0,0.74
2023,0140,Calgary,4.0,3.0,84.0,21,4.0,0.0,0.48
1988,0340,Edmonton,1.0,1.0,154.0,432,0.36,0.0,1.87
1988,0340,Edmonton,1.0,3.0,2.0,12,0.17,0.0,0.02
1988,0340,Edmonton,4.0,3.0,12.0,6,2.0,0.0,0.15
1988,0340,Edmonton,2.0,1.0,9.0,10,0.9,0.0,0.11
1988,0340,Edmonton,4.0,1.0,10.0,4,2.5,0.0,0.12
1988,0340,Edmonton,2.0,3.0,2.0,2,1.0,0.0,0.02
1989,0340,Edmonton,2.0,3.0,7.0,9,0.78,0.0,0.08
1989,0340,Edmonton,4.0,1.0,8.0,7,1.14,0.0,0.1
1989,0340,Edmonton,2.0,1.0,13.0,13,1.0,0.0,0.15
1989,0340,Edmonton,1.0,1.0,134.0,557,0.24,0.0,1.6
1989,0340,Edmonton,4.0,3.0,4.0,4,1.0,0.0,0.05
1989,0340,Edmonton,5.0,3.0,2.0,1,2.0,4.0,0.02
1990,0340,Edmonton,1.0,1.0,382.0,737,0.52,0.0,4.47
1990,0340,Edmonton,2.0,1.0,37.0,29,1.28,0.0,0.43
1990,0340,Edmonton,4.0,3.0,10.0,6,1.67,0.0,0.12
1990,0340,Edmonton,5.0,3.0,51.0,4,12.75,7.75,0.6
1990,0340,Edmonton,2.0,3.0,6.0,7,0.86,0.0,0.07
1990,0340,Edmonton,4.0,1.0,6.0,3,2.0,0.0,0.07
1991,0340,Edmonton,4.0,3.0,22.0,10,2.2,0.0,0.25
1991,0340,Edmonton,5.0,3.0,35.0,4,8.75,2.75,0.4
1991,0340,Edmonton,2.0,3.0,7.0,4,1.75,0.0,0.08
1991,0340,Edmonton,1.0,1.0,425.0,713,0.6,0.0,4.9
1991,0340,Edmonton,2.0,1.0,33.0,29,1.14,0.0,0.38
1991,0340,Edmonton,4.0,1.0,32.0,18,1.78,0.0,0.37
1992,0340,Edmonton,2.0,1.0,63.0,51,1.24,0.0,0.72
1992,0340,Edmonton,2.0,3.0,15.0,13,1.15,0.0,0.17
1992,0340,Edmonton,5.0,1.0,3.0,2,1.5,0.0,0.03
