REF_DATE,Projection scenario FA: fast-aging,Projection scenario HG: high-growth,Projection scenario LG: low-growth,Projection scenario M1: medium-growth,Projection scenario M2: medium-growth,Projection scenario M3: medium-growth,Projection scenario M4: medium-growth,Projection scenario M5: medium-growth,Projection scenario M6: medium-growth,Projection scenario SA: slow-aging
2023-01-01,4568700.0,4612100.0,4563600.0,4591100.0,4646600.0,4654900.0,4625200.0,4593400.0,4588300.0,4607000.0
2024-01-01,4636100.0,4710500.0,4627600.0,4673300.0,4752700.0,4765200.0,4720600.0,4672500.0,4664700.0,4702000.0
2025-01-01,4708000.0,4816400.0,4696600.0,4761500.0,4862300.0,4879000.0,4819400.0,4754600.0,4744200.0,4804900.0
2026-01-01,4779400.0,4928600.0,4765400.0,4854900.0,4974600.0,4995600.0,4920700.0,4838900.0,4826000.0,4914500.0
2027-01-01,4851100.0,5046000.0,4834400.0,4952500.0,5088400.0,5113900.0,5023500.0,4924300.0,4908600.0,5029100.0
2028-01-01,4922900.0,5166300.0,4903300.0,5052200.0,5201800.0,5231700.0,5125600.0,5008700.0,4990100.0,5146400.0
2029-01-01,4994600.0,5288600.0,4972000.0,5153200.0,5313800.0,5348300.0,5226100.0,5091000.0,5069400.0,5265500.0
2030-01-01,5065900.0,5411900.0,5040300.0,5254600.0,5423500.0,5462700.0,5324100.0,5170300.0,5145500.0,5385500.0
