REF_DATE,All ages,18 years and over,18 to 29 years
1990-01-01,2547788,1842116,530120
1991-01-01,2592306,1874315,517017
1992-01-01,2632672,1903193,506301
1993-01-01,2667292,1931546,494554
1994-01-01,2700606,1961709,486326
1995-01-01,2734519,1992608,481674
1996-01-01,2775133,2029736,485583
1997-01-01,2829848,2077896,494659
1998-01-01,2899066,2138622,512135
1999-01-01,2952692,2190377,525359
2000-01-01,3004198,2240775,536201
2001-01-01,3058108,2294187,548537
2002-01-01,3128429,2359274,565164
2003-01-01,3183065,2412396,577515
2004-01-01,3238668,2466388,591450
2005-01-01,3321768,2540656,612143
2006-01-01,3421434,2627740,637208
2007-01-01,3514147,2711774,663851
2008-01-01,3595856,2785487,684665
2009-01-01,3678996,2858509,701691
2010-01-01,3732082,2902738,702154
2011-01-01,3789030,2948367,700909
2012-01-01,3874548,3016409,706903
2013-01-01,3981011,3101715,718474
2014-01-01,4083648,3183267,729443
2015-01-01,4144491,3224569,725383
2016-01-01,4196061,3257651,715547
2017-01-01,4241100,3292895,705331
2018-01-01,4298275,3340585,702551
2019-01-01,4362576,3395267,700306
2020-01-01,4416682,3442289,693740
2021-01-01,4443773,3470048,680842
2022-01-01,4543111,3553233,696324
