,0,SAAR
01/01/2021,7745.674264,30982.69706
01/04/2021,9116.085404,36464.34162
01/07/2021,9015.415664,36061.66265
01/10/2021,9906.710219,39626.84088
01/01/2022,12198.04305,48792.17222
01/04/2022,9857.593745,39430.37498
01/07/2022,8414.992656,33659.97063
01/10/2022,7423.608125,29694.4325
01/01/2023,7845.737128,31382.94851
01/04/2023,7809.058956,31236.23582
01/07/2023,8084.344385,32337.37754
01/10/2023,8407.116343,33628.46537
01/01/2024,8472.184509,33888.73803
01/04/2024,8643.52477,34574.09908
01/07/2024,8320.041517,33280.16607
01/10/2024,8254.204706,33016.81883
01/01/2025,8335.866959,33343.46784
01/04/2025,8206.510239,32826.04096
01/07/2025,8184.121711,32736.48684
01/10/2025,8332.301613,33329.20645
