,avg_price_sa_log,mean,mean_ci_lower,mean_ci_upper
01/01/2019,458071,,,
01/04/2019,455374,,,
01/07/2019,454028,,,
01/10/2019,454072,,,
01/01/2020,451751,,,
01/04/2020,437227,,,
01/07/2020,470946,,,
01/10/2020,469688,,,
01/01/2021,496690,,,
01/04/2021,506877,,,
01/07/2021,490103,,,
01/10/2021,502881,,,
01/01/2022,,513963.7453,510644.1209,517305.0034
01/04/2022,,522380.8858,516521.4247,528306.9015
01/07/2022,,531567.9325,523501.6083,539758.6535
01/10/2022,,537650.2389,529491.6182,549961.4536
01/01/2023,,539195.4368,529460.0545,553160.1312
01/04/2023,,542991.5294,531821.5823,558485.3768
01/07/2023,,546559.5351,534075.9334,563460.6565
01/10/2023,,549232.815,535543.8952,567426.3973
01/01/2024,,551651.4814,536834.1994,571059.1006
01/04/2024,,554248.8363,538355.4476,574820.3338
01/07/2024,,556889.0685,539965.0516,578579.9624
01/10/2024,,559657.1809,541737.6162,582434.1394
