"ref_yy","CSDuid","dweltype","mkttycd","date_pbi","metcode","metro","municipality","underconstr","num_structures","unitsperstructure","avgstorycount","X_c0","ref_qq","met_name","population","stcan_cmacode","underconstr_per_10kpop"
"1988","1209001",1,1,"December 31, 1988","0580",NA,NA,35,35,1,0,361,4,"Halifax",326937.956,205,1.07053951239605
"1988","1209001",2,1,"December 31, 1988","0580",NA,NA,4,2,2,0,361,4,"Halifax",326937.956,205,0.122347372845262
"1988","1209008",1,1,"December 31, 1988","0580","HALIFAX","EAST HANTS MD",42,42,1,0,361,4,"Halifax",326937.956,205,1.28464741487526
"1988","1209008",2,1,"December 31, 1988","0580","HALIFAX","EAST HANTS MD",6,3,2,0,361,4,"Halifax",326937.956,205,0.183521059267894
"1988","1209008",5,2,"December 31, 1988","0580","HALIFAX","EAST HANTS MD",30,1,30,0,361,4,"Halifax",326937.956,205,0.917605296339468
"1988","1209012",1,1,"December 31, 1988","0580",NA,NA,150,150,1,0,361,4,"Halifax",326937.956,205,4.58802648169734
"1988","1209012",2,1,"December 31, 1988","0580",NA,NA,20,10,2,0,361,4,"Halifax",326937.956,205,0.611736864226312
"1988","1209012",2,2,"December 31, 1988","0580",NA,NA,2,1,2,0,361,4,"Halifax",326937.956,205,0.0611736864226312
"1988","1209018",1,1,"December 31, 1988","0580",NA,NA,37,37,1,0,361,4,"Halifax",326937.956,205,1.13171319881868
"1988","1209018",2,1,"December 31, 1988","0580",NA,NA,28,14,2,0,361,4,"Halifax",326937.956,205,0.856431609916837
"1988","1209021",1,1,"December 31, 1988","0580",NA,NA,21,21,1,0,361,4,"Halifax",326937.956,205,0.642323707437628
"1988","1209021",2,1,"December 31, 1988","0580",NA,NA,14,7,2,0,361,4,"Halifax",326937.956,205,0.428215804958418
"1988","1209021",2,4,"December 31, 1988","0580",NA,NA,30,15,2,0,361,4,"Halifax",326937.956,205,0.917605296339468
"1988","1209021",4,2,"December 31, 1988","0580",NA,NA,26,2,13,0,361,4,"Halifax",326937.956,205,0.795257923494206
"1988","1209021",4,3,"December 31, 1988","0580",NA,NA,12,1,12,0,361,4,"Halifax",326937.956,205,0.367042118535787
"1988","1209021",5,2,"December 31, 1988","0580",NA,NA,361,10,36.1,0,361,4,"Halifax",326937.956,205,11.0418503992849
"1988","1209022",1,1,"December 31, 1988","0580",NA,NA,38,38,1,0,361,4,"Halifax",326937.956,205,1.16230004202999
"1988","1209022",2,1,"December 31, 1988","0580",NA,NA,16,8,2,0,361,4,"Halifax",326937.956,205,0.48938949138105
"1988","1209022",5,2,"December 31, 1988","0580",NA,NA,108,2,54,0,361,4,"Halifax",326937.956,205,3.30337906682209
"1988","1209022",5,3,"December 31, 1988","0580",NA,NA,34,3,11.3333333333333,0,361,4,"Halifax",326937.956,205,1.03995266918473
"1988","1209022",5,4,"December 31, 1988","0580",NA,NA,60,5,12,0,361,4,"Halifax",326937.956,205,1.83521059267894
"1988","1209024",1,1,"December 31, 1988","0580",NA,NA,23,23,1,0,361,4,"Halifax",326937.956,205,0.703497393860259
"1988","1209024",1,2,"December 31, 1988","0580",NA,NA,2,2,1,0,361,4,"Halifax",326937.956,205,0.0611736864226312
"1988","1209024",2,1,"December 31, 1988","0580",NA,NA,12,6,2,0,361,4,"Halifax",326937.956,205,0.367042118535787
"1988","1209024",4,2,"December 31, 1988","0580",NA,NA,24,1,24,0,361,4,"Halifax",326937.956,205,0.734084237071575
"1988","1209024",5,2,"December 31, 1988","0580",NA,NA,156,2,78,0,361,4,"Halifax",326937.956,205,4.77154754096523
"1988","1209026",1,1,"December 31, 1988","0580",NA,NA,78,78,1,0,361,4,"Halifax",326937.956,205,2.38577377048262
"1988","1209026",2,1,"December 31, 1988","0580",NA,NA,2,1,2,0,361,4,"Halifax",326937.956,205,0.0611736864226312
"1988","2415780",1,1,"December 31, 1988","1400",NA,NA,3,3,1,0,1579,4,"Quebec",646773.443,421,0.0463840937266189
"1988","2416200",1,1,"December 31, 1988","1400",NA,NA,1,1,1,0,1579,4,"Quebec",646773.443,421,0.0154613645755396
"1988","2416400",1,1,"December 31, 1988","1400",NA,NA,1,1,1,0,1579,4,"Quebec",646773.443,421,0.0154613645755396
"1988","2416500",1,1,"December 31, 1988","1400",NA,NA,3,3,1,0,1579,4,"Quebec",646773.443,421,0.0463840937266189
"1988","2416500",2,1,"December 31, 1988","1400",NA,NA,4,2,2,0,1579,4,"Quebec",646773.443,421,0.0618454583021585
"1988","2416600",1,1,"December 31, 1988","1400",NA,NA,3,3,1,0,1579,4,"Quebec",646773.443,421,0.0463840937266189
"1988","2416700",1,1,"December 31, 1988","1400",NA,NA,3,3,1,0,1579,4,"Quebec",646773.443,421,0.0463840937266189
"1988","2417320",1,1,"December 31, 1988","1400",NA,NA,1,1,1,0,1579,4,"Quebec",646773.443,421,0.0154613645755396
"1988","2417360",1,1,"December 31, 1988","1400",NA,NA,3,3,1,0,1579,4,"Quebec",646773.443,421,0.0463840937266189
"1988","2417400",1,1,"December 31, 1988","1400",NA,NA,6,6,1,0,1579,4,"Quebec",646773.443,421,0.0927681874532378
"1988","2417400",2,1,"December 31, 1988","1400",NA,NA,1,1,1,0,1579,4,"Quebec",646773.443,421,0.0154613645755396
"1988","2417460",1,1,"December 31, 1988","1400",NA,NA,8,8,1,0,1579,4,"Quebec",646773.443,421,0.123690916604317
"1988","2420110",1,1,"December 31, 1988","1400",NA,NA,60,60,1,0,1579,4,"Quebec",646773.443,421,0.927681874532378
"1988","2420110",2,1,"December 31, 1988","1400",NA,NA,14,7,2,0,1579,4,"Quebec",646773.443,421,0.216459104057555
"1988","2420110",5,2,"December 31, 1988","1400",NA,NA,11,2,5.5,0,1579,4,"Quebec",646773.443,421,0.170075010330936
"1988","2420110",5,3,"December 31, 1988","1400",NA,NA,55,1,55,0,1579,4,"Quebec",646773.443,421,0.85037505165468
"1988","2420140",1,1,"December 31, 1988","1400",NA,NA,34,34,1,0,1579,4,"Quebec",646773.443,421,0.525686395568347
"1988","2420140",2,1,"December 31, 1988","1400",NA,NA,8,5,1.6,0,1579,4,"Quebec",646773.443,421,0.123690916604317
"1988","2420140",4,1,"December 31, 1988","1400",NA,NA,5,1,5,0,1579,4,"Quebec",646773.443,421,0.0773068228776981
"1988","2420140",5,2,"December 31, 1988","1400",NA,NA,66,10,6.6,0,1579,4,"Quebec",646773.443,421,1.02045006198562
"1988","2420140",5,3,"December 31, 1988","1400",NA,NA,87,2,43.5,0,1579,4,"Quebec",646773.443,421,1.34513871807195
"1988","2420150",1,1,"December 31, 1988","1400",NA,NA,9,9,1,0,1579,4,"Quebec",646773.443,421,0.139152281179857
"1988","2420150",5,2,"December 31, 1988","1400",NA,NA,2,1,2,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2420170",1,1,"December 31, 1988","1400",NA,NA,20,20,1,0,1579,4,"Quebec",646773.443,421,0.309227291510793
"1988","2420170",2,1,"December 31, 1988","1400",NA,NA,6,3,2,0,1579,4,"Quebec",646773.443,421,0.0927681874532378
"1988","2420200",1,1,"December 31, 1988","1400",NA,NA,5,5,1,0,1579,4,"Quebec",646773.443,421,0.0773068228776981
"1988","2420230",1,1,"December 31, 1988","1400",NA,NA,47,47,1,0,1579,4,"Quebec",646773.443,421,0.726684135050362
"1988","2420230",2,1,"December 31, 1988","1400",NA,NA,21,11,1.90909090909091,0,1579,4,"Quebec",646773.443,421,0.324688656086332
"1988","2420230",4,1,"December 31, 1988","1400",NA,NA,9,3,3,0,1579,4,"Quebec",646773.443,421,0.139152281179857
"1988","2420230",5,1,"December 31, 1988","1400",NA,NA,2,1,2,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2420230",5,2,"December 31, 1988","1400",NA,NA,415,36,11.5277777777778,0,1579,4,"Quebec",646773.443,421,6.41646629884895
"1988","2420230",5,3,"December 31, 1988","1400",NA,NA,43,3,14.3333333333333,0,1579,4,"Quebec",646773.443,421,0.664838676748204
"1988","2420260",5,2,"December 31, 1988","1400",NA,NA,6,1,6,0,1579,4,"Quebec",646773.443,421,0.0927681874532378
"1988","2420290",1,1,"December 31, 1988","1400",NA,NA,16,16,1,0,1579,4,"Quebec",646773.443,421,0.247381833208634
"1988","2420290",2,1,"December 31, 1988","1400",NA,NA,2,1,2,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2420320",1,1,"December 31, 1988","1400",NA,NA,2,2,1,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2420350",1,1,"December 31, 1988","1400",NA,NA,7,7,1,0,1579,4,"Quebec",646773.443,421,0.108229552028777
"1988","2420350",2,1,"December 31, 1988","1400",NA,NA,2,1,2,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2420400",1,1,"December 31, 1988","1400",NA,NA,16,16,1,0,1579,4,"Quebec",646773.443,421,0.247381833208634
"1988","2420400",2,1,"December 31, 1988","1400",NA,NA,7,4,1.75,0,1579,4,"Quebec",646773.443,421,0.108229552028777
"1988","2420400",4,1,"December 31, 1988","1400",NA,NA,21,4,5.25,0,1579,4,"Quebec",646773.443,421,0.324688656086332
"1988","2420400",4,2,"December 31, 1988","1400",NA,NA,4,1,4,0,1579,4,"Quebec",646773.443,421,0.0618454583021585
"1988","2420400",5,2,"December 31, 1988","1400",NA,NA,273,3,91,0,1579,4,"Quebec",646773.443,421,4.22095252912232
"1988","2420430",1,1,"December 31, 1988","1400",NA,NA,32,32,1,0,1579,4,"Quebec",646773.443,421,0.494763666417268
"1988","2420430",5,2,"December 31, 1988","1400",NA,NA,33,4,8.25,0,1579,4,"Quebec",646773.443,421,0.510225030992808
"1988","2420470",1,1,"December 31, 1988","1400",NA,NA,3,3,1,0,1579,4,"Quebec",646773.443,421,0.0463840937266189
"1988","2420490",1,1,"December 31, 1988","1400",NA,NA,1,1,1,0,1579,4,"Quebec",646773.443,421,0.0154613645755396
"1988","2420530",1,1,"December 31, 1988","1400",NA,NA,11,11,1,0,1579,4,"Quebec",646773.443,421,0.170075010330936
"1988","2420530",4,2,"December 31, 1988","1400",NA,NA,3,1,3,0,1579,4,"Quebec",646773.443,421,0.0463840937266189
"1988","2420530",5,2,"December 31, 1988","1400",NA,NA,2,1,2,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2420560",1,1,"December 31, 1988","1400",NA,NA,14,14,1,0,1579,4,"Quebec",646773.443,421,0.216459104057555
"1988","2420560",5,3,"December 31, 1988","1400",NA,NA,6,1,6,0,1579,4,"Quebec",646773.443,421,0.0927681874532378
"1988","2420830",1,1,"December 31, 1988","1400",NA,NA,10,10,1,0,1579,4,"Quebec",646773.443,421,0.154613645755396
"1988","2420830",5,2,"December 31, 1988","1400",NA,NA,3,1,3,0,1579,4,"Quebec",646773.443,421,0.0463840937266189
"1988","2421170",1,1,"December 31, 1988","1400",NA,NA,7,7,1,0,1579,4,"Quebec",646773.443,421,0.108229552028777
"1988","2421220",1,1,"December 31, 1988","1400",NA,NA,15,15,1,0,1579,4,"Quebec",646773.443,421,0.231920468633094
"1988","2421260",1,1,"December 31, 1988","1400",NA,NA,8,8,1,0,1579,4,"Quebec",646773.443,421,0.123690916604317
"1988","2421260",2,1,"December 31, 1988","1400",NA,NA,2,1,2,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2421260",5,3,"December 31, 1988","1400",NA,NA,4,1,4,0,1579,4,"Quebec",646773.443,421,0.0618454583021585
"1988","2421300",1,1,"December 31, 1988","1400",NA,NA,46,46,1,0,1579,4,"Quebec",646773.443,421,0.711222770474823
"1988","2421300",2,1,"December 31, 1988","1400",NA,NA,2,1,2,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2421300",5,2,"December 31, 1988","1400",NA,NA,39,11,3.54545454545455,0,1579,4,"Quebec",646773.443,421,0.602993218446045
"1988","2421340",1,1,"December 31, 1988","1400",NA,NA,10,10,1,0,1579,4,"Quebec",646773.443,421,0.154613645755396
"1988","2421340",2,1,"December 31, 1988","1400",NA,NA,2,1,2,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2421340",5,2,"December 31, 1988","1400",NA,NA,4,1,4,0,1579,4,"Quebec",646773.443,421,0.0618454583021585
"1988","2421380",1,1,"December 31, 1988","1400",NA,NA,1,1,1,0,1579,4,"Quebec",646773.443,421,0.0154613645755396
"1988","2421420",1,1,"December 31, 1988","1400",NA,NA,5,5,1,0,1579,4,"Quebec",646773.443,421,0.0773068228776981
