"ref_yy","CSDuid","date_pbi","metcode","metro","municipality","underconstr","num_structures","unitsperstructure","avgstorycount","X_c0","ref_qq","met_name","population","stcan_cmacode","underconstr_per_10kpop"
"1988","2429110","December 31, 1988","1400",NA,NA,8,8,1,0,1579,4,"Quebec",646773.443,421,0.123690916604317
"1988","2429130","December 31, 1988","1400",NA,NA,5,5,1,0,1579,4,"Quebec",646773.443,421,0.0773068228776981
"1988","2429140","December 31, 1988","1400",NA,NA,2,2,1,0,1579,4,"Quebec",646773.443,421,0.0309227291510793
"1988","2452440","December 31, 1988","1060",NA,NA,14,7,2,0,709,4,"Montreal",3351700.63,462,0.0417698402855269
"1988","2452480","December 31, 1988","1060",NA,NA,1,1,1,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2452550","December 31, 1988","1060",NA,NA,6,6,1,0,709,4,"Montreal",3351700.63,462,0.0179013601223687
"1988","2452700","December 31, 1988","1060",NA,NA,16,16,1,0,709,4,"Montreal",3351700.63,462,0.0477369603263165
"1988","2452780","December 31, 1988","1060",NA,NA,31,31,1,0,709,4,"Montreal",3351700.63,462,0.0924903606322382
"1988","2456120","December 31, 1988","1060",NA,NA,46,34,1.35294117647059,0.0588235294117647,709,4,"Montreal",3351700.63,462,0.13724376093816
"1988","2456200","December 31, 1988","1060",NA,NA,6,6,1,0,709,4,"Montreal",3351700.63,462,0.0179013601223687
"1988","2456280","December 31, 1988","1060",NA,NA,3,3,1,0,709,4,"Montreal",3351700.63,462,0.00895068006118434
"1988","2456310","December 31, 1988","1060",NA,NA,42,20,2.1,0.1,709,4,"Montreal",3351700.63,462,0.125309520856581
"1988","2456400","December 31, 1988","1060",NA,NA,150,92,1.6304347826087,0.0108695652173913,709,4,"Montreal",3351700.63,462,0.447534003059217
"1988","2456450","December 31, 1988","1060",NA,NA,1,1,1,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2456500","December 31, 1988","1060",NA,NA,10,1,10,0,709,4,"Montreal",3351700.63,462,0.0298356002039478
"1988","2456580","December 31, 1988","1060",NA,NA,112,2,56,0,709,4,"Montreal",3351700.63,462,0.334158722284215
"1988","2456650","December 31, 1988","1060",NA,NA,482,107,4.50467289719626,0.130841121495327,709,4,"Montreal",3351700.63,462,1.43807592983028
"1988","2456750","December 31, 1988","1060",NA,NA,55,36,1.52777777777778,0,709,4,"Montreal",3351700.63,462,0.164095801121713
"1988","2457110","December 31, 1988","1060",NA,NA,3,3,1,0,709,4,"Montreal",3351700.63,462,0.00895068006118434
"1988","2457150","December 31, 1988","1060",NA,NA,34,24,1.41666666666667,0.166666666666667,709,4,"Montreal",3351700.63,462,0.101441040693423
"1988","2457200","December 31, 1988","1060",NA,NA,1,1,1,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2457280","December 31, 1988","1060",NA,NA,55,53,1.0377358490566,0.0377358490566038,709,4,"Montreal",3351700.63,462,0.164095801121713
"1988","2457320","December 31, 1988","1060",NA,NA,26,16,1.625,0,709,4,"Montreal",3351700.63,462,0.0775725605302643
"1988","2457400","December 31, 1988","1060",NA,NA,18,18,1,0,709,4,"Montreal",3351700.63,462,0.0537040803671061
"1988","2462110","December 31, 1988","1060",NA,NA,3,3,1,0,709,4,"Montreal",3351700.63,462,0.00895068006118434
"1988","2462200","December 31, 1988","1060",NA,NA,69,26,2.65384615384615,0,709,4,"Montreal",3351700.63,462,0.20586564140724
"1988","2462240","December 31, 1988","1060",NA,NA,88,34,2.58823529411765,0,709,4,"Montreal",3351700.63,462,0.262553281794741
"1988","2462260","December 31, 1988","1060",NA,NA,1,1,1,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2462280","December 31, 1988","1060",NA,NA,101,55,1.83636363636364,0,709,4,"Montreal",3351700.63,462,0.301339562059873
"1988","2462310","December 31, 1988","1060",NA,NA,120,117,1.02564102564103,0,709,4,"Montreal",3351700.63,462,0.358027202447374
"1988","2462510","December 31, 1988","1060",NA,NA,114,104,1.09615384615385,0,709,4,"Montreal",3351700.63,462,0.340125842325005
"1988","2463110","December 31, 1988","1060",NA,NA,100,56,1.78571428571429,0,709,4,"Montreal",3351700.63,462,0.298356002039478
"1988","2463130","December 31, 1988","1060",NA,NA,32,32,1,0,709,4,"Montreal",3351700.63,462,0.095473920652633
"1988","2463150","December 31, 1988","1060",NA,NA,152,50,3.04,0,709,4,"Montreal",3351700.63,462,0.453501123100007
"1988","2463170","December 31, 1988","1060",NA,NA,41,41,1,0,709,4,"Montreal",3351700.63,462,0.122325960836186
"1988","2463190","December 31, 1988","1060",NA,NA,96,67,1.43283582089552,0,709,4,"Montreal",3351700.63,462,0.286421761957899
"1988","2463200","December 31, 1988","1060",NA,NA,32,31,1.03225806451613,0,709,4,"Montreal",3351700.63,462,0.095473920652633
"1988","2463220","December 31, 1988","1060",NA,NA,214,114,1.87719298245614,0,709,4,"Montreal",3351700.63,462,0.638481844364483
"1988","2463250","December 31, 1988","1060",NA,NA,63,31,2.03225806451613,0.129032258064516,709,4,"Montreal",3351700.63,462,0.187964281284871
"1988","2464500","December 31, 1988","1060",NA,NA,1457,327,4.45565749235474,0,709,4,"Montreal",3351700.63,462,4.3470469497152
"1988","2465160","December 31, 1988","1060",NA,NA,1,1,1,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2465180","December 31, 1988","1060",NA,NA,303,9,33.6666666666667,0.222222222222222,709,4,"Montreal",3351700.63,462,0.904018686179619
"1988","2465200","December 31, 1988","1060",NA,NA,33,8,4.125,0,709,4,"Montreal",3351700.63,462,0.0984574806730278
"1988","2465220","December 31, 1988","1060",NA,NA,216,25,8.64,0,709,4,"Montreal",3351700.63,462,0.644448964405273
"1988","2465260","December 31, 1988","1060",NA,NA,2943,341,8.63049853372434,0.158357771260997,709,4,"Montreal",3351700.63,462,8.78061714002184
"1988","2465280","December 31, 1988","1060",NA,NA,75,4,18.75,0,709,4,"Montreal",3351700.63,462,0.223767001529609
"1988","2465300","December 31, 1988","1060",NA,NA,342,3,114,0,709,4,"Montreal",3351700.63,462,1.02037752697502
"1988","2465320","December 31, 1988","1060",NA,NA,257,14,18.3571428571429,1.14285714285714,709,4,"Montreal",3351700.63,462,0.766774925241459
"1988","2465340","December 31, 1988","1060",NA,NA,29,10,2.9,0.6,709,4,"Montreal",3351700.63,462,0.0865232405914486
"1988","2465420","December 31, 1988","1060",NA,NA,75,20,3.75,0,709,4,"Montreal",3351700.63,462,0.223767001529609
"1988","2465440","December 31, 1988","1060",NA,NA,423,13,32.5384615384615,0,709,4,"Montreal",3351700.63,462,1.26204588862699
"1988","2465480","December 31, 1988","1060",NA,NA,681,12,56.75,1.16666666666667,709,4,"Montreal",3351700.63,462,2.03180437388885
"1988","2465500","December 31, 1988","1060",NA,NA,8,7,1.14285714285714,0,709,4,"Montreal",3351700.63,462,0.0238684801631582
"1988","2465540","December 31, 1988","1060",NA,NA,205,20,10.25,0,709,4,"Montreal",3351700.63,462,0.61162980418093
"1988","2465580","December 31, 1988","1060",NA,NA,238,51,4.66666666666667,0,709,4,"Montreal",3351700.63,462,0.710087284853958
"1988","2465600","December 31, 1988","1060",NA,NA,28,21,1.33333333333333,0,709,4,"Montreal",3351700.63,462,0.0835396805710539
"1988","2465620","December 31, 1988","1060",NA,NA,18,18,1,0,709,4,"Montreal",3351700.63,462,0.0537040803671061
"1988","2465640","December 31, 1988","1060",NA,NA,15,9,1.66666666666667,0,709,4,"Montreal",3351700.63,462,0.0447534003059217
"1988","2465700","December 31, 1988","1060",NA,NA,308,48,6.41666666666667,0.270833333333333,709,4,"Montreal",3351700.63,462,0.918936486281593
"1988","2465720","December 31, 1988","1060",NA,NA,40,23,1.73913043478261,0,709,4,"Montreal",3351700.63,462,0.119342400815791
"1988","2465740","December 31, 1988","1060",NA,NA,10,2,5,0,709,4,"Montreal",3351700.63,462,0.0298356002039478
"1988","2466280","December 31, 1988","1060",NA,NA,1,1,1,0,709,4,"Montreal",3351700.63,462,0.00298356002039478
"1988","2466300","December 31, 1988","1060",NA,NA,24,24,1,0,709,4,"Montreal",3351700.63,462,0.0716054404894747
"1988","2466380","December 31, 1988","1060",NA,NA,500,74,6.75675675675676,0.0675675675675676,709,4,"Montreal",3351700.63,462,1.49178001019739
"1988","2466420","December 31, 1988","1060",NA,NA,78,14,5.57142857142857,0,709,4,"Montreal",3351700.63,462,0.232717681590793
"1988","2466500","December 31, 1988","1060",NA,NA,158,34,4.64705882352941,0.117647058823529,709,4,"Montreal",3351700.63,462,0.471402483222375
"1988","2466600","December 31, 1988","1060",NA,NA,3,3,1,0,709,4,"Montreal",3351700.63,462,0.00895068006118434
"1988","2466700","December 31, 1988","1060",NA,NA,79,69,1.14492753623188,0.0579710144927536,709,4,"Montreal",3351700.63,462,0.235701241611188
