id,Address,BuildingAddress,Community,CompletionDate,InspectionDate,PermitNumber,StickerNumber,Ward,longitude,latitude,location
1117,208R 44 ST NE,208 44 ST NE,MARLBOROUGH,2020/03/23,2020/03/20,BP2020-00454,2653,10,-113.96967496791231,51.05348134150843,"(51.05348134150843, -113.96967496791231)"
1781,322B FALWOOD WY NE,322 FALWOOD WY NE,FALCONRIDGE,2020/01/06,2019/12/13,BP2019-16688,2324,3,-113.93863709049747,51.10059106995749,"(51.10059106995749, -113.93863709049747)"
2003,3911B CENTRE A ST NE,3911 CENTRE A ST NE,HIGHLAND PARK,2012/03/16,2012/03/14,BP2011-00093,40,4,-114.0613537753785,51.08759417811926,"(51.08759417811926, -114.0613537753785)"
3137,87R BRIGHTONCREST TC SE,87 BRIGHTONCREST TC SE,NEW BRIGHTON,2019/10/28,2019/10/03,BP2019-13077,2044,12,-113.94016760976815,50.92242335878996,"(50.92242335878996, -113.94016760976815)"
1858,3435B 56 ST NE,3435 56 ST NE,TEMPLE,2019/12/20,2019/12/20,BP2019-06289,2287,5,-113.95330860316203,51.083810413553486,"(51.083810413553486, -113.95330860316203)"
1615,280R MT APEX GR SE,280 MT APEX GR SE,MCKENZIE LAKE,2017/04/07,2017/04/07,BP2016-11006,725,12,-113.9773140270614,50.92640714238505,"(50.92640714238505, -113.9773140270614)"
3165,9 TRASIMENO CR SW,9 TRASIMENO CR SW,CFB - CURRIE,2020/04/22,2020/04/16,BP2019-12095,2812,8,-114.1274069505407,51.017852047839845,"(51.017852047839845, -114.1274069505407)"
2388,5038G ELGIN AV SE,5038G ELGIN AV SE,MCKENZIE TOWNE,2012/02/14,2012/02/13,BP2011-06316,78,12,-113.95397344392336,50.90990147126652,"(50.90990147126652, -113.95397344392336)"
650,15 RIVER ROCK MR SE,15 RIVER ROCK MR SE,RIVERBEND,2015/10/09,2015/09/18,BP2015-03317,996,9,-114.00930621888094,50.96670602673267,"(50.96670602673267, -114.00930621888094)"
307,11R PANATELLA RI NW,11 PANATELLA RI NW,PANORAMA HILLS,2020/01/22,2020/01/03,BP2019-12097,2372,3,-114.08513262860863,51.169340931979946,"(51.169340931979946, -114.08513262860863)"
1344,2356R 23 ST NW,2356 23 ST NW,BANFF TRAIL,2012/04/03,2012/04/03,BP2011-07128,66,7,-114.11374661980737,51.07158654458123,"(51.07158654458123, -114.11374661980737)"
2134,426B REDSTONE DR NE,426 REDSTONE DR NE,REDSTONE,2020/03/26,2020/03/25,BP2020-02902,2708,3,-113.95514608895549,51.16859498132449,"(51.16859498132449, -113.95514608895549)"
2666,61G MARY DOVER DR SW,61G MARY DOVER DR SW,CFB - CURRIE,2016/02/09,2016/02/09,BP2014-08618,619,8,-114.1301010656915,51.018040696543494,"(51.018040696543494, -114.1301010656915)"
226,11348 BRAESIDE DR SW,11348 BRAESIDE DR SW,BRAESIDE,2018/06/07,2018/06/07,BP2016-14994,1011,11,-114.11196852675988,50.95398869888512,"(50.95398869888512, -114.11196852675988)"
434,12B SHAWCLIFFE CI SW,12 SHAWCLIFFE CI SW,SHAWNESSY,2017/11/27,2017/11/27,BP2017-08457,883,13,-114.07568495018904,50.91157722819544,"(50.91157722819544, -114.07568495018904)"
1543,269 WALDEN SQ SE,269 WALDEN SQ SE,WALDEN,2016/01/14,2016/01/14,BP2015-15093,464,14,-114.02843196425812,50.87539015959421,"(50.87539015959421, -114.02843196425812)"
856,1743R 42 ST NE,1743 42 ST NE,RUNDLE,2020/04/17,2020/04/16,BP2020-02781,2771,5,-113.97219457821878,51.069135062705634,"(51.069135062705634, -113.97219457821878)"
1638,2840B 4 ST NW,471 28 AV NW,MOUNT PLEASANT,2020/04/22,2020/04/01,BP2020-00474,2797,7,-114.07128558412417,51.07767302183985,"(51.07767302183985, -114.07128558412417)"
1189,2156 BRIGHTONCREST GR SE,2156 BRIGHTONCREST GR SE,NEW BRIGHTON,2015/09/15,2015/08/24,BP2015-00452,887,12,-113.9396836271665,50.92634685041591,"(50.92634685041591, -113.9396836271665)"
2899,72B PANAMOUNT MR NW,72 PANAMOUNT MR NW,PANORAMA HILLS,2020/02/06,2020/02/05,BP2019-13793,2436,3,-114.0865424130686,51.16204467248111,"(51.16204467248111, -114.0865424130686)"
1258,222B CORNERSTONE RD NE,222 CORNERSTONE RD NE,CORNERSTONE,2020/06/05,2020/05/22,BP2020-00576,3024,5,-113.94215140708124,51.16028156786286,"(51.16028156786286, -113.94215140708124)"
1456,251R QUEEN TAMARA WY SE,251 QUEEN TAMARA WY SE,QUEENSLAND,2019/03/28,2019/03/27,BP2018-15957,1403,12,-114.02393507266677,50.94219890018431,"(50.94219890018431, -114.02393507266677)"
1068,2027B 7 AV SE,2027 7 AV SE,INGLEWOOD,2019/06/06,2019/05/23,BP2018-04225,1578,9,-114.01511816412194,51.03527723717189,"(51.03527723717189, -114.01511816412194)"
1170,212R PINEMONT RD NE,212 PINEMONT RD NE,PINERIDGE,2020/06/01,2020/05/28,BP2020-04318,2982,5,-113.9549717358524,51.07096096115851,"(51.07096096115851, -113.9549717358524)"
662,150R MCKENZIE LAKE CV SE,150 MCKENZIE LAKE CV SE,MCKENZIE LAKE,2020/01/10,2020/01/10,BP2019-08979,2338,12,-113.97623465167975,50.907332478510185,"(50.907332478510185, -113.97623465167975)"
966,1903B 24 AV NW,1903 24 AV NW,BANFF TRAIL,2019/12/02,2019/11/29,BP2019-09422,2207,7,-114.10488926568158,51.07407288997896,"(51.07407288997896, -114.10488926568158)"
1313,2310B 16 ST SE,2310 16 ST SE,INGLEWOOD,2019/08/29,2019/08/29,BP2018-15169,1837,9,-114.02183133721495,51.03305071852071,"(51.03305071852071, -114.02183133721495)"
314,12 SIMONS CR NW,10 SIMONS CR NW,THORNCLIFFE,2019/06/04,2019/05/31,BP2019-04964,1565,4,-114.0729634719026,51.104809656661686,"(51.104809656661686, -114.0729634719026)"
2486,538B 27 AV NW,538 27 AV NW,MOUNT PLEASANT,2019/11/04,2019/11/01,BP2019-10147,2102,4,-114.07354752985422,51.07712574013873,"(51.07712574013873, -114.07354752985422)"
1487,258R COPPERFIELD GV SE,258 COPPERFIELD GV SE,COPPERFIELD,2018/10/01,2018/09/28,BP2018-10568,1117,12,-113.93788651615223,50.908324332512365,"(50.908324332512365, -113.93788651615223)"
760,161B RIVERVIEW PA SE,161 RIVERVIEW PA SE,RIVERBEND,2020/02/04,2020/01/03,BP2019-16877,2411,9,-114.02208484135971,50.970359268507835,"(50.970359268507835, -114.02208484135971)"
3256,97 SETON MR SE,97 SETON MR SE,SETON,2019/02/05,2019/02/04,BP2018-11594,1287,12,-113.95890500096422,50.868593741551166,"(50.868593741551166, -113.95890500096422)"
1174,2135G BROADVIEW RD NW,2135G BROADVIEW RD NW,WEST HILLHURST,2013/04/26,2013/04/24,BP2010-14499,38,7,-114.10997426495277,51.0498050709523,"(51.0498050709523, -114.10997426495277)"
