Business Licence Number,Business ID,Address,Business Licence Type,Type of Residence,Licenced Date,Licenced Expiry Date,Status Description,longitude,latitude,Point,Ward Boundaries,City Quadrants,Calgary Communities,Ward Boundaries 2013-2017
BL231565,15874084,2440 22A ST NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/04,2021/02/03,Licensed,-114.11378277454614,51.073629719099195,POINT (-114.113782774546 51.073629719099),7,2,153,7
BL231878,15877293,111 10 ST NE,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/02/07,2021/02/06,Licensed,-114.03793880313759,51.05284684771132,POINT (-114.037938803138 51.052846847711),10,4,137,11
BL231332,15871619,443 CHAPARRAL RIDGE CI SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/01,2021/01/31,Licensed,-114.02214179041555,50.88369421000814,POINT (-114.022141790416 50.883694210008),6,3,130,13
BL231334,15871650,#614 340 14 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/01,2021/01/31,Licensed,-114.07071208060334,51.03996218906852,POINT (-114.070712080603 51.039962189069),14,1,260,5
BL231335,15871668,2213 17 ST SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/01,2021/01/31,Licensed,-114.10150897260634,51.034511683152715,POINT (-114.101508972606 51.034511683153),14,1,208,2
BL231339,15871700,14848 MT MCKENZIE DR SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/01,2021/01/31,Licensed,-113.98114117930416,50.92099400656279,POINT (-113.981141179304 50.920994006563),4,3,296,13
BL232448,15883572,7613 37 AV NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex/fourplex,2020/02/19,2021/02/18,Licensed,-114.19726823671813,51.08634677949588,POINT (-114.197268236718 51.086346779496),13,2,149,9
BL231341,15871726,346 SANDSTONE DR NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/01,2021/01/31,Licensed,-114.09951524686281,51.1399296869267,POINT (-114.099515246863 51.139929686927),2,2,270,4
BL231342,15871734,#906 1188 3 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/01,2021/01/31,Licensed,-114.0556621172161,51.0414644186415,POINT (-114.055662117216 51.041464418642),14,3,260,5
BL231343,15871742,#1604 1110 11 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/01,2021/01/31,Licensed,-114.0883050574298,51.04241330636004,POINT (-114.08830505743 51.04241330636),14,1,260,2
BL231345,15871767,#901 220 12 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/01,2021/01/31,Licensed,-114.05967298457563,51.04154436687838,POINT (-114.059672984576 51.041544366878),14,3,260,5
BL231347,15871783,219 ROCKY VISTA CI NW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/01,2021/01/31,Licensed,-114.23709195602841,51.138524548245236,POINT (-114.237091956028 51.138524548245),13,2,193,9
BL232665,15886302,602 26 AV NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/26,2021/02/25,Licensed,-114.07419863456282,51.076244578104195,POINT (-114.074198634563 51.076244578104),7,2,17,7
BL232430,15883416,#506 325 3 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/19,2021/02/18,Licensed,-114.05592064041868,51.04942239352649,POINT (-114.055920640419 51.049422393526),7,3,65,7
BL231871,15877244,6328 BOW CR NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/02/07,2021/02/06,Licensed,-114.178130038167,51.08646354265643,POINT (-114.178130038167 51.086463542656),13,2,149,9
BL231340,15871718,832 LAKE EMERALD PL SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/01,2021/01/31,Licensed,-114.04446121621092,50.94650528624145,POINT (-114.044461216211 50.946505286241),6,3,267,13
BL231503,15873458,#1601 211 13 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.06009998122575,51.04012665352896,POINT (-114.060099981226 51.040126653529),14,3,260,5
BL232540,15884851,137 SILVERADO CREEK CR SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/24,2021/02/23,Licensed,-114.0770073986743,50.88701108782395,POINT (-114.077007398674 50.887011087824),6,1,134,6
BL232567,15885130,#2 2410 KENSINGTON RD NW,SHORT TERM RENTAL - TIER ONE,Duplex/triplex/fourplex,2020/02/24,2021/02/23,Licensed,-114.11603924704484,51.05275716497622,POINT (-114.116039247045 51.052757164976),7,2,280,7
BL231350,15871817,438 33 AV NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/01,2021/01/31,Licensed,-114.07017044950835,51.08258471213362,POINT (-114.070170449508 51.082584712134),2,2,259,4
BL231352,15871833,38 BERMONDSEY WY NW,SHORT TERM RENTAL - TIER TWO,Single/detached house,2020/02/14,2021/02/13,Licensed,-114.08963870627251,51.126619234329915,POINT (-114.089638706273 51.12661923433),2,2,273,4
BL231353,15871841,9 INVERNESS VW SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/01,2021/01/31,Licensed,-113.9652761323773,50.91092371896692,POINT (-113.965276132377 50.910923718967),4,3,46,8
BL231354,15871858,1170 15 AV NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/01,2021/01/31,Licensed,-114.03438328330728,51.06560437629175,POINT (-114.034383283307 51.065604376292),10,4,171,11
BL231850,15877038,291 EDGEBROOK PA NW,SHORT TERM RENTAL - TIER TWO,Single/detached house,2020/06/24,2021/06/24,Licensed,-114.12684871845578,51.137550906443046,POINT (-114.126848718456 51.137550906443),2,2,272,4
BL235443,15920416,#2617 4641 128 AV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/07/09,2021/07/09,Licensed,-113.95699523640559,51.16494160491507,POINT (-113.956995236406 51.164941604915),11,4,12,1
BL231357,15871882,#203 138 WATERFRONT CO SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/01,2021/01/31,Licensed,-114.06578471927024,51.05310852163896,POINT (-114.06578471927 51.053108521639),7,1,21,7
BL231358,15871890,#2903 310 12 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/01,2021/01/31,Licensed,-114.06886272921314,51.0418609244039,POINT (-114.068862729213 51.041860924404),14,1,260,5
BL235389,15919905,#707 1500 7 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/07/08,2021/07/08,Licensed,-114.07893421385867,51.03873898499686,POINT (-114.078934213859 51.038738984997),14,1,260,2
BL231362,15871932,#1006 221 6 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/01,2021/01/31,Licensed,-114.05887653435627,51.04716742298633,POINT (-114.058876534356 51.047167422986),7,3,262,7
BL231364,15871957,3320 77 ST NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/01,2021/01/31,Licensed,-114.19897290319967,51.0834099988277,POINT (-114.1989729032 51.083409998828),13,2,149,9
BL231366,15871981,#2001 220 12 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/02,2021/02/01,Licensed,-114.05967298457563,51.04154436687838,POINT (-114.059672984576 51.041544366878),14,3,260,5
BL235189,15917537,505 ASPEN GLEN PL SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/06/29,2021/06/29,Licensed,-114.20084123234426,51.039577631216936,POINT (-114.200841232344 51.039577631217),1,1,48,14
BL231370,15872039,#606 135 13 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/02,2021/02/01,Licensed,-114.06549843806692,51.040335623392544,POINT (-114.065498438067 51.040335623393),14,1,260,5
BL231371,15872047,2310 ERLTON PL SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/02,2021/02/01,Licensed,-114.06317078063833,51.03297197237369,POINT (-114.063170780638 51.032971972374),10,1,187,5
BL235442,15920408,#1310 135 13 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/07/09,2021/07/09,Licensed,-114.06549843806692,51.040335623392544,POINT (-114.065498438067 51.040335623393),14,1,260,5
BL231374,15872070,209 14 AV NE,SHORT TERM RENTAL - TIER TWO,Duplex/triplex/fourplex,2020/02/14,2021/02/13,Licensed,-114.05929569936542,51.06490932521342,POINT (-114.059295699365 51.064909325213),7,4,266,7
BL231375,15872088,1119 7 ST SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/02,2021/02/01,Licensed,-114.0793154911166,51.042042288721184,POINT (-114.079315491117 51.042042288721),14,1,260,2
BL231377,15872104,101A 24 AV SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/02,2021/02/01,Licensed,-114.06435168142652,51.03110323668393,POINT (-114.064351681427 51.031103236684),14,1,297,5
BL231378,15872112,101 24 AV SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/02,2021/02/01,Licensed,-114.06432599567685,51.031188080402224,POINT (-114.064325995677 51.031188080402),14,1,297,5
BL231379,15872120,101B 24 AV SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/02,2021/02/01,Licensed,-114.06436318326693,51.03100912712365,POINT (-114.064363183267 51.031009127124),14,1,297,5
BL235444,15920424,#405 1320 1 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/07/09,2021/07/09,Licensed,-114.0606639948909,51.03966467140843,POINT (-114.060663994891 51.039664671408),14,3,260,5
BL235238,15918105,1035 16 ST NE,SHORT TERM RENTAL - TIER TWO,Single/detached house,2020/07/09,2021/07/09,Licensed,-114.02217236600016,51.06189868319299,POINT (-114.022172366 51.061898683193),12,4,140,3
BL235490,15920879,#2410 10 PRESTWICK BA SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/07/10,2021/07/10,Licensed,-113.95937089439649,50.92723845002294,POINT (-113.959370894396 50.927238450023),4,3,46,8
BL231385,15872195,414 19 ST NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/02,2021/02/01,Licensed,-114.1052049707321,51.05554623987928,POINT (-114.105204970732 51.055546239879),7,2,280,7
BL235500,15921158,56 PANAMOUNT CI NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/07/12,2021/07/12,Licensed,-114.0885344505417,51.15916921686132,POINT (-114.088534450542 51.159169216861),11,2,235,12
BL235575,15922115,148 VALLEY POINTE PL NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/07/14,2021/07/14,Licensed,-114.27005279762528,51.09085240103377,POINT (-114.270052797625 51.090852401034),13,2,47,9
BL235693,15923485,#1 2121 26 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/07/20,2021/07/20,Licensed,-114.11071338110226,51.030197103965726,POINT (-114.110713381102 51.030197103966),14,1,181,2
BL235748,15924210,335 NOLAN HILL DR NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/07/21,2021/07/21,Licensed,-114.16393152152621,51.177870334183545,POINT (-114.163931521526 51.177870334184),3,2,188,10
BL231388,15872229,5731 DALCASTLE CR NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/02,2021/02/01,Licensed,-114.16537770433041,51.11638137672021,POINT (-114.16537770433 51.11638137672),7,2,38,4
BL231674,15875198,#902 910 5 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/05,2021/02/04,Licensed,-114.08150922014414,51.049195959159995,POINT (-114.081509220144 51.04919595916),14,1,262,2
BL231425,15872666,3530 2 AV SW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/02/03,2021/02/02,Licensed,-114.13739296996175,51.051343556603726,POINT (-114.137392969962 51.051343556604),14,1,118,2
BL235876,15925514,#303 1320 1 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/07/24,2021/07/24,Licensed,-114.0606639948909,51.03966467140843,POINT (-114.060663994891 51.039664671408),14,3,260,5
BL235057,15916653,142 SADDLELAND CL NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/06/25,2021/06/25,Licensed,-113.93949455662553,51.131108413374285,POINT (-113.939494556626 51.131108413374),11,4,2,1
BL231394,15872294,726B 69 AV SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/02,2021/02/01,Licensed,-114.07818446551566,50.99165509735274,POINT (-114.078184465516 50.991655097353),8,1,120,5
BL235096,15916612,#1509 1320 1 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/06/25,2021/06/25,Licensed,-114.0606639948909,51.03966467140843,POINT (-114.060663994891 51.039664671408),14,3,260,5
BL231708,15875552,432 REGAL PA NE,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/05,2021/02/04,Licensed,-114.03671706149926,51.060816211507515,POINT (-114.036717061499 51.060816211508),10,4,171,11
BL231398,15872344,5104 6 ST SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-114.078620264998,51.008509759919086,POINT (-114.078620264998 51.008509759919),8,1,144,5
BL231399,15872351,915 35A ST NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-114.13756305829705,51.062990697397034,POINT (-114.137563058297 51.062990697397),7,2,91,7
BL231400,15872369,#2007 1053 10 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.0866635804898,51.043520249806136,POINT (-114.08666358049 51.043520249806),14,1,260,2
BL231401,15872377,#109 515 4 AV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Cancelled,-114.05159757460127,51.05565386141998,POINT (-114.051597574601 51.05565386142),10,4,137,11
BL231402,15872385,3107 16 ST SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-114.09988212564598,51.02644723860501,POINT (-114.099882125646 51.026447238605),14,1,207,2
BL231858,15877111,#204 138 WATERFRONT CO SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/06,2021/02/05,Licensed,-114.06578471927024,51.05310852163896,POINT (-114.06578471927 51.053108521639),7,1,21,7
BL231312,15871411,#1004 135 13 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/01,2021/01/31,Licensed,-114.06549843806692,51.040335623392544,POINT (-114.065498438067 51.040335623393),14,1,260,5
BL231403,15872443,136 PATRICK VW SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-114.17997036651303,51.06707549386635,POINT (-114.179970366513 51.067075493866),1,1,275,14
BL235132,15916992,412B QUEEN CHARLOTTE DR SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/06/26,2021/06/26,Licensed,-114.02417058067995,50.935247604427595,POINT (-114.02417058068 50.935247604428),6,3,215,13
BL235124,15916901,84A CEDARWOOD HL SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/06/26,2021/06/26,Licensed,-114.13279423264066,50.95415738670453,POINT (-114.132794232641 50.954157386705),8,1,126,5
BL231413,15872492,1714 17 ST NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-114.10182662554524,51.067616712769706,POINT (-114.101826625545 51.06761671277),7,2,63,7
BL231807,15876584,#1907 220 12 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/06,2021/02/05,Licensed,-114.05967298457563,51.04154436687838,POINT (-114.059672984576 51.041544366878),14,3,260,5
BL231416,15872526,#1905 221 6 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.05887653435627,51.04716742298633,POINT (-114.058876534356 51.047167422986),7,3,262,7
BL231417,15872534,#2110 221 6 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.05887653435627,51.04716742298633,POINT (-114.058876534356 51.047167422986),7,3,262,7
BL231418,15872542,#2 7044 OGDEN RD SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.0002265213368,50.9893676483707,POINT (-114.000226521337 50.989367648371),10,3,28,11
BL231419,15872559,#1508 225 11 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.0593543604455,51.041998686751754,POINT (-114.059354360445 51.041998686752),14,3,260,5
BL231420,15872567,#2412 221 6 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.05887653435627,51.04716742298633,POINT (-114.058876534356 51.047167422986),7,3,262,7
BL231322,15871510,#2104 220 12 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/01,2021/01/31,Licensed,-114.05967298457563,51.04154436687838,POINT (-114.059672984576 51.041544366878),14,3,260,5
BL231422,15872591,#2703 225 11 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.0593543604455,51.041998686751754,POINT (-114.059354360445 51.041998686752),14,3,260,5
BL232503,15884430,52 NORFORD CM NW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/21,2021/02/20,Licensed,-114.14605307658677,51.08100242139454,POINT (-114.146053076587 51.081002421395),13,2,155,7
BL231701,15875479,#303 4512 75 ST NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/05,2021/02/04,Licensed,-114.19792288737024,51.09142363652214,POINT (-114.19792288737 51.091423636522),13,2,149,9
BL235816,15924947,#1403 1111 10 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/07/23,2021/07/23,Licensed,-114.08695212592386,51.04237248809573,POINT (-114.086952125924 51.042372488096),14,1,260,2
BL231892,15877509,,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/07,2021/02/06,Cancelled,,,,,,,
BL235800,15924780,#303 1917 24A ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/07/23,2021/07/23,Licensed,-114.1197469502836,51.037173046407936,POINT (-114.119746950284 51.037173046408),14,1,181,2
BL231440,15872815,#504 135 13 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.06549843806692,51.040335623392544,POINT (-114.065498438067 51.040335623393),14,1,260,5
BL231423,15872617,#3110 1188 3 ST SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.0556621172161,51.0414644186415,POINT (-114.055662117216 51.041464418642),14,3,260,5
BL231442,15872831,#412 1540 17 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.09645568955345,51.038040952587295,POINT (-114.096455689553 51.038040952587),14,1,136,2
BL231448,15872880,#3 614 13 AV SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/03,2021/02/02,Licensed,-114.07494354388902,51.04100573405402,POINT (-114.074943543889 51.041005734054),14,1,260,2
BL231449,15872898,#9 210 VILLAGE TC SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.16696432025837,51.05647297088607,POINT (-114.166964320258 51.056472970886),1,1,275,14
BL231452,15872930,44 ROYAL HIGHLAND CO NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/02/03,2021/02/02,Licensed,-114.23287404424838,51.14502907897757,POINT (-114.232874044248 51.145029078978),3,2,252,9
BL231527,15873706,#1217 8710 HORTON RD SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.07312314190276,50.97582069376802,POINT (-114.073123141903 50.975820693768),8,1,195,5
BL231454,15872963,828 2 AV NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-114.08103784231302,51.05656446613505,POINT (-114.081037842313 51.056564466135),7,2,62,7
BL231455,15872971,#222 527 15 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.0736714301749,51.0385265933781,POINT (-114.073671430175 51.038526593378),14,1,260,2
BL231464,15873052,#10 10910 BONAVENTURE DR SE,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/03,2021/02/02,Licensed,-114.06774961983197,50.95500259975838,POINT (-114.067749619832 50.955002599758),6,3,89,5
BL231466,15873078,97 ROYAL HIGHLAND RD NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-114.22931163008957,51.14610332376983,POINT (-114.22931163009 51.14610332377),3,2,252,9
BL231467,15873086,124 VICTORIA CROSS BV SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/03,2021/02/02,Licensed,-114.13047005343185,51.01878562385567,POINT (-114.130470053432 51.018785623856),8,1,199,2
BL231787,15876394,#303 320 12 AV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/06,2021/02/05,Licensed,-114.0565677643387,51.063548155521325,POINT (-114.056567764339 51.063548155521),7,4,266,7
BL231483,15873144,#2006 615 6 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.05012463321987,51.04672079359241,POINT (-114.05012463322 51.046720793592),7,3,65,7
BL231463,15873151,#107 111 14 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.06281956513712,51.03926949821076,POINT (-114.062819565137 51.039269498211),14,3,260,5
BL231465,15873169,#306 111 14 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.06281956513712,51.03926949821076,POINT (-114.062819565137 51.039269498211),14,3,260,5
BL231468,15873177,#2110 225 11 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.0593543604455,51.041998686751754,POINT (-114.059354360445 51.041998686752),14,3,260,5
BL231469,15873185,#312 1087 2 AV NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.08546636143024,51.05377974465319,POINT (-114.08546636143 51.053779744653),7,2,62,7
BL231763,15876139,#1502 77 SPRUCE PL SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/06,2021/02/05,Licensed,-114.13681247427786,51.04259248549703,POINT (-114.136812474278 51.042592485497),14,1,118,2
BL232595,15885502,2020 SALISBURY ST SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/25,2021/02/24,Licensed,-114.04735516282832,51.03575884515707,POINT (-114.047355162828 51.035758845157),10,3,132,11
BL231397,15872336,5329 22 AV NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-114.16414273868114,51.08062086746004,POINT (-114.164142738681 51.08062086746),13,2,24,7
BL231482,15873250,#1908 615 6 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.05012463321987,51.04672079359241,POINT (-114.05012463322 51.046720793592),7,3,65,7
BL231485,15873268,#1602 1500 7 ST SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.07893421385867,51.03873898499686,POINT (-114.078934213859 51.038738984997),14,1,260,2
BL231453,15872948,#2 111 11 AV NE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.0616143676286,51.06223133313147,POINT (-114.061614367629 51.062231333131),7,4,266,7
BL231487,15873284,#308 1321 KENSINGTON CL NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.09274550187199,51.05124437087529,POINT (-114.092745501872 51.051244370875),7,2,40,7
BL231488,15873292,3210G PARKDALE BV NW,SHORT TERM RENTAL - TIER ONE,Coach/lane house,2020/02/03,2021/02/02,Licensed,-114.13303127106032,51.056732883117974,POINT (-114.13303127106 51.056732883118),7,2,91,7
BL231489,15873300,#405 927 2 AV NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.0822622208485,51.055278902551564,POINT (-114.082262220848 51.055278902552),7,2,62,7
BL231494,15873342,804 78 AV NW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-114.07875505730752,51.12223822453293,POINT (-114.078755057308 51.122238224533),2,2,261,4
BL231492,15873359,804R 78 AV NW,SHORT TERM RENTAL - TIER ONE,Suite in a house,2020/02/03,2021/02/02,Licensed,-114.07877125700324,51.122264299888386,POINT (-114.078771257003 51.122264299888),2,2,261,4
BL231495,15873367,#1 614 13 AV SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/03,2021/02/02,Licensed,-114.07494354388902,51.04100573405402,POINT (-114.074943543889 51.041005734054),14,1,260,2
BL231496,15873375,#417 222 RIVERFRONT AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.06671480427468,51.05252202376735,POINT (-114.066714804275 51.052522023767),7,1,21,7
BL231497,15873383,#1106 210 15 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.06037258105482,51.038905787092034,POINT (-114.060372581055 51.038905787092),14,3,260,5
BL231498,15873391,26 SNOWDON CR SW,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-114.08708568730496,50.961840672569984,POINT (-114.087085687305 50.96184067257),8,1,7,5
BL231499,15873409,147 AUTUMN GR SE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-113.97262396201332,50.896047237437834,POINT (-113.972623962013 50.896047237438),4,3,95,8
BL231500,15873417,#1112 222 RIVERFRONT AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.06671480427468,51.05252202376735,POINT (-114.066714804275 51.052522023767),7,1,21,7
BL231501,15873433,835 13 AV NE,SHORT TERM RENTAL - TIER ONE,Single/detached house,2020/02/03,2021/02/02,Licensed,-114.04404414039224,51.06396801504513,POINT (-114.044044140392 51.063968015045),10,4,171,11
BL231502,15873441,#606 519 RIVERFRONT AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.05094105497068,51.04768097987878,POINT (-114.050941054971 51.047680979879),7,3,65,7
BL231873,15877269,#502 110 2 AV SE,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/07,2021/02/06,Licensed,-114.0619329974052,51.05146039881473,POINT (-114.061932997405 51.051460398815),7,3,21,7
BL231505,15873474,#316 8 SAGE HILL TC NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.13506946268177,51.17019201720349,POINT (-114.135069462682 51.170192017203),3,2,265,10
BL231510,15873524,#2 530 56 AV SW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.0757096556751,51.00356419439672,POINT (-114.075709655675 51.003564194397),8,1,144,5
BL231512,15873557,#304 1087 2 AV NW,SHORT TERM RENTAL - TIER ONE,Apartment/condo unit,2020/02/03,2021/02/02,Licensed,-114.08546636143024,51.05377974465319,POINT (-114.08546636143 51.053779744653),7,2,62,7
BL231514,15873573,#3 614 13 AV SW,SHORT TERM RENTAL - TIER ONE,Townhouse,2020/02/03,2021/02/02,Cancelled,-114.07494354388902,51.04100573405402,POINT (-114.074943543889 51.041005734054),14,1,260,2
