reference_period,metro,metcode,dweltype,mkttycd,total_starts,starts_accsuite,starts_no_accsuite,num_structures,unitsperstructure,avgstorycount,avgpermit_to_start_time,bachelor_units,one_bedrooms,two_bedrooms,three_bedrooms,four_bedrooms,tot_units,total_avg_unitsize_sqm,total_avg_unitsize_sqft,total_avg_price,total_min_price,total_max_price,population,starts_per_10kpop
1988-06-01,Calgary,0140,5.0,1.0,15.0,,,4,3.75,0.0,1.25,,,,,,,,,,,,724449.87,0.21
1988-08-01,Calgary,0140,2.0,1.0,312.0,,,156,2.0,0.0,0.06,,,,,,,,,,,,724449.87,4.31
1988-11-01,Calgary,0140,4.0,2.0,76.0,,,3,25.33,0.0,1.0,,,,,,,,,,,,724449.87,1.05
1988-06-01,Calgary,0140,1.0,1.0,2135.0,,,2135,1.0,0.0,0.27,,,,,,,,,,,,724449.87,29.47
1988-06-01,Calgary,0140,1.0,0.0,1.0,,,1,1.0,0.0,0.0,,,,,,,,,,,,724449.87,0.01
1988-11-01,Calgary,0140,2.0,2.0,2.0,,,1,2.0,0.0,1.0,,,,,,,,,,,,724449.87,0.03
1988-12-01,Calgary,0140,4.0,1.0,21.0,,,3,7.0,0.0,2.67,,,,,,,,,,,,724449.87,0.29
1989-07-01,Calgary,0140,5.0,0.0,39.0,,,4,9.75,0.0,1.75,,,,,,,,,,,,747414.6,0.52
1989-11-01,Calgary,0140,2.0,1.0,118.0,,,59,2.0,0.0,1.63,,,,,,,,,,,,747414.6,1.58
1989-12-01,Calgary,0140,5.0,1.0,8.0,,,2,4.0,0.0,1.0,,,,,,,,,,,,747414.6,0.11
1989-12-01,Calgary,0140,5.0,3.0,4.0,,,1,4.0,0.0,0.0,,,,,,,,,,,,747414.6,0.05
1989-12-01,Calgary,0140,4.0,1.0,102.0,,,22,4.64,0.0,1.27,,,,,,,,,,,,747414.6,1.36
1989-08-01,Calgary,0140,1.0,2.0,32.0,,,32,1.0,0.0,0.81,,,,,,,,,,,,747414.6,0.43
1989-06-01,Calgary,0140,1.0,0.0,674.0,,,674,1.0,0.0,0.29,,,,,,,,,,,,747414.6,9.02
1989-02-01,Calgary,0140,4.0,2.0,160.0,,,40,4.0,0.0,0.93,,,,,,,,,,,,747414.6,2.14
