reference_period,metro,metcode,dweltype,mkttycd,total_starts,starts_accsuite,starts_no_accsuite,num_structures,unitsperstructure,avgstorycount,avgpermit_to_start_time,bachelor_units,one_bedrooms,two_bedrooms,three_bedrooms,four_bedrooms,tot_units,total_avg_unitsize_sqm,total_avg_unitsize_sqft,total_avg_price,total_min_price,total_max_price,population,starts_per_10kpop
1989-10-01,Calgary,0140,5.0,2.0,258.0,,,23,11.22,0.0,0.0,,,,,,,,,,,,747414.6,3.45
1989-01-01,Calgary,0140,1.0,1.0,4572.0,,,4572,1.0,0.0,0.37,,,,,,,,,,,,747414.6,61.17
1989-07-01,Calgary,0140,4.0,3.0,42.0,,,2,21.0,0.0,0.0,,,,,,,,,,,,747414.6,0.56
1989-12-01,Calgary,0140,2.0,2.0,28.0,,,14,2.0,0.0,1.14,,,,,,,,,,,,747414.6,0.37
1989-12-01,Calgary,0140,2.0,0.0,60.0,,,30,2.0,0.0,0.17,,,,,,,,,,,,747414.6,0.8
1989-07-01,Calgary,0140,4.0,0.0,131.0,,,5,26.2,0.0,2.2,,,,,,,,,,,,747414.6,1.75
1990-05-01,Calgary,0140,5.0,3.0,289.0,,,4,72.25,3.0,1.25,,,,,,,,,,,,764404.2,3.78
1990-05-01,Calgary,0140,1.0,0.0,321.0,,,321,1.0,0.0,0.32,,,,,,,,,,,,764404.2,4.2
1990-02-01,Calgary,0140,2.0,0.0,30.0,,,15,2.0,0.0,1.73,,,,,,,,,,,,764404.2,0.39
1990-10-01,Calgary,0140,2.0,2.0,24.0,,,12,2.0,0.0,1.58,,,,,,,,,,,,764404.2,0.31
1990-06-01,Calgary,0140,5.0,1.0,1.0,,,1,1.0,0.0,2.0,,,,,,,,,,,,764404.2,0.01
1990-08-01,Calgary,0140,2.0,3.0,152.0,,,76,2.0,0.0,0.51,,,,,,,,,,,,764404.2,1.99
1990-07-01,Calgary,0140,4.0,0.0,150.0,,,2,75.0,0.0,1.0,,,,,,,,,,,,764404.2,1.96
1990-04-01,Calgary,0140,1.0,1.0,5237.0,,,5237,1.0,0.0,0.51,,,,,,,,,,,,764404.2,68.51
1990-03-01,Calgary,0140,2.0,1.0,70.0,,,35,2.0,0.0,1.34,,,,,,,,,,,,764404.2,0.92
1990-03-01,Calgary,0140,1.0,3.0,1.0,,,1,1.0,0.0,0.0,,,,,,,,,,,,764404.2,0.01
1990-05-01,Calgary,0140,4.0,2.0,174.0,,,25,6.96,0.0,0.04,,,,,,,,,,,,764404.2,2.28
1990-03-01,Calgary,0140,1.0,2.0,5.0,,,5,1.0,0.0,0.8,,,,,,,,,,,,764404.2,0.07
1990-08-01,Calgary,0140,5.0,2.0,93.0,,,7,13.29,0.29,1.14,,,,,,,,,,,,764404.2,1.22
1990-05-01,Calgary,0140,4.0,3.0,324.0,,,58,5.59,0.0,0.36,,,,,,,,,,,,764404.2,4.24
1990-07-01,Calgary,0140,5.0,0.0,88.0,,,2,44.0,0.0,0.0,,,,,,,,,,,,764404.2,1.15
1990-01-01,Calgary,0140,4.0,1.0,45.0,,,13,3.46,0.0,4.0,,,,,,,,,,,,764404.2,0.59
1991-11-01,Calgary,0140,5.0,1.0,4.0,,,1,4.0,0.0,0.0,,,,,,,,,,,,779040.07,0.05
1991-09-01,Calgary,0140,1.0,2.0,3.0,,,3,1.0,0.0,0.0,,,,,,,,,,,,779040.07,0.04
1991-12-01,Calgary,0140,2.0,0.0,34.0,,,17,2.0,0.0,0.06,,,,,,,,,,,,779040.07,0.44
1991-01-01,Calgary,0140,1.0,1.0,4141.0,,,4141,1.0,0.0,0.36,,,,,,,,,,,,779040.07,53.16
1991-04-01,Calgary,0140,2.0,1.0,160.0,,,81,1.98,0.0,0.47,,,,,,,,,,,,779040.07,2.05
1991-11-01,Calgary,0140,4.0,0.0,17.0,,,1,17.0,0.0,4.0,,,,,,,,,,,,779040.07,0.22
1991-07-01,Calgary,0140,4.0,1.0,12.0,,,3,4.0,0.0,2.0,,,,,,,,,,,,779040.07,0.15
1991-11-01,Calgary,0140,5.0,0.0,12.0,,,2,6.0,0.0,5.0,,,,,,,,,,,,779040.07,0.15
1991-05-01,Calgary,0140,4.0,3.0,79.0,,,9,8.78,0.0,2.0,,,,,,,,,,,,779040.07,1.01
1991-11-01,Calgary,0140,2.0,3.0,38.0,,,19,2.0,0.0,1.0,,,,,,,,,,,,779040.07,0.49
1991-01-01,Calgary,0140,4.0,2.0,62.0,,,7,8.86,0.0,1.71,,,,,,,,,,,,779040.07,0.8
1991-12-01,Calgary,0140,1.0,0.0,5.0,,,5,1.0,0.0,0.0,,,,,,,,,,,,779040.07,0.06
1991-04-01,Calgary,0140,5.0,4.0,41.0,,,1,41.0,0.0,1.0,,,,,,,,,,,,779040.07,0.53
1991-05-01,Calgary,0140,1.0,3.0,1.0,,,1,1.0,0.0,0.0,,,,,,,,,,,,779040.07,0.01
1991-05-01,Calgary,0140,5.0,2.0,56.0,,,7,8.0,0.0,0.29,,,,,,,,,,,,779040.07,0.72
1991-03-01,Calgary,0140,5.0,3.0,59.0,,,5,11.8,0.0,3.0,,,,,,,,,,,,779040.07,0.76
1991-12-01,Calgary,0140,2.0,2.0,26.0,,,13,2.0,0.0,0.62,,,,,,,,,,,,779040.07,0.33
1992-05-01,Calgary,0140,2.0,2.0,10.0,,,5,2.0,0.0,0.6,,,,,,,,,,,,789289.72,0.13
1992-11-01,Calgary,0140,5.0,3.0,64.0,,,9,7.11,0.0,1.33,,,,,,,,,,,,789289.72,0.81
1992-09-01,Calgary,0140,4.0,4.0,62.0,,,11,5.64,0.0,1.27,,,,,,,,,,,,789289.72,0.79
1992-09-01,Calgary,0140,5.0,2.0,84.0,,,3,28.0,0.0,5.0,,,,,,,,,,,,789289.72,1.06
1992-04-01,Calgary,0140,2.0,1.0,252.0,,,126,2.0,0.0,0.46,,,,,,,,,,,,789289.72,3.19
1992-04-01,Calgary,0140,2.0,3.0,100.0,,,50,2.0,0.0,0.72,,,,,,,,,,,,789289.72,1.27
1992-07-01,Calgary,0140,4.0,0.0,19.0,,,2,9.5,0.0,5.0,,,,,,,,,,,,789289.72,0.24
1992-02-01,Calgary,0140,1.0,1.0,5980.0,,,5980,1.0,0.0,0.26,,,,,,,,,,,,789289.72,75.76
1992-12-01,Calgary,0140,1.0,3.0,2.0,,,2,1.0,0.0,0.0,,,,,,,,,,,,789289.72,0.03
1992-11-01,Calgary,0140,4.0,3.0,402.0,,,66,6.09,0.0,0.86,,,,,,,,,,,,789289.72,5.09
1992-02-01,Calgary,0140,5.0,1.0,26.0,,,3,8.67,0.0,1.0,,,,,,,,,,,,789289.72,0.33
1992-01-01,Calgary,0140,4.0,1.0,33.0,,,7,4.71,0.0,1.57,,,,,,,,,,,,789289.72,0.42
1993-10-01,Calgary,0140,2.0,1.0,184.0,,,92,2.0,0.0,0.46,,,,,,,,,,,,803617.45,2.29
1993-10-01,Calgary,0140,1.0,2.0,1.0,,,1,1.0,0.0,3.0,,,,,,,,,,,,803617.45,0.01
1993-11-01,Calgary,0140,2.0,3.0,124.0,,,62,2.0,0.0,1.16,,,,,,,,,,,,803617.45,1.54
1993-06-01,Calgary,0140,4.0,1.0,19.0,,,2,9.5,0.0,1.0,,,,,,,,,,,,803617.45,0.24
1993-04-01,Calgary,0140,5.0,3.0,125.0,,,12,10.42,0.0,0.58,,,,,,,,,,,,803617.45,1.56
1993-01-01,Calgary,0140,1.0,1.0,5219.0,,,5219,1.0,0.0,0.22,,,,,,,,,,,,803617.45,64.94
1993-01-01,Calgary,0140,4.0,3.0,709.0,,,161,4.4,0.0,2.13,,,,,,,,,,,,803617.45,8.82
1993-06-01,Calgary,0140,5.0,2.0,115.0,,,4,28.75,0.0,1.5,,,,,,,,,,,,803617.45,1.43
1993-12-01,Calgary,0140,2.0,0.0,2.0,,,1,2.0,0.0,0.0,,,,,,,,,,,,803617.45,0.02
1993-07-01,Calgary,0140,2.0,2.0,18.0,,,9,2.0,0.0,1.11,,,,,,,,,,,,803617.45,0.22
1993-07-01,Calgary,0140,4.0,2.0,113.0,,,13,8.69,0.0,1.69,,,,,,,,,,,,803617.45,1.41
1994-06-01,Calgary,0140,2.0,2.0,2.0,,,1,2.0,0.0,0.0,,,,,,,,,,,,820531.9,0.02
1994-09-01,Calgary,0140,1.0,3.0,1.0,,,1,1.0,0.0,0.0,,,,,,,,,,,,820531.9,0.01
1994-12-01,Calgary,0140,2.0,3.0,142.0,,,71,2.0,0.0,1.32,,,,,,,,,,,,820531.9,1.73
1994-04-01,Calgary,0140,4.0,1.0,52.0,,,9,5.78,0.0,2.67,,,,,,,,,,,,820531.9,0.63
1994-09-01,Calgary,0140,5.0,1.0,19.0,,,5,3.8,0.0,0.2,,,,,,,,,,,,820531.9,0.23
1994-12-01,Calgary,0140,4.0,2.0,4.0,,,1,4.0,0.0,0.0,,,,,,,,,,,,820531.9,0.05
1994-02-01,Calgary,0140,2.0,1.0,194.0,,,97,2.0,0.0,0.68,,,,,,,,,,,,820531.9,2.36
1994-07-01,Calgary,0140,5.0,2.0,55.0,,,2,27.5,0.0,1.0,,,,,,,,,,,,820531.9,0.67
1994-04-01,Calgary,0140,4.0,3.0,630.0,,,149,4.23,0.0,2.19,,,,,,,,,,,,820531.9,7.68
1994-01-01,Calgary,0140,1.0,1.0,5178.0,,,5178,1.0,0.0,0.25,,,,,,,,,,,,820531.9,63.11
1994-08-01,Calgary,0140,5.0,3.0,600.0,,,26,23.08,0.0,0.88,,,,,,,,,,,,820531.9,7.31
1995-04-01,Calgary,0140,2.0,3.0,130.0,,,65,2.0,0.0,1.62,,,,,,,,,,,,839716.2,1.55
1995-01-01,Calgary,0140,4.0,2.0,24.0,,,2,12.0,0.0,1.5,,,,,,,,,,,,839716.2,0.29
1995-08-01,Calgary,0140,4.0,3.0,463.0,,,88,5.26,0.0,2.28,,,,,,,,,,,,839716.2,5.51
1995-12-01,Calgary,0140,5.0,1.0,4.0,,,1,4.0,0.0,10.0,,,,,,,,,,,,839716.2,0.05
1995-10-01,Calgary,0140,4.0,1.0,54.0,,,13,4.15,0.0,0.85,,,,,,,,,,,,839716.2,0.64
1995-06-01,Calgary,0140,2.0,2.0,2.0,,,1,2.0,0.0,1.0,,,,,,,,,,,,839716.2,0.02
1995-01-01,Calgary,0140,1.0,1.0,4387.0,,,4387,1.0,0.0,0.2,,,,,,,,,,,,839716.2,52.24
1995-05-01,Calgary,0140,5.0,3.0,527.0,,,15,35.13,0.0,0.8,,,,,,,,,,,,839716.2,6.28
1995-08-01,Calgary,0140,2.0,1.0,94.0,,,47,2.0,0.0,0.62,,,,,,,,,,,,839716.2,1.12
1996-05-01,Calgary,0140,1.0,3.0,1.0,,,1,1.0,0.0,7.0,,,,,,,,,,,,867371.68,0.01
1996-09-01,Calgary,0140,2.0,1.0,144.0,,,72,2.0,0.0,0.56,,,,,,,,,,,,867371.68,1.66
1996-01-01,Calgary,0140,1.0,1.0,5861.0,,,5861,1.0,0.0,0.34,,,,,,,,,,,,867371.68,67.57
1996-11-01,Calgary,0140,4.0,2.0,3.0,,,1,3.0,0.0,0.0,,,,,,,,,,,,867371.68,0.03
1996-11-01,Calgary,0140,5.0,3.0,494.0,,,16,30.88,0.0,3.75,,,,,,,,,,,,867371.68,5.7
1996-12-01,Calgary,0140,5.0,2.0,12.0,,,2,6.0,0.0,0.0,,,,,,,,,,,,867371.68,0.14
1996-01-01,Calgary,0140,4.0,3.0,423.0,,,96,4.41,0.0,3.86,,,,,,,,,,,,867371.68,4.88
1996-01-01,Calgary,0140,4.0,1.0,16.0,,,3,5.33,0.0,1.33,,,,,,,,,,,,867371.68,0.18
1996-02-01,Calgary,0140,5.0,1.0,9.0,,,2,4.5,0.0,0.5,,,,,,,,,,,,867371.68,0.1
1996-11-01,Calgary,0140,2.0,2.0,2.0,,,1,2.0,0.0,0.0,,,,,,,,,,,,867371.68,0.02
1996-12-01,Calgary,0140,2.0,3.0,146.0,,,73,2.0,0.0,1.37,,,,,,,,,,,,867371.68,1.68
1997-06-01,Calgary,0140,2.0,1.0,266.0,,,133,2.0,0.0,0.44,,,,,,,,,,,,899742.31,2.96
1997-07-01,Calgary,0140,5.0,2.0,117.0,,,3,39.0,0.0,2.33,,,,,,,,,,,,899742.31,1.3
1997-07-01,Calgary,0140,2.0,2.0,2.0,,,1,2.0,0.0,0.0,,,,,,,,,,,,899742.31,0.02
1997-04-01,Calgary,0140,1.0,3.0,26.0,,,26,1.0,0.0,3.19,,,,,,,,,,,,899742.31,0.29
1997-11-01,Calgary,0140,4.0,3.0,934.0,,,210,4.45,0.0,1.68,,,,,,,,,,,,899742.31,10.38
1997-10-01,Calgary,0140,4.0,1.0,11.0,,,2,5.5,0.0,3.0,,,,,,,,,,,,899742.31,0.12
1997-03-01,Calgary,0140,5.0,1.0,21.0,,,5,4.2,0.0,1.4,,,,,,,,,,,,899742.31,0.23
1997-07-01,Calgary,0140,2.0,3.0,220.0,,,110,2.0,0.0,3.91,,,,,,,,,,,,899742.31,2.45
1997-02-01,Calgary,0140,1.0,1.0,8630.0,,,8630,1.0,0.0,0.22,,,,,,,,,,,,899742.31,95.92
1997-07-01,Calgary,0140,5.0,3.0,979.0,,,34,28.79,0.0,1.29,,,,,,,,,,,,899742.31,10.88
1997-11-01,Calgary,0140,4.0,2.0,9.0,,,2,4.5,0.0,5.5,,,,,,,,,,,,899742.31,0.1
1998-07-01,Calgary,0140,5.0,2.0,58.0,,,5,11.6,0.0,0.6,,,,,,,,,,,,925463.09,0.63
1998-06-01,Calgary,0140,4.0,2.0,6.0,,,1,6.0,0.0,1.0,,,,,,,,,,,,925463.09,0.06
1998-09-01,Calgary,0140,2.0,1.0,234.0,,,117,2.0,0.0,0.44,,,,,,,,,,,,925463.09,2.53
1998-11-01,Calgary,0140,4.0,1.0,13.0,,,4,3.25,0.0,0.75,,,,,,,,,,,,925463.09,0.14
1998-05-01,Calgary,0140,1.0,1.0,9179.0,,,9179,1.0,0.0,0.24,,,,,,,,,,,,925463.09,99.18
1998-06-01,Calgary,0140,1.0,3.0,40.0,,,40,1.0,0.0,1.25,,,,,,,,,,,,925463.09,0.43
1998-09-01,Calgary,0140,4.0,3.0,773.0,,,168,4.6,0.0,1.89,,,,,,,,,,,,925463.09,8.35
1998-02-01,Calgary,0140,5.0,1.0,12.0,,,3,4.0,0.0,1.0,,,,,,,,,,,,925463.09,0.13
1998-09-01,Calgary,0140,2.0,3.0,292.0,,,146,2.0,0.0,1.25,,,,,,,,,,,,925463.09,3.16
1998-10-01,Calgary,0140,5.0,3.0,1888.0,,,81,23.31,0.28,2.12,,,,,,,,,,,,925463.09,20.4
1999-02-01,Calgary,0140,4.0,1.0,20.0,,,6,3.33,0.0,1.17,,,,,,,,,,,,949842.56,0.21
1999-02-01,Calgary,0140,5.0,2.0,234.0,,,4,58.5,2.75,3.0,,,,,,,,,,,,949842.56,2.46
1999-01-01,Calgary,0140,1.0,1.0,6584.0,,,6584,1.0,0.0,0.21,,,,,,,,,,,,949842.56,69.32
1999-06-01,Calgary,0140,2.0,3.0,334.0,,,167,2.0,0.0,0.8,,,,,,,,,,,,949842.56,3.52
1999-11-01,Calgary,0140,2.0,1.0,242.0,,,121,2.0,0.0,1.06,,,,,,,,,,,,949842.56,2.55
1999-05-01,Calgary,0140,4.0,2.0,3.0,,,1,3.0,0.0,0.0,,,,,,,,,,,,949842.56,0.03
1999-01-01,Calgary,0140,4.0,3.0,597.0,,,129,4.63,0.02,2.2,,,,,,,,,,,,949842.56,6.29
1999-09-01,Calgary,0140,1.0,3.0,29.0,,,29,1.0,0.0,1.03,,,,,,,,,,,,949842.56,0.31
1999-07-01,Calgary,0140,5.0,3.0,2557.0,,,68,37.6,0.43,2.37,,,,,,,,,,,,949842.56,26.92
2000-05-01,Calgary,0140,5.0,3.0,2956.0,,,66,44.79,0.65,2.11,,,,,,,,,,,,974556.1,30.33
2000-10-01,Calgary,0140,2.0,2.0,2.0,,,1,2.0,0.0,0.0,,,,,,,,,,,,974556.1,0.02
2000-07-01,Calgary,0140,5.0,1.0,12.0,,,2,6.0,0.0,0.0,,,,,,,,,,,,974556.1,0.12
2000-09-01,Calgary,0140,2.0,1.0,328.0,,,164,2.0,0.0,0.75,,,,,,,,,,,,974556.1,3.37
2000-08-01,Calgary,0140,4.0,1.0,133.0,,,20,6.65,0.0,1.05,,,,,,,,,,,,974556.1,1.36
2000-08-01,Calgary,0140,1.0,3.0,8.0,,,8,1.0,0.0,0.25,,,,,,,,,,,,974556.1,0.08
2000-02-01,Calgary,0140,5.0,2.0,12.0,,,2,6.0,0.0,0.0,,,,,,,,,,,,974556.1,0.12
2000-04-01,Calgary,0140,1.0,1.0,6737.0,,,6737,1.0,0.0,0.2,,,,,,,,,,,,974556.1,69.13
2000-10-01,Calgary,0140,2.0,3.0,304.0,,,152,2.0,0.0,2.07,,,,,,,,,,,,974556.1,3.12
2000-11-01,Calgary,0140,4.0,3.0,597.0,,,131,4.56,0.0,2.15,,,,,,,,,,,,974556.1,6.13
2000-06-01,Calgary,0140,1.0,2.0,4.0,,,4,1.0,0.0,4.0,,,,,,,,,,,,974556.1,0.04
2001-04-01,Calgary,0140,4.0,3.0,955.0,,,211,4.53,0.0,1.65,,,,,,,,,,,,1004815.47,9.5
2001-09-01,Calgary,0140,1.0,0.0,1.0,,,1,1.0,0.0,1.0,,,,,,,,,,,,1004815.47,0.01
2001-01-01,Calgary,0140,1.0,1.0,7538.0,,,7538,1.0,0.0,0.19,,,,,,,,,,,,1004815.47,75.02
2001-01-01,Calgary,0140,5.0,3.0,1725.0,,,38,45.39,0.21,2.84,,,,,,,,,,,,1004815.47,17.17
2001-08-01,Calgary,0140,1.0,3.0,7.0,,,7,1.0,0.0,0.0,,,,,,,,,,,,1004815.47,0.07
2001-09-01,Calgary,0140,2.0,3.0,314.0,,,157,2.0,0.0,3.51,,,,,,,,,,,,1004815.47,3.12
2001-04-01,Calgary,0140,4.0,1.0,4.0,,,1,4.0,0.0,1.0,,,,,,,,,,,,1004815.47,0.04
2001-01-01,Calgary,0140,2.0,1.0,342.0,,,171,2.0,0.0,0.44,,,,,,,,,,,,1004815.47,3.4
2001-06-01,Calgary,0140,1.0,2.0,13.0,,,13,1.0,0.0,2.77,,,,,,,,,,,,1004815.47,0.13
2001-11-01,Calgary,0140,5.0,2.0,450.0,,,3,150.0,1.0,0.0,,,,,,,,,,,,1004815.47,4.48
2002-03-01,Calgary,0140,2.0,1.0,382.0,,,191,2.0,0.0,0.4,,,,,,,,,,,,1026949.07,3.72
2002-06-01,Calgary,0140,1.0,3.0,23.0,,,23,1.0,0.0,0.57,,,,,,,,,,,,1026949.07,0.22
2002-11-01,Calgary,0140,2.0,3.0,342.0,,,171,2.0,0.0,2.5,,,,,,,,,,,,1026949.07,3.33
2002-09-01,Calgary,0140,5.0,1.0,4.0,,,1,4.0,0.0,0.0,,,,,,,,,,,,1026949.07,0.04
2002-02-01,Calgary,0140,5.0,3.0,2734.0,,,57,47.96,0.05,2.91,,,,,,,,,,,,1026949.07,26.62
2002-10-01,Calgary,0140,4.0,1.0,22.0,,,6,3.67,0.0,1.67,,,,,,,,,,,,1026949.07,0.21
2002-01-01,Calgary,0140,1.0,1.0,9390.0,,,9390,1.0,0.0,0.28,,,,,,,,,,,,1026949.07,91.44
2002-07-01,Calgary,0140,4.0,3.0,1147.0,,,229,5.01,0.0,2.0,,,,,,,,,,,,1026949.07,11.17
2002-08-01,Calgary,0140,5.0,2.0,293.0,,,7,41.86,0.0,1.29,,,,,,,,,,,,1026949.07,2.85
2002-12-01,Calgary,0140,2.0,2.0,2.0,,,1,2.0,0.0,2.0,,,,,,,,,,,,1026949.07,0.02
2003-11-01,Calgary,0140,1.0,3.0,4.0,,,4,1.0,0.0,5.0,,,,,,,,,,,,1049550.64,0.04
2003-07-01,Calgary,0140,2.0,2.0,4.0,,,2,2.0,0.0,0.0,,,,,,,,,,,,1049550.64,0.04
2003-02-01,Calgary,0140,1.0,1.0,8522.0,,,8522,1.0,0.0,0.28,,,,,,,,,,,,1049550.64,81.2
2003-06-01,Calgary,0140,4.0,1.0,45.0,,,13,3.46,0.0,1.23,,,,,,,,,,,,1049550.64,0.43
2003-05-01,Calgary,0140,5.0,3.0,2785.0,,,60,46.42,0.0,4.1,,,,,,,,,,,,1049550.64,26.54
2003-04-01,Calgary,0140,2.0,1.0,538.0,,,269,2.0,0.0,0.76,,,,,,,,,,,,1049550.64,5.13
2003-08-01,Calgary,0140,2.0,3.0,256.0,,,128,2.0,0.0,3.13,,,,,,,,,,,,1049550.64,2.44
2003-02-01,Calgary,0140,5.0,1.0,1.0,,,1,1.0,0.0,4.0,,,,,,,,,,,,1049550.64,0.01
2003-07-01,Calgary,0140,4.0,3.0,1248.0,,,237,5.27,0.0,3.08,,,,,,,,,,,,1049550.64,11.89
2003-04-01,Calgary,0140,5.0,2.0,239.0,,,3,79.67,0.0,3.33,,,,,,,,,,,,1049550.64,2.28
2004-03-01,Calgary,0140,5.0,2.0,463.0,,,4,115.75,0.0,3.0,,,,,,,,,,,,1083762.24,4.27
2004-04-01,Calgary,0140,2.0,1.0,734.0,,,367,2.0,0.0,0.64,,,,,,,,,,,,1083762.24,6.77
2004-02-01,Calgary,0140,1.0,1.0,8223.0,,,8223,1.0,0.0,0.26,,,,,,,,,,,,1083762.24,75.87
2004-04-01,Calgary,0140,2.0,3.0,172.0,,,86,2.0,0.0,1.49,,,,,,,,,,,,1083762.24,1.59
2004-04-01,Calgary,0140,4.0,1.0,17.0,,,6,2.83,0.0,1.5,,,,,,,,,,,,1083762.24,0.16
2004-09-01,Calgary,0140,4.0,3.0,925.0,,,175,5.29,0.0,3.74,,,,,,,,,,,,1083762.24,8.54
2004-01-01,Calgary,0140,2.0,2.0,12.0,,,6,2.0,0.0,1.33,,,,,,,,,,,,1083762.24,0.11
2004-03-01,Calgary,0140,5.0,1.0,1.0,,,1,1.0,0.0,10.0,,,,,,,,,,,,1083762.24,0.01
2004-06-01,Calgary,0140,5.0,3.0,3451.0,,,63,54.78,0.0,3.7,,,,,,,,,,,,1083762.24,31.84
2004-06-01,Calgary,0140,1.0,3.0,10.0,,,10,1.0,0.0,1.9,,,,,,,,,,,,1083762.24,0.09
2005-05-01,Calgary,0140,4.0,1.0,18.0,,,6,3.0,0.0,2.33,,,,,,,,,,,,1120692.72,0.16
2005-01-01,Calgary,0140,1.0,3.0,3.0,,,3,1.0,0.0,1.33,,,,,,,,,,,,1120692.72,0.03
2005-10-01,Calgary,0140,2.0,3.0,192.0,,,96,2.0,0.0,2.65,,,,,,,,,,,,1120692.72,1.71
2005-05-01,Calgary,0140,5.0,1.0,4.0,,,2,2.0,0.0,0.0,,,,,,,,,,,,1120692.72,0.04
2005-04-01,Calgary,0140,4.0,3.0,1137.0,,,197,5.77,0.0,4.6,,,,,,,,,,,,1120692.72,10.15
2005-07-01,Calgary,0140,5.0,3.0,2780.0,,,63,44.13,0.0,3.49,,,,,,,,,,,,1120692.72,24.81
2005-03-01,Calgary,0140,1.0,1.0,8716.0,,,8716,1.0,0.0,0.3,,,,,,,,,,,,1120692.72,77.77
2005-09-01,Calgary,0140,2.0,1.0,796.0,,,398,2.0,0.0,0.76,,,,,,,,,,,,1120692.72,7.1
2005-09-01,Calgary,0140,5.0,2.0,21.0,,,1,21.0,0.0,2.0,,,,,,,,,,,,1120692.72,0.19
2006-02-01,Calgary,0140,2.0,3.0,162.0,,,81,2.0,0.0,3.0,,,,,,,,,,,,1151604.22,1.41
2006-08-01,Calgary,0140,4.0,3.0,1009.0,,,180,5.61,0.0,5.59,,,,,,,,,,,,1151604.22,8.76
2006-07-01,Calgary,0140,1.0,1.0,10473.0,,,10473,1.0,0.0,0.81,,,,,,,,,,,,1151604.22,90.94
2006-04-01,Calgary,0140,1.0,3.0,9.0,,,9,1.0,0.0,6.11,,,,,,,,,,,,1151604.22,0.08
2006-10-01,Calgary,0140,4.0,1.0,12.0,,,3,4.0,0.0,2.33,,,,,,,,,,,,1151604.22,0.1
2006-09-01,Calgary,0140,2.0,1.0,970.0,,,485,2.0,0.0,0.75,,,,,,,,,,,,1151604.22,8.42
2006-05-01,Calgary,0140,5.0,1.0,1.0,,,1,1.0,0.0,0.0,,,,,,,,,,,,1151604.22,0.01
2006-09-01,Calgary,0140,5.0,3.0,4222.0,,,73,57.84,0.67,3.75,,,,,,,,,,,,1151604.22,36.66
2006-06-01,Calgary,0140,5.0,2.0,188.0,,,3,62.67,0.0,11.67,,,,,,,,,,,,1151604.22,1.63
2007-07-01,Calgary,0140,4.0,1.0,30.0,,,4,7.5,0.0,0.25,,,,,,,,,,,,1183363.88,0.25
2007-12-01,Calgary,0140,5.0,1.0,6.0,,,1,6.0,0.0,0.0,,,,,,,,,,,,1183363.88,0.05
2007-09-01,Calgary,0140,4.0,3.0,1328.0,,,218,6.09,0.0,4.27,,,,,,,,,,,,1183363.88,11.22
2007-08-01,Calgary,0140,1.0,3.0,1.0,,,1,1.0,0.0,7.0,,,,,,,,,,,,1183363.88,0.01
2007-03-01,Calgary,0140,2.0,3.0,52.0,,,26,2.0,0.0,2.28,,,,,,,,,,,,1183363.88,0.44
2007-03-01,Calgary,0140,5.0,2.0,20.0,,,2,10.0,0.0,5.5,,,,,,,,,,,,1183363.88,0.17
2007-04-01,Calgary,0140,5.0,3.0,3340.0,,,63,53.02,0.14,5.34,,,,,,,,,,,,1183363.88,28.22
