reference_period,ref_qq,metro,metcode,total_starts,starts_accsuite,starts_no_accsuite,num_structures,unitsperstructure,avgstorycount,avgpermit_to_start_time,population,starts_per_10kpop
1996-11-01,4,Regina,1490,264.0,,,260,1.02,0.0,0.02,200709.47,13.2
1997-02-01,1,Regina,1490,220.0,,,220,1.0,0.0,0.17,199875.15,11.02
1997-05-01,2,Regina,1490,524.0,,,512,1.02,0.0,0.12,199875.15,26.24
1997-08-01,3,Regina,1490,1008.0,,,476,2.12,0.0,0.17,199875.15,50.48
1997-10-01,4,Regina,1490,312.0,,,308,1.01,0.0,0.19,199875.15,15.62
1998-01-01,1,Regina,1490,296.0,,,288,1.03,0.0,1.82,199961.38,14.8
1998-04-01,2,Regina,1490,828.0,,,664,1.25,0.0,0.63,199961.38,41.41
1998-08-01,3,Regina,1490,716.0,,,652,1.1,0.0,0.29,199961.38,35.81
1998-10-01,4,Regina,1490,308.0,,,308,1.0,0.0,0.11,199961.38,15.4
1999-02-01,1,Regina,1490,344.0,,,256,1.34,0.0,0.16,199901.52,17.25
1999-05-01,2,Regina,1490,800.0,,,596,1.34,0.0,0.03,199901.52,40.12
1999-09-01,3,Regina,1490,552.0,,,464,1.19,0.0,0.09,199901.52,27.69
1999-11-01,4,Regina,1490,596.0,,,364,1.64,0.0,0.0,199901.52,29.89
2000-03-01,1,Regina,1490,520.0,,,412,1.26,0.0,0.16,199136.27,26.26
2000-06-01,2,Regina,1490,912.0,,,608,1.5,0.01,0.15,199136.27,46.06
2000-07-01,3,Regina,1490,672.0,,,604,1.11,0.0,0.04,199136.27,33.94
2000-10-01,4,Regina,1490,356.0,,,332,1.07,0.0,-0.01,199136.27,17.98
2001-01-01,1,Regina,1490,308.0,,,264,1.17,0.0,0.15,197845.79,15.57
2001-06-01,2,Regina,1490,548.0,,,520,1.05,0.0,0.02,197845.79,27.71
2001-07-01,3,Regina,1490,500.0,,,452,1.11,0.0,0.01,197845.79,25.28
2001-10-01,4,Regina,1490,1148.0,,,460,2.5,0.03,0.14,197845.79,58.04
2002-02-01,1,Regina,1490,408.0,,,292,1.4,0.0,0.03,198866.75,20.52
