reference_period,metro,metcode,stcan_cmacode,censustr,total_starts,num_structures,starts_accsuite,starts_no_accsuite,unitsperstructure,avgstorycount,avgpermit_to_start_time
1989,Calgary,0140,825,0076.04,8.0,8,,,1.0,0.0,0.0
1990,Calgary,0140,825,0001.12,1.0,1,,,1.0,0.0,2.0
1990,Calgary,0140,825,0052.01,1.0,1,,,1.0,0.0,2.0
1990,Calgary,0140,825,0002.01,4.0,4,,,1.0,0.0,2.0
1990,Calgary,0140,825,0021.00,1.0,1,,,1.0,0.0,2.0
1990,Calgary,0140,825,0077.03,28.0,13,,,2.15,0.0,0.38
1990,Calgary,0140,825,0011.00,30.0,1,,,30.0,0.0,0.0
1990,Calgary,0140,825,0001.04,3.0,3,,,1.0,0.0,2.0
1990,Calgary,0140,825,0000.00,6638.0,5709,,,1.16,0.0,0.51
1990,Calgary,0140,825,0014.00,16.0,8,,,2.0,0.0,0.25
1990,Calgary,0140,825,0017.02,85.0,2,,,42.5,0.0,1.0
1990,Calgary,0140,825,0030.00,5.0,3,,,1.67,0.0,2.67
1990,Calgary,0140,825,0047.00,2.0,1,,,2.0,0.0,2.0
1990,Calgary,0140,825,0027.00,7.0,2,,,3.5,0.0,1.5
1990,Calgary,0140,825,0049.00,69.0,19,,,3.63,0.0,0.0
1990,Calgary,0140,825,0002.00,61.0,13,,,4.69,0.0,0.0
1990,Calgary,0140,825,0029.00,30.0,14,,,2.14,0.0,0.14
1990,Calgary,0140,825,0038.19,11.0,11,,,1.0,0.0,2.0
1990,Calgary,0140,825,0038.11,2.0,1,,,2.0,0.0,3.0
1990,Calgary,0140,825,0054.00,4.0,1,,,4.0,0.0,1.0
1990,Calgary,0140,825,0001.07,1.0,1,,,1.0,0.0,2.0
1990,Calgary,0140,825,0077.05,5.0,5,,,1.0,0.0,2.0
1991,Calgary,0140,825,0059.00,3.0,1,,,3.0,0.0,0.0
1991,Calgary,0140,825,0205.00,5.0,1,,,5.0,0.0,2.0
1991,Calgary,0140,825,0021.00,4.0,1,,,4.0,0.0,10.0
1991,Calgary,0140,825,0035.01,4.0,1,,,4.0,0.0,2.0
1991,Calgary,0140,825,0058.00,4.0,1,,,4.0,0.0,5.0
1991,Calgary,0140,825,0062.00,5.0,1,,,5.0,0.0,3.0
1991,Calgary,0140,825,0031.00,7.0,2,,,3.5,0.0,9.5
1991,Calgary,0140,825,0057.00,28.0,1,,,28.0,0.0,0.0
1991,Calgary,0140,825,0000.00,4686.0,4306,,,1.09,0.0,0.37
1991,Calgary,0140,825,0026.00,4.0,1,,,4.0,0.0,4.0
1992,Calgary,0140,825,0077.03,3.0,1,,,3.0,0.0,12.0
1992,Calgary,0140,825,0021.00,4.0,1,,,4.0,0.0,11.0
1992,Calgary,0140,825,0205.00,18.0,1,,,18.0,0.0,3.0
1992,Calgary,0140,825,0000.00,7009.0,6261,,,1.12,0.0,0.28
1993,Calgary,0140,825,0076.07,54.0,15,,,3.6,0.0,3.87
1993,Calgary,0140,825,0056.00,8.0,2,,,4.0,0.0,2.5
1993,Calgary,0140,825,0008.00,19.0,3,,,6.33,0.0,19.67
1993,Calgary,0140,825,0002.00,32.0,7,,,4.57,0.0,1.0
1993,Calgary,0140,825,0044.00,10.0,1,,,10.0,0.0,2.0
1993,Calgary,0140,825,0038.06,1.0,1,,,1.0,0.0,0.0
1993,Calgary,0140,825,0049.00,31.0,9,,,3.44,0.0,1.33
1993,Calgary,0140,825,0026.00,15.0,4,,,3.75,0.0,1.0
1993,Calgary,0140,825,0038.08,5.0,1,,,5.0,0.0,9.0
1993,Calgary,0140,825,0038.11,16.0,7,,,2.29,0.0,8.71
1993,Calgary,0140,825,0015.00,24.0,7,,,3.43,0.0,1.57
1993,Calgary,0140,825,0027.00,8.0,2,,,4.0,0.0,1.5
1993,Calgary,0140,825,0052.01,34.0,11,,,3.09,0.0,0.18
1993,Calgary,0140,825,0045.00,5.0,1,,,5.0,0.0,0.0
1993,Calgary,0140,825,0046.00,9.0,1,,,9.0,0.0,0.0
1993,Calgary,0140,825,0000.00,6158.0,5478,,,1.12,0.0,0.25
1993,Calgary,0140,825,0034.00,12.0,5,,,2.4,0.0,1.6
1993,Calgary,0140,825,0013.00,48.0,12,,,4.0,0.0,1.5
1993,Calgary,0140,825,0001.07,100.0,1,,,100.0,0.0,4.0
1993,Calgary,0140,825,0077.03,26.0,7,,,3.71,0.0,4.57
1993,Calgary,0140,825,0022.00,14.0,1,,,14.0,0.0,4.0
1994,Calgary,0140,825,0077.03,14.0,5,,,2.8,0.0,15.2
1994,Calgary,0140,825,0008.00,17.0,3,,,5.67,0.0,21.0
1994,Calgary,0140,825,0049.02,4.0,1,,,4.0,0.0,1.0
1994,Calgary,0140,825,0076.07,34.0,9,,,3.78,0.0,5.44
1994,Calgary,0140,825,0024.00,8.0,1,,,8.0,0.0,1.0
1994,Calgary,0140,825,0000.00,6800.0,5521,,,1.23,0.0,0.3
1995,Calgary,0140,825,0000.00,5678.0,4617,,,1.23,0.0,0.27
1995,Calgary,0140,825,0076.07,7.0,2,,,3.5,0.0,11.0
1996,Calgary,0140,825,0007.01,5.0,1,,,5.0,0.0,4.0
1996,Calgary,0140,825,0001.01,3.0,1,,,3.0,0.0,0.0
1996,Calgary,0140,825,0008.00,3.0,1,,,3.0,0.0,47.0
1996,Calgary,0140,825,0000.00,7082.0,6120,,,1.16,0.0,0.39
1996,Calgary,0140,825,0076.07,18.0,5,,,3.6,0.0,21.4
1997,Calgary,0140,825,0039.00,34.0,7,,,4.86,0.0,2.57
1997,Calgary,0140,825,0000.00,11169.0,9147,,,1.22,0.0,0.31
1997,Calgary,0140,825,0049.00,4.0,1,,,4.0,0.0,1.0
1997,Calgary,0140,825,0007.02,8.0,1,,,8.0,0.0,4.0
1998,Calgary,0140,825,0077.03,6.0,1,,,6.0,0.0,6.0
1998,Calgary,0140,825,0000.00,12485.0,9742,,,1.28,0.0,0.3
1998,Calgary,0140,825,0062.00,4.0,1,,,4.0,0.0,0.0
1999,Calgary,0140,825,0206.00,4.0,1,,,4.0,0.0,6.0
1999,Calgary,0140,825,0000.00,10596.0,7108,,,1.49,0.01,0.3
2000,Calgary,0140,825,,2.0,2,,,1.0,0.0,0.0
2000,Calgary,0140,825,0000.00,11087.0,7284,,,1.52,0.01,0.31
2000,Calgary,0140,825,0052.05,4.0,1,,,4.0,0.0,1.0
2001,Calgary,0140,825,0000.00,11349.0,8140,,,1.39,0.0,0.31
2002,Calgary,0140,825,0000.00,14071.0,10051,,,1.4,0.0,0.37
2002,Calgary,0140,825,0077.09,168.0,11,,,15.27,0.0,2.55
2002,Calgary,0140,825,0052.05,42.0,1,,,42.0,0.0,1.0
2002,Calgary,0140,825,0077.08,4.0,1,,,4.0,0.0,5.0
2002,Calgary,0140,825,0050.02,54.0,12,,,4.5,0.0,4.08
2003,Calgary,0140,825,0000.00,13422.0,9228,,,1.45,0.0,0.42
2003,Calgary,0140,825,0077.09,149.0,3,,,49.67,0.0,12.0
2003,Calgary,0140,825,0050.02,71.0,8,,,8.88,0.0,10.88
2004,Calgary,0140,825,0000.00,14004.0,8940,,,1.57,0.0,0.38
2004,Calgary,0140,825,0077.09,4.0,1,,,4.0,0.0,23.0
2005,Calgary,0140,825,0069.00,2.0,2,,,1.0,0.0,0.0
2005,Calgary,0140,825,0207.00,76.0,69,,,1.1,0.0,0.42
2005,Calgary,0140,825,0020.00,28.0,15,,,1.87,0.0,1.87
2005,Calgary,0140,825,0053.00,6.0,3,,,2.0,0.0,4.67
2005,Calgary,0140,825,0022.00,120.0,51,,,2.35,0.0,0.43
2005,Calgary,0140,825,0032.00,1.0,1,,,1.0,0.0,0.0
2005,Calgary,0140,825,0063.00,34.0,19,,,1.79,0.0,0.21
2005,Calgary,0140,825,0201.00,75.0,75,,,1.0,0.0,0.96
2005,Calgary,0140,825,0001.10,1.0,1,,,1.0,0.0,0.0
2005,Calgary,0140,825,0025.00,43.0,25,,,1.72,0.0,0.68
2005,Calgary,0140,825,0043.00,44.0,1,,,44.0,0.0,7.0
2005,Calgary,0140,825,0055.00,11.0,9,,,1.22,0.0,0.33
2005,Calgary,0140,825,0073.00,2.0,1,,,2.0,0.0,0.0
2005,Calgary,0140,825,0037.00,2.0,1,,,2.0,0.0,0.0
2005,Calgary,0140,825,0052.08,826.0,713,,,1.16,0.0,0.3
2005,Calgary,0140,825,0049.03,4.0,4,,,1.0,0.0,5.0
2005,Calgary,0140,825,0048.00,187.0,4,,,46.75,0.0,1.0
2005,Calgary,0140,825,0057.00,25.0,18,,,1.39,0.0,0.28
2005,Calgary,0140,825,0202.00,47.0,44,,,1.07,0.0,0.36
2005,Calgary,0140,825,0203.00,13.0,12,,,1.08,0.0,0.5
2005,Calgary,0140,825,0001.21,213.0,213,,,1.0,0.0,0.26
2005,Calgary,0140,825,0002.04,389.0,193,,,2.02,0.0,0.08
2005,Calgary,0140,825,0038.26,655.0,588,,,1.11,0.0,0.42
2005,Calgary,0140,825,0060.00,12.0,6,,,2.0,0.0,0.67
2005,Calgary,0140,825,0077.03,1.0,1,,,1.0,0.0,0.0
2005,Calgary,0140,825,0001.08,7.0,1,,,7.0,0.0,11.0
2005,Calgary,0140,825,0070.00,2.0,2,,,1.0,0.0,3.0
2005,Calgary,0140,825,0204.00,519.0,465,,,1.12,0.0,0.79
2005,Calgary,0140,825,0024.00,136.0,30,,,4.53,0.0,0.7
2005,Calgary,0140,825,0029.00,35.0,25,,,1.4,0.0,0.28
2005,Calgary,0140,825,0076.11,491.0,418,,,1.17,0.0,0.46
2005,Calgary,0140,825,0077.02,1.0,1,,,1.0,0.0,0.0
2005,Calgary,0140,825,0015.00,1.0,1,,,1.0,0.0,0.0
2005,Calgary,0140,825,0030.00,73.0,13,,,5.62,0.0,0.69
2005,Calgary,0140,825,0059.00,99.0,8,,,12.38,0.0,1.88
2005,Calgary,0140,825,0007.02,16.0,4,,,4.0,0.0,12.0
2005,Calgary,0140,825,0026.00,8.0,4,,,2.0,0.0,1.75
2005,Calgary,0140,825,0206.01,355.0,236,,,1.5,0.0,0.38
2005,Calgary,0140,825,0001.07,1.0,1,,,1.0,0.0,0.0
2005,Calgary,0140,825,0038.20,10.0,1,,,10.0,0.0,17.0
2005,Calgary,0140,825,0050.01,3.0,2,,,1.5,0.0,3.5
2005,Calgary,0140,825,0077.12,9.0,9,,,1.0,0.0,0.11
2005,Calgary,0140,825,0002.13,1689.0,1323,,,1.28,0.0,0.39
2005,Calgary,0140,825,0051.00,3.0,3,,,1.0,0.0,0.33
2005,Calgary,0140,825,0076.13,1.0,1,,,1.0,0.0,1.0
2005,Calgary,0140,825,0001.24,1627.0,1135,,,1.43,0.0,0.41
2005,Calgary,0140,825,0019.00,49.0,3,,,16.33,0.0,1.33
2005,Calgary,0140,825,0021.00,42.0,25,,,1.68,0.0,0.48
2005,Calgary,0140,825,0072.00,45.0,30,,,1.5,0.0,0.47
2005,Calgary,0140,825,0047.00,15.0,11,,,1.36,0.0,0.55
2005,Calgary,0140,825,0050.02,1608.0,1134,,,1.42,0.0,0.45
2005,Calgary,0140,825,0027.00,81.0,9,,,9.0,0.0,1.0
2005,Calgary,0140,825,0033.02,4.0,2,,,2.0,0.0,1.0
2005,Calgary,0140,825,0038.18,1.0,1,,,1.0,0.0,0.0
2005,Calgary,0140,825,0052.03,1.0,1,,,1.0,0.0,0.0
2005,Calgary,0140,825,0076.10,927.0,738,,,1.26,0.0,0.37
2005,Calgary,0140,825,0035.01,30.0,7,,,4.29,0.0,8.29
2005,Calgary,0140,825,0071.00,8.0,6,,,1.33,0.0,0.67
2005,Calgary,0140,825,0001.02,259.0,3,,,86.33,0.0,2.33
2005,Calgary,0140,825,0041.00,97.0,13,,,7.46,0.0,0.69
2005,Calgary,0140,825,0045.00,168.0,2,,,84.0,0.0,2.0
2005,Calgary,0140,825,0049.02,3.0,1,,,3.0,0.0,0.0
2005,Calgary,0140,825,0034.00,15.0,14,,,1.07,0.0,2.36
2005,Calgary,0140,825,0016.00,1.0,1,,,1.0,0.0,0.0
2005,Calgary,0140,825,0028.00,20.0,20,,,1.0,0.0,0.9
2005,Calgary,0140,825,0039.00,1.0,1,,,1.0,0.0,3.0
2005,Calgary,0140,825,0054.00,74.0,39,,,1.9,0.0,0.18
2005,Calgary,0140,825,0058.00,15.0,13,,,1.15,0.0,0.54
2005,Calgary,0140,825,0064.00,33.0,25,,,1.32,0.0,0.56
2005,Calgary,0140,825,0077.10,825.0,562,,,1.47,0.0,0.27
2005,Calgary,0140,825,0001.26,125.0,108,,,1.16,0.0,0.86
2005,Calgary,0140,825,0065.00,3.0,2,,,1.5,0.0,1.5
2005,Calgary,0140,825,0002.02,27.0,7,,,3.86,0.0,6.0
2005,Calgary,0140,825,0042.00,176.0,1,,,176.0,0.0,5.0
2005,Calgary,0140,825,0206.03,308.0,252,,,1.22,0.0,0.57
2005,Calgary,0140,825,0005.00,1.0,1,,,1.0,0.0,0.0
2005,Calgary,0140,825,0014.00,4.0,4,,,1.0,0.0,0.25
2005,Calgary,0140,825,0023.00,66.0,55,,,1.2,0.0,0.18
2005,Calgary,0140,825,0056.00,42.0,31,,,1.35,0.0,0.26
2005,Calgary,0140,825,0062.00,52.0,26,,,2.0,0.0,0.96
2005,Calgary,0140,825,0205.00,96.0,71,,,1.35,0.0,0.21
2005,Calgary,0140,825,0017.05,1.0,1,,,1.0,0.0,0.0
2005,Calgary,0140,825,0077.15,399.0,392,,,1.02,0.0,0.22
2005,Calgary,0140,825,0200.01,136.0,113,,,1.2,0.0,1.65
2005,Calgary,0140,825,0013.00,2.0,1,,,2.0,0.0,3.0
2005,Calgary,0140,825,0049.01,2.0,2,,,1.0,0.0,1.5
2005,Calgary,0140,825,0066.01,2.0,2,,,1.0,0.0,0.0
2006,Calgary,0140,825,0076.04,38.0,2,,,19.0,0.0,14.5
2006,Calgary,0140,825,0032.00,5.0,5,,,1.0,0.0,0.2
2006,Calgary,0140,825,0002.13,2095.0,1685,,,1.24,0.0,1.04
2006,Calgary,0140,825,0035.02,7.0,2,,,3.5,0.0,2.5
2006,Calgary,0140,825,0069.00,2.0,2,,,1.0,0.0,1.0
2006,Calgary,0140,825,0031.00,366.0,2,,,183.0,0.0,6.0
2006,Calgary,0140,825,0063.00,37.0,23,,,1.61,0.0,0.65
2006,Calgary,0140,825,0201.00,62.0,62,,,1.0,0.0,0.87
2006,Calgary,0140,825,0018.00,37.0,2,,,18.5,0.0,1.5
2006,Calgary,0140,825,0023.00,83.0,68,,,1.22,0.0,0.31
2006,Calgary,0140,825,0001.02,241.0,2,,,120.5,0.0,0.5
2006,Calgary,0140,825,0024.00,78.0,27,,,2.89,0.0,0.59
2006,Calgary,0140,825,0040.00,2.0,1,,,2.0,0.0,0.0
2006,Calgary,0140,825,0001.26,86.0,78,,,1.1,0.0,1.31
2006,Calgary,0140,825,0077.10,773.0,568,,,1.36,0.0,0.86
2006,Calgary,0140,825,0035.01,4.0,4,,,1.0,0.0,0.0
2006,Calgary,0140,825,0065.00,12.0,7,,,1.71,0.0,1.0
2006,Calgary,0140,825,0207.00,262.0,174,,,1.51,0.0,1.57
2006,Calgary,0140,825,0072.00,44.0,27,,,1.63,0.0,0.89
2006,Calgary,0140,825,0200.01,71.0,68,,,1.04,0.0,1.01
2006,Calgary,0140,825,0033.02,61.0,2,,,30.5,0.0,5.0
2006,Calgary,0140,825,0048.00,259.0,7,,,37.0,0.0,0.71
2006,Calgary,0140,825,0054.00,71.0,31,,,2.29,0.0,0.61
2006,Calgary,0140,825,0029.00,61.0,34,,,1.79,0.0,0.85
2006,Calgary,0140,825,0026.00,5.0,3,,,1.67,0.0,1.67
2006,Calgary,0140,825,0204.00,885.0,779,,,1.14,0.0,0.91
2006,Calgary,0140,825,0205.00,282.0,180,,,1.57,0.0,1.01
2006,Calgary,0140,825,0046.02,7.0,4,,,1.75,0.0,1.25
2006,Calgary,0140,825,0047.00,17.0,14,,,1.21,0.0,0.36
2006,Calgary,0140,825,0052.08,486.0,443,,,1.1,0.0,0.76
2006,Calgary,0140,825,0076.11,854.0,487,,,1.75,0.01,0.73
2006,Calgary,0140,825,0061.00,41.0,1,,,41.0,0.0,17.0
2006,Calgary,0140,825,0074.00,6.0,3,,,2.0,0.0,0.67
2006,Calgary,0140,825,0034.00,9.0,8,,,1.13,0.0,0.5
2006,Calgary,0140,825,0001.21,267.0,258,,,1.03,0.0,0.8
2006,Calgary,0140,825,0019.00,3.0,3,,,1.0,0.0,0.0
2006,Calgary,0140,825,0027.00,53.0,9,,,5.89,0.0,0.67
2006,Calgary,0140,825,0028.00,24.0,24,,,1.0,0.0,0.88
2006,Calgary,0140,825,0038.26,1284.0,1020,,,1.26,0.0,1.0
2006,Calgary,0140,825,0046.01,181.0,1,,,181.0,0.0,6.0
2006,Calgary,0140,825,0202.00,70.0,52,,,1.35,0.0,1.52
2006,Calgary,0140,825,0050.01,3.0,3,,,1.0,0.0,0.33
2006,Calgary,0140,825,0022.00,93.0,72,,,1.29,0.0,0.76
2006,Calgary,0140,825,0050.02,1500.0,1159,,,1.29,0.0,1.2
2006,Calgary,0140,825,0053.00,10.0,7,,,1.43,0.0,0.57
2006,Calgary,0140,825,0057.00,19.0,17,,,1.12,0.0,0.41
2006,Calgary,0140,825,0042.00,184.0,1,,,184.0,0.0,0.0
2006,Calgary,0140,825,0059.00,29.0,20,,,1.45,0.0,0.55
2006,Calgary,0140,825,0071.00,10.0,7,,,1.43,0.0,0.43
2006,Calgary,0140,825,0070.00,4.0,4,,,1.0,0.0,1.25
2006,Calgary,0140,825,0077.15,367.0,364,,,1.01,0.0,0.49
2006,Calgary,0140,825,0007.04,1.0,1,,,1.0,0.0,0.0
2006,Calgary,0140,825,0051.00,3.0,2,,,1.5,0.0,0.5
2006,Calgary,0140,825,0062.00,60.0,26,,,2.31,0.08,0.54
2006,Calgary,0140,825,0064.00,36.0,21,,,1.71,0.0,0.67
2006,Calgary,0140,825,0203.00,20.0,18,,,1.11,0.0,1.33
2006,Calgary,0140,825,0015.00,2.0,2,,,1.0,0.0,0.0
2006,Calgary,0140,825,0021.00,42.0,22,,,1.91,0.0,1.27
2006,Calgary,0140,825,0038.23,1.0,1,,,1.0,0.0,0.0
2006,Calgary,0140,825,0073.00,2.0,1,,,2.0,0.0,0.0
2006,Calgary,0140,825,0020.00,41.0,26,,,1.58,0.0,0.38
2006,Calgary,0140,825,0056.00,108.0,45,,,2.4,0.0,0.82
2006,Calgary,0140,825,0041.00,59.0,10,,,5.9,0.0,2.5
2006,Calgary,0140,825,0025.00,35.0,21,,,1.67,0.0,0.48
2006,Calgary,0140,825,0030.00,372.0,7,,,53.14,3.0,2.71
2006,Calgary,0140,825,0001.24,1778.0,1272,,,1.4,0.0,0.68
2006,Calgary,0140,825,0052.04,1.0,1,,,1.0,0.0,0.0
2006,Calgary,0140,825,0206.01,592.0,353,,,1.68,0.0,1.03
2006,Calgary,0140,825,0002.04,551.0,365,,,1.51,0.0,0.59
2006,Calgary,0140,825,0052.03,2.0,2,,,1.0,0.0,0.5
2006,Calgary,0140,825,0077.12,92.0,1,,,92.0,0.0,6.0
2006,Calgary,0140,825,0001.08,2.0,2,,,1.0,0.0,3.0
2006,Calgary,0140,825,0002.02,6.0,1,,,6.0,0.0,2.0
2006,Calgary,0140,825,0045.00,188.0,1,,,188.0,0.0,5.0
2006,Calgary,0140,825,0055.00,8.0,8,,,1.0,0.0,0.38
2006,Calgary,0140,825,0206.03,669.0,526,,,1.27,0.0,1.52
2006,Calgary,0140,825,0060.00,42.0,11,,,3.82,0.0,1.82
2006,Calgary,0140,825,0014.00,4.0,4,,,1.0,0.0,2.25
2006,Calgary,0140,825,0044.00,106.0,1,,,106.0,19.0,0.0
2006,Calgary,0140,825,0058.00,17.0,14,,,1.21,0.0,0.36
2006,Calgary,0140,825,0068.00,1.0,1,,,1.0,0.0,0.0
2006,Calgary,0140,825,0076.10,751.0,712,,,1.05,0.0,0.6
2006,Calgary,0140,825,0077.03,4.0,4,,,1.0,0.0,0.25
2007,Calgary,0140,825,0027.00,4.0,1,,,4.0,0.0,2.0
2007,Calgary,0140,825,0029.00,20.0,19,,,1.05,0.0,0.56
2007,Calgary,0140,825,0053.00,34.0,17,,,2.0,0.0,1.18
2007,Calgary,0140,825,0059.00,72.0,9,,,8.0,0.0,3.0
2007,Calgary,0140,825,0074.00,2.0,1,,,2.0,0.0,0.0
2007,Calgary,0140,825,0200.01,60.0,58,,,1.03,0.0,3.02
2007,Calgary,0140,825,0201.00,54.0,54,,,1.0,0.0,3.48
2007,Calgary,0140,825,0050.04,224.0,110,,,2.04,0.0,1.35
2007,Calgary,0140,825,0052.02,18.0,18,,,1.0,0.0,2.5
2007,Calgary,0140,825,0054.00,34.0,21,,,1.62,0.0,0.19
2007,Calgary,0140,825,0038.26,742.0,431,,,1.72,0.0,0.32
2007,Calgary,0140,825,0062.00,27.0,17,,,1.59,0.0,0.71
2007,Calgary,0140,825,0077.15,189.0,189,,,1.0,0.0,0.31
2007,Calgary,0140,825,0201.02,9.0,9,,,1.0,0.0,0.11
2007,Calgary,0140,825,0204.00,334.0,307,,,1.09,0.0,0.92
2007,Calgary,0140,825,0024.00,41.0,25,,,1.64,0.0,0.52
2007,Calgary,0140,825,0056.00,34.0,28,,,1.21,0.0,0.54
2007,Calgary,0140,825,0068.00,2.0,2,,,1.0,0.0,1.0
2007,Calgary,0140,825,0203.00,45.0,43,,,1.05,0.0,2.56
2007,Calgary,0140,825,0001.02,3.0,3,,,1.0,0.0,0.33
2007,Calgary,0140,825,0007.04,1.0,1,,,1.0,0.0,2.0
2007,Calgary,0140,825,0042.00,281.0,3,,,93.67,0.0,9.5
2007,Calgary,0140,825,0077.11,5.0,5,,,1.0,0.0,0.0
2007,Calgary,0140,825,0048.00,107.0,5,,,21.4,0.0,0.0
2007,Calgary,0140,825,0050.03,32.0,10,,,3.2,0.0,4.4
2007,Calgary,0140,825,0202.00,46.0,45,,,1.02,0.0,1.69
2007,Calgary,0140,825,0205.00,150.0,142,,,1.06,0.0,0.35
2007,Calgary,0140,825,0019.00,3.0,3,,,1.0,0.0,0.33
2007,Calgary,0140,825,0031.00,419.0,3,,,139.67,0.0,5.67
2007,Calgary,0140,825,0001.06,1.0,1,,,1.0,0.0,0.0
2007,Calgary,0140,825,0077.01,4.0,4,,,1.0,0.0,1.5
2007,Calgary,0140,825,0207.00,298.0,151,,,1.97,0.0,1.72
2007,Calgary,0140,825,0038.15,60.0,1,,,60.0,0.0,4.0
2007,Calgary,0140,825,0200.04,48.0,48,,,1.0,0.0,1.19
2007,Calgary,0140,825,0032.00,6.0,5,,,1.2,0.0,1.0
2007,Calgary,0140,825,0204.02,166.0,140,,,1.19,0.0,0.07
2007,Calgary,0140,825,0030.00,375.0,4,,,93.75,0.0,1.75
2007,Calgary,0140,825,0038.20,63.0,1,,,63.0,0.0,0.0
2007,Calgary,0140,825,0041.00,23.0,5,,,4.6,0.0,4.0
2007,Calgary,0140,825,0049.01,1.0,1,,,1.0,0.0,3.0
2007,Calgary,0140,825,0057.00,19.0,13,,,1.46,0.0,0.77
2007,Calgary,0140,825,0206.01,248.0,191,,,1.3,0.0,0.51
2007,Calgary,0140,825,0033.01,2.0,2,,,1.0,0.0,0.5
2007,Calgary,0140,825,0205.01,30.0,28,,,1.07,0.0,1.46
2007,Calgary,0140,825,0001.24,1172.0,904,,,1.3,0.0,0.67
2007,Calgary,0140,825,0020.00,60.0,34,,,1.76,0.06,1.56
2007,Calgary,0140,825,0038.29,15.0,15,,,1.0,0.0,0.0
2007,Calgary,0140,825,0206.03,804.0,638,,,1.26,0.0,1.14
2007,Calgary,0140,825,0001.25,159.0,1,,,159.0,0.0,5.0
2007,Calgary,0140,825,0026.00,26.0,4,,,6.5,0.75,5.75
2007,Calgary,0140,825,0060.00,6.0,4,,,1.5,0.0,0.5
2007,Calgary,0140,825,0200.03,3.0,3,,,1.0,0.0,1.67
2007,Calgary,0140,825,0001.21,367.0,192,,,1.91,0.0,0.83
2007,Calgary,0140,825,0025.00,78.0,27,,,2.89,0.0,1.22
2007,Calgary,0140,825,0047.00,27.0,18,,,1.5,0.0,0.61
2007,Calgary,0140,825,0077.03,1.0,1,,,1.0,0.0,1.0
2007,Calgary,0140,825,0055.00,11.0,11,,,1.0,0.0,0.09
