reference_period,metro,metcode,stcan_cmacode,censustr,total_starts,num_structures,starts_accsuite,starts_no_accsuite,unitsperstructure,avgstorycount,avgpermit_to_start_time
1988,Calgary,0140,825,0000.00,2562.0,2303,,,1.11,0.0,0.26
1989,Calgary,0140,825,0017.02,18.0,18,,,1.0,0.0,0.0
1989,Calgary,0140,825,0047.00,1.0,1,,,1.0,0.0,0.0
1989,Calgary,0140,825,0049.02,24.0,20,,,1.2,0.0,0.0
1989,Calgary,0140,825,0038.17,1.0,1,,,1.0,0.0,0.0
1989,Calgary,0140,825,0027.00,3.0,1,,,3.0,0.0,2.0
1989,Calgary,0140,825,0038.01,5.0,5,,,1.0,0.0,0.0
1989,Calgary,0140,825,0045.00,44.0,3,,,14.67,0.0,0.0
1989,Calgary,0140,825,0001.01,30.0,1,,,30.0,0.0,0.0
1989,Calgary,0140,825,0021.00,2.0,2,,,1.0,0.0,0.0
1989,Calgary,0140,825,0063.00,2.0,2,,,1.0,0.0,1.0
1989,Calgary,0140,825,0019.00,1.0,1,,,1.0,0.0,0.0
1989,Calgary,0140,825,0070.00,44.0,1,,,44.0,0.0,3.0
1989,Calgary,0140,825,0000.00,5111.0,4893,,,1.04,0.0,0.42
1989,Calgary,0140,825,0052.04,2.0,2,,,1.0,0.0,0.0
1989,Calgary,0140,825,0077.05,71.0,71,,,1.0,0.0,0.0
1989,Calgary,0140,825,0077.06,27.0,27,,,1.0,0.0,0.0
1989,Calgary,0140,825,0038.19,66.0,66,,,1.0,0.0,0.0
1989,Calgary,0140,825,0022.00,92.0,5,,,18.4,0.0,1.6
1989,Calgary,0140,825,0038.09,7.0,7,,,1.0,0.0,0.0
1989,Calgary,0140,825,0001.12,73.0,73,,,1.0,0.0,0.0
1989,Calgary,0140,825,0001.13,10.0,9,,,1.11,0.0,0.0
1989,Calgary,0140,825,0037.00,4.0,1,,,4.0,0.0,0.0
1989,Calgary,0140,825,0002.02,16.0,16,,,1.0,0.0,0.0
1989,Calgary,0140,825,0077.03,253.0,22,,,11.5,0.0,0.23
1989,Calgary,0140,825,0007.04,2.0,2,,,1.0,0.0,0.0
1989,Calgary,0140,825,0001.11,50.0,50,,,1.0,0.0,0.0
1989,Calgary,0140,825,0007.03,1.0,1,,,1.0,0.0,0.0
1989,Calgary,0140,825,0072.00,2.0,2,,,1.0,0.0,0.0
1989,Calgary,0140,825,0076.08,14.0,14,,,1.0,0.0,0.0
1989,Calgary,0140,825,0020.00,1.0,1,,,1.0,0.0,0.0
1989,Calgary,0140,825,0052.03,2.0,2,,,1.0,0.0,0.0
1989,Calgary,0140,825,0062.00,6.0,1,,,6.0,0.0,0.0
1989,Calgary,0140,825,0052.02,1.0,1,,,1.0,0.0,0.0
1989,Calgary,0140,825,0056.00,2.0,2,,,1.0,0.0,0.0
1989,Calgary,0140,825,0007.02,82.0,19,,,4.32,0.0,1.47
1989,Calgary,0140,825,0002.01,80.0,80,,,1.0,0.0,0.0
1989,Calgary,0140,825,0030.00,5.0,2,,,2.5,0.0,0.0
1989,Calgary,0140,825,0052.01,14.0,14,,,1.0,0.0,0.0
1989,Calgary,0140,825,0001.07,46.0,28,,,1.64,0.0,0.0
1989,Calgary,0140,825,0064.00,1.0,1,,,1.0,0.0,3.0
1989,Calgary,0140,825,0076.07,2.0,2,,,1.0,0.0,0.0
1989,Calgary,0140,825,0001.09,2.0,2,,,1.0,0.0,0.0
