reference_period,metro,metcode,total_starts,starts_accsuite,starts_no_accsuite,num_structures,unitsperstructure,avgstorycount,avgpermit_to_start_time,population,starts_per_10kpop
1989-02-01,Victoria,2440,3247.0,,,1571,2.07,0.0,0.26,289992.01,111.97
1990-02-01,Victoria,2440,2588.0,,,1376,1.88,0.01,0.46,295354.94,87.62
1991-06-01,Victoria,2440,2129.0,,,1292,1.65,0.0,0.42,300363.65,70.88
1992-01-01,Victoria,2440,2421.0,,,1274,1.9,0.02,0.65,304634.67,79.47
1993-02-01,Victoria,2440,2633.0,,,1137,2.32,0.04,0.51,309247.32,85.14
1994-01-01,Victoria,2440,2303.0,,,929,2.48,0.0,0.87,313054.51,73.57
1995-01-01,Victoria,2440,1299.0,,,549,2.37,0.0,1.18,316577.32,41.03
1996-01-01,Victoria,2440,1142.0,,,698,1.64,0.0,1.11,318620.25,35.84
1997-02-01,Victoria,2440,1311.0,,,762,1.72,0.0,0.73,319103.39,41.08
1998-02-01,Victoria,2440,964.0,,,606,1.59,0.0,0.39,320423.97,30.09
1999-07-01,Victoria,2440,1340.0,,,619,2.16,0.01,0.55,321445.88,41.69
2000-04-01,Victoria,2440,872.0,,,605,1.44,0.0,0.55,325388.32,26.8
2001-03-01,Victoria,2440,1264.0,,,707,1.79,0.01,0.32,327964.9,38.54
2002-01-01,Victoria,2440,1344.0,,,972,1.38,0.0,0.28,330513.83,40.66
2003-03-01,Victoria,2440,2008.0,,,1086,1.85,0.03,1.05,332905.17,60.32
2004-01-01,Victoria,2440,2363.0,,,1182,2.0,0.02,0.59,336460.36,70.23
2005-03-01,Victoria,2440,2058.0,,,1090,1.89,0.1,0.49,339382.63,60.64
2006-01-01,Victoria,2440,2739.0,,,1098,2.49,0.09,0.49,341758.72,80.14
2007-06-01,Victoria,2440,2579.0,,,990,2.61,0.04,0.55,343976.75,74.98
2008-09-01,Victoria,2440,1905.0,,,834,2.28,0.0,0.64,347660.0,54.79
2009-08-01,Victoria,2440,1034.0,,,811,1.27,0.01,1.15,350969.19,29.46
2010-04-01,Victoria,2440,2118.0,,2118.0,1073,1.97,0.01,0.52,351424.13,60.27
2011-07-01,Victoria,2440,1642.0,,1642.0,781,2.1,0.01,1.01,357625.72,45.91
2012-04-01,Victoria,2440,1700.0,,1700.0,757,2.25,0.09,0.58,364130.69,46.69
2013-06-01,Victoria,2440,1685.0,,1685.0,677,2.49,0.39,0.47,369521.41,45.6
2014-07-01,Victoria,2440,1315.0,62.0,1253.0,729,1.8,0.15,0.57,375048.81,35.06
2015-01-01,Victoria,2440,2008.0,166.0,1842.0,948,2.12,0.12,0.77,383797.78,52.32
2016-04-01,Victoria,2440,2933.0,272.0,2661.0,1328,2.21,0.15,0.96,389897.66,75.22
2017-02-01,Victoria,2440,3862.0,243.0,3619.0,1355,2.85,0.16,1.55,396024.78,97.52
2018-03-01,Victoria,2440,4273.0,274.0,3999.0,1272,3.36,0.23,1.57,402702.78,106.11
2019-08-01,Victoria,2440,3499.0,183.0,3316.0,963,3.63,0.23,1.31,408794.41,85.59
2020-02-01,Victoria,2440,3209.0,232.0,2977.0,1089,2.95,0.16,1.01,412649.88,77.77
2021-03-01,Victoria,2440,4809.0,242.0,4567.0,1306,3.68,0.23,1.03,421449.88,114.11
2022-01-01,Victoria,2440,4787.0,247.0,4540.0,1125,4.26,0.25,1.41,430221.23,111.27
2023-09-01,Victoria,2440,4992.0,154.0,4838.0,693,7.2,0.46,1.27,437320.3,114.15
1988-06-01,Winnipeg,2680,2554.0,,,1823,1.4,0.0,0.12,665928.95,38.35
1989-03-01,Winnipeg,2680,2977.0,,,2212,1.35,0.01,0.05,670512.15,44.4
1990-01-01,Winnipeg,2680,2147.0,,,1926,1.11,0.01,0.73,676292.54,31.75
1991-02-01,Winnipeg,2680,1349.0,,,1013,1.33,0.0,1.09,678041.23,19.9
1992-03-01,Winnipeg,2680,1620.0,,,1273,1.27,0.0,0.71,680620.85,23.8
1993-01-01,Winnipeg,2680,1540.0,,,1232,1.25,0.0,0.54,682176.68,22.57
1994-01-01,Winnipeg,2680,1529.0,,,1214,1.26,0.0,0.35,685224.26,22.31
1995-03-01,Winnipeg,2680,1104.0,,,850,1.3,0.0,0.16,684295.37,16.13
1996-03-01,Winnipeg,2680,1135.0,,,872,1.3,0.0,0.23,683795.78,16.6
1997-02-01,Winnipeg,2680,1518.0,,,1241,1.22,0.0,0.27,684487.56,22.18
1998-12-01,Winnipeg,2680,1575.0,,,1229,1.28,0.0,0.29,687770.69,22.9
1999-04-01,Winnipeg,2680,1772.0,,,1240,1.43,0.0,0.32,692120.88,25.6
2000-07-01,Winnipeg,2680,1317.0,,,1224,1.08,0.0,0.4,695482.83,18.94
2001-03-01,Winnipeg,2680,1473.0,,,1267,1.16,0.0,0.4,699611.33,21.05
2002-04-01,Winnipeg,2680,1821.0,,,1548,1.18,0.0,0.4,703761.5,25.88
2003-04-01,Winnipeg,2680,2430.0,,,1694,1.43,0.0,0.56,709960.27,34.23
2004-05-01,Winnipeg,2680,2489.0,,,1927,1.29,0.0,0.65,712822.3,34.92
2005-01-01,Winnipeg,2680,2586.0,,,1806,1.43,0.01,0.6,715651.02,36.13
2006-04-01,Winnipeg,2680,2777.0,,,1817,1.53,0.0,0.73,718832.66,38.63
2007-01-01,Winnipeg,2680,3371.0,,,1916,1.76,0.0,0.82,722117.78,46.68
2008-02-01,Winnipeg,2680,3009.0,,,1992,1.51,0.01,1.03,728616.41,41.3
2009-11-01,Winnipeg,2680,2033.0,,,1552,1.31,0.01,0.97,734956.38,27.66
2010-01-01,Winnipeg,2680,3244.0,,3244.0,1996,1.63,0.02,0.75,744413.44,43.58
2011-01-01,Winnipeg,2680,3331.0,,3331.0,2105,1.58,0.01,0.88,755814.59,44.07
2012-07-01,Winnipeg,2680,4065.0,,4065.0,2262,1.8,0.05,1.0,765230.81,53.12
2013-04-01,Winnipeg,2680,4705.0,,4705.0,2398,1.96,0.07,1.08,775759.53,60.65
2014-01-01,Winnipeg,2680,4248.0,,4248.0,2050,2.07,0.08,0.89,784144.75,54.17
2015-01-01,Winnipeg,2680,4400.0,,4400.0,1894,2.32,0.09,1.04,799158.41,55.06
2016-03-01,Winnipeg,2680,4054.0,,4054.0,2048,1.98,0.07,0.91,815756.56,49.7
2017-05-01,Winnipeg,2680,5621.0,,5621.0,2602,2.16,0.08,1.37,830206.0,67.71
2018-11-01,Winnipeg,2680,5384.0,53.0,5331.0,2170,2.48,0.11,0.84,843356.34,63.84
2019-04-01,Winnipeg,2680,4965.0,86.0,4879.0,1986,2.5,0.11,1.05,849586.22,58.44
2020-02-01,Winnipeg,2680,5040.0,72.0,4968.0,1965,2.56,0.11,1.26,857251.75,58.79
2021-06-01,Winnipeg,2680,5694.0,138.0,5556.0,2562,2.22,0.08,1.25,869726.75,65.47
2022-01-01,Winnipeg,2680,5870.0,144.0,5726.0,2347,2.5,0.1,2.27,887796.52,66.12
2023-04-01,Winnipeg,2680,5454.0,138.0,5316.0,1847,2.95,0.13,2.33,915111.5,59.6
